## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:56:03
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O1584610
## Nom station                      : Le Douctouyre à Dun [Engraviès]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      599910 ;    6216805 ;      599965 ;    6216781 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      553958 ;    1782472 ;      554013 ;    1782449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.77264 ;   43.04356 ;     1.77332 ;   43.04336 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      131.00 ;     136.12 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         301 ;        306 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.9 [%]
## Débits disponibles               :  1968-01-31 ; 2021-02-23 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680131;    1130;   0.717;     9;     1
 19680201;    1040;   0.660;     9;     1
 19680202;     950;   0.603;     9;     1
 19680203;     950;   0.603;     9;     1
 19680204;     950;   0.603;     9;     1
 19680205;     905;   0.574;     9;     1
 19680206;     905;   0.574;     9;     1
 19680207;     905;   0.574;     9;     1
 19680208;     823;   0.522;     9;     1
 19680209;     750;   0.476;     9;     1
 19680210;     713;   0.453;     9;     1
 19680211;     713;   0.453;     9;     1
 19680212;    1180;   0.749;     9;     1
 19680213;    1370;   0.870;     9;     1
 19680214;    1220;   0.774;     9;     1
 19680215;    1080;   0.686;     9;     1
 19680216;    1190;   0.755;     9;     1
 19680217;    1310;   0.832;     9;     1
 19680218;    1260;   0.800;     9;     1
 19680219;    1170;   0.743;     9;     1
 19680220;    1080;   0.686;     9;     1
 19680221;     995;   0.632;     9;     1
 19680222;    1290;   0.819;     9;     1
 19680223;     -99; -99.000;   -99;   -99
 19680224;     -99; -99.000;   -99;   -99
 19680225;     -99; -99.000;   -99;   -99
 19680226;     -99; -99.000;   -99;   -99
 19680227;    4670;   2.964;     9;     1
 19680228;    5280;   3.351;     9;     1
 19680229;    3900;   2.475;     9;     1
 19680301;    3110;   1.974;     9;     1
 19680302;    2530;   1.606;     9;     1
 19680303;    2080;   1.320;     9;     1
 19680304;    1770;   1.123;     9;     1
 19680305;    1540;   0.977;     9;     1
 19680306;    1430;   0.908;     9;     1
 19680307;    1820;   1.155;     9;     1
 19680308;    2160;   1.371;     9;     1
 19680309;    2630;   1.669;     9;     1
 19680310;    3780;   2.399;     9;     1
 19680311;    3040;   1.930;     9;     1
 19680312;    2470;   1.568;     9;     1
 19680313;    2080;   1.320;     9;     1
 19680314;    1770;   1.123;     9;     1
 19680315;    1600;   1.016;     9;     1
 19680316;    4900;   3.110;     9;     1
 19680317;    4890;   3.104;     9;     1
 19680318;    4060;   2.577;     9;     1
 19680319;    3500;   2.222;     9;     1
 19680320;    2910;   1.847;     9;     1
 19680321;    2470;   1.568;     9;     1
 19680322;    2150;   1.365;     9;     1
 19680323;    1890;   1.200;     9;     1
 19680324;    1660;   1.054;     9;     1
 19680325;    1480;   0.939;     9;     1
 19680326;    1380;   0.876;     9;     1
 19680327;    1260;   0.800;     9;     1
 19680328;    1170;   0.743;     9;     1
 19680329;    1130;   0.717;     9;     1
 19680330;    1080;   0.686;     9;     1
 19680331;     995;   0.632;     9;     1
 19680401;     950;   0.603;     9;     1
 19680402;     935;   0.593;     9;     1
 19680403;     950;   0.603;     9;     1
 19680404;     950;   0.603;     9;     1
 19680405;     860;   0.546;     9;     1
 19680406;     860;   0.546;     9;     1
 19680407;     860;   0.546;     9;     1
 19680408;    1080;   0.686;     9;     1
 19680409;    1080;   0.686;     9;     1
 19680410;     950;   0.603;     9;     1
 19680411;     860;   0.546;     9;     1
 19680412;     823;   0.522;     9;     1
 19680413;     787;   0.500;     9;     1
 19680414;     750;   0.476;     9;     1
 19680415;     750;   0.476;     9;     1
 19680416;     750;   0.476;     9;     1
 19680417;     677;   0.430;     9;     1
 19680418;     640;   0.406;     9;     1
 19680419;     605;   0.384;     9;     1
 19680420;     570;   0.362;     9;     1
 19680421;     535;   0.340;     9;     1
 19680422;     535;   0.340;     9;     1
 19680423;     570;   0.362;     9;     1
 19680424;    1270;   0.806;     9;     1
 19680425;    1340;   0.851;     9;     1
 19680426;     994;   0.631;     9;     1
 19680427;     860;   0.546;     9;     1
 19680428;     786;   0.499;     9;     1
 19680429;     713;   0.453;     9;     1
 19680430;     677;   0.430;     9;     1
 19680501;     640;   0.406;     9;     0
 19680502;     605;   0.384;     9;     0
 19680503;     570;   0.362;     9;     0
 19680504;     535;   0.340;     9;     0
 19680505;     500;   0.317;     9;     0
 19680506;    1230;   0.781;     9;     1
 19680507;    1380;   0.876;     9;     1
 19680508;    1040;   0.660;     9;     1
 19680509;     905;   0.574;     9;     1
 19680510;     860;   0.546;     9;     1
 19680511;     823;   0.522;     9;     1
 19680512;     980;   0.622;     9;     1
 19680513;    1040;   0.660;     9;     1
 19680514;     864;   0.548;     9;     1
 19680515;     750;   0.476;     9;     1
 19680516;     677;   0.430;     9;     1
 19680517;     605;   0.384;     9;     1
 19680518;     570;   0.362;     9;     1
 19680519;     605;   0.384;     9;     1
 19680520;    3760;   2.387;     9;     1
 19680521;    3680;   2.336;     9;     1
 19680522;    2460;   1.561;     9;     1
 19680523;    1720;   1.092;     9;     1
 19680524;    1320;   0.838;     9;     1
 19680525;    1220;   0.774;     9;     1
 19680526;    1130;   0.717;     9;     1
 19680527;    2220;   1.409;     9;     1
 19680528;    3090;   1.961;     9;     1
 19680529;   12400;   7.871;     9;     1
 19680530;   15900;  10.092;     9;     1
 19680531;    6420;   4.075;     9;     1
 19680601;    4170;   2.647;     9;     1
 19680602;    3240;   2.057;     9;     1
 19680603;    2850;   1.809;     9;     1
 19680604;    2720;   1.726;     9;     1
 19680605;    2340;   1.485;     9;     1
 19680606;    1960;   1.244;     9;     1
 19680607;    1660;   1.054;     9;     1
 19680608;    1480;   0.939;     9;     1
 19680609;    1320;   0.838;     9;     1
 19680610;    1170;   0.743;     9;     1
 19680611;    1080;   0.686;     9;     1
 19680612;     950;   0.603;     9;     1
 19680613;     860;   0.546;     9;     1
 19680614;     823;   0.522;     9;     1
 19680615;     750;   0.476;     9;     1
 19680616;     713;   0.453;     9;     1
 19680617;     677;   0.430;     9;     1
 19680618;    2140;   1.358;     9;     1
 19680619;   29700;  18.852;     9;     1
 19680620;    7720;   4.900;     9;     1
 19680621;    4320;   2.742;     9;     1
 19680622;    3110;   1.974;     9;     1
 19680623;    2870;   1.822;     9;     1
 19680624;    2460;   1.561;     9;     1
 19680625;    1900;   1.206;     9;     1
 19680626;    1480;   0.939;     9;     1
 19680627;    1220;   0.774;     9;     1
 19680628;    1040;   0.660;     9;     1
 19680629;     864;   0.548;     9;     1
 19680630;     713;   0.453;     9;     1
 19680701;     605;   0.384;     9;     1
 19680702;     570;   0.362;     9;     1
 19680703;     535;   0.340;     9;     1
 19680704;     467;   0.296;     9;     1
 19680705;     425;   0.270;     9;     1
 19680706;     555;   0.352;     9;     1
 19680707;     402;   0.255;     9;     1
 19680708;     345;   0.219;     9;     1
 19680709;     300;   0.190;     9;     1
 19680710;     280;   0.178;     9;     1
 19680711;     262;   0.166;     9;     1
 19680712;     245;   0.156;     9;     1
 19680713;     232;   0.147;     9;     1
 19680714;     220;   0.140;     9;     1
 19680715;     183;   0.116;     9;     1
 19680716;     150;   0.095;     9;     1
 19680717;     150;   0.095;     9;     1
 19680718;     142;   0.090;     9;     1
 19680719;     135;   0.086;     9;     1
 19680720;     127;   0.081;     9;     1
 19680721;     115;   0.073;     9;     1
 19680722;     110;   0.070;     9;     1
 19680723;     110;   0.070;     9;     1
 19680724;     105;   0.067;     9;     1
 19680725;     100;   0.063;     9;     0
 19680726;     100;   0.063;     9;     0
 19680727;     100;   0.063;     9;     0
 19680728;     100;   0.063;     9;     0
 19680729;     100;   0.063;     9;     0
 19680730;     105;   0.067;     9;     1
 19680731;     114;   0.072;     9;     1
 19680801;     105;   0.067;     9;     1
 19680802;     116;   0.074;     9;     1
 19680803;     116;   0.074;     9;     1
 19680804;     100;   0.063;     9;     1
 19680805;     183;   0.116;     9;     1
 19680806;     163;   0.103;     9;     1
 19680807;     142;   0.090;     9;     1
 19680808;     151;   0.096;     9;     1
 19680809;     151;   0.096;     9;     1
 19680810;     135;   0.086;     9;     1
 19680811;     140;   0.089;     9;     1
 19680812;     213;   0.135;     9;     1
 19680813;     162;   0.103;     9;     1
 19680814;     131;   0.083;     9;     1
 19680815;     115;   0.073;     9;     1
 19680816;     115;   0.073;     9;     1
 19680817;     120;   0.076;     9;     0
 19680818;     115;   0.073;     9;     0
 19680819;     110;   0.070;     9;     0
 19680820;     105;   0.067;     9;     0
 19680821;     100;   0.063;     9;     0
 19680822;     100;   0.063;     9;     0
 19680823;      95;   0.060;     9;     0
 19680824;      90;   0.057;     9;     0
 19680825;      85;   0.054;     9;     0
 19680826;      80;   0.051;     9;     0
 19680827;      85;   0.054;     9;     1
 19680828;      85;   0.054;     9;     1
 19680829;      90;   0.057;     9;     1
 19680830;      97;   0.062;     9;     1
 19680831;      85;   0.054;     9;     1
 19680901;      80;   0.051;     9;     0
 19680902;      80;   0.051;     9;     0
 19680903;      80;   0.051;     9;     0
 19680904;      80;   0.051;     9;     0
 19680905;      80;   0.051;     9;     0
 19680906;      73;   0.046;     9;     1
 19680907;      70;   0.044;     9;     0
 19680908;      70;   0.044;     9;     0
 19680909;      70;   0.044;     9;     0
 19680910;      70;   0.044;     9;     0
 19680911;      70;   0.044;     9;     0
 19680912;      83;   0.053;     9;     1
 19680913;      80;   0.051;     9;     0
 19680914;      80;   0.051;     9;     0
 19680915;      80;   0.051;     9;     0
 19680916;      80;   0.051;     9;     0
 19680917;      80;   0.051;     9;     0
 19680918;      80;   0.051;     9;     0
 19680919;      80;   0.051;     9;     0
 19680920;      80;   0.051;     9;     0
 19680921;      80;   0.051;     9;     0
 19680922;      80;   0.051;     9;     0
 19680923;      80;   0.051;     9;     0
 19680924;      96;   0.061;     9;     1
 19680925;      95;   0.060;     9;     1
 19680926;      85;   0.054;     9;     1
 19680927;      80;   0.051;     9;     1
 19680928;      80;   0.051;     9;     1
 19680929;      95;   0.060;     9;     1
 19680930;      89;   0.056;     9;     1
 19681001;      95;   0.060;     9;     1
 19681002;      85;   0.054;     9;     1
 19681003;      80;   0.051;     9;     1
 19681004;      80;   0.051;     9;     1
 19681005;      80;   0.051;     9;     1
 19681006;      75;   0.048;     9;     1
 19681007;      70;   0.044;     9;     1
 19681008;      70;   0.044;     9;     1
 19681009;      78;   0.050;     9;     1
 19681010;      75;   0.048;     9;     1
 19681011;      70;   0.044;     9;     1
 19681012;      70;   0.044;     9;     1
 19681013;      65;   0.041;     9;     1
 19681014;      60;   0.038;     9;     1
 19681015;      60;   0.038;     9;     1
 19681016;      62;   0.039;     9;     1
 19681017;      88;   0.056;     9;     1
 19681018;      80;   0.051;     9;     1
 19681019;      70;   0.044;     9;     1
 19681020;      73;   0.046;     9;     1
 19681021;      72;   0.046;     9;     1
 19681022;      70;   0.044;     9;     1
 19681023;      70;   0.044;     9;     1
 19681024;      65;   0.041;     9;     1
 19681025;      70;   0.044;     9;     1
 19681026;      80;   0.051;     9;     1
 19681027;      92;   0.058;     9;     1
 19681028;      80;   0.051;     9;     0
 19681029;      80;   0.051;     9;     0
 19681030;      80;   0.051;     9;     0
 19681031;      80;   0.051;     9;     0
 19681101;      80;   0.051;     9;     0
 19681102;      75;   0.048;     9;     1
 19681103;     127;   0.081;     9;     1
 19681104;     295;   0.187;     9;     1
 19681105;     220;   0.140;     9;     1
 19681106;     133;   0.084;     9;     1
 19681107;     115;   0.073;     9;     1
 19681108;     989;   0.628;     9;     1
 19681109;    3740;   2.374;     9;     1
 19681110;    1170;   0.743;     9;     1
 19681111;     537;   0.341;     9;     1
 19681112;     302;   0.192;     9;     1
 19681113;     232;   0.147;     9;     1
 19681114;     195;   0.124;     9;     1
 19681115;     170;   0.108;     9;     1
 19681116;     672;   0.427;     9;     1
 19681117;    1520;   0.965;     9;     1
 19681118;     975;   0.619;     9;     1
 19681119;    3040;   1.930;     9;     1
 19681120;    2430;   1.542;     9;     1
 19681121;    1660;   1.054;     9;     1
 19681122;    1270;   0.806;     9;     1
 19681123;     994;   0.631;     9;     1
 19681124;     750;   0.476;     9;     1
 19681125;     570;   0.362;     9;     1
 19681126;     435;   0.276;     9;     1
 19681127;     345;   0.219;     9;     1
 19681128;     304;   0.193;     9;     1
 19681129;   13600;   8.632;     9;     1
 19681130;   10700;   6.792;     9;     1
 19681201;    5000;   3.174;     9;     1
 19681202;    3110;   1.974;     9;     1
 19681203;    2150;   1.365;     9;     1
 19681204;    1600;   1.016;     9;     1
 19681205;    1270;   0.806;     9;     1
 19681206;    1040;   0.660;     9;     1
 19681207;     864;   0.548;     9;     1
 19681208;    7850;   4.983;     9;     1
 19681209;    7450;   4.729;     9;     1
 19681210;    4320;   2.742;     9;     1
 19681211;    9890;   6.278;     9;     1
 19681212;    5890;   3.739;     9;     1
 19681213;    4000;   2.539;     9;     1
 19681214;    3300;   2.095;     9;     1
 19681215;    2780;   1.765;     9;     1
 19681216;    3130;   1.987;     9;     1
 19681217;    6830;   4.335;     9;     1
 19681218;    6180;   3.923;     9;     1
 19681219;    4530;   2.875;     9;     1
 19681220;    3570;   2.266;     9;     1
 19681221;    2910;   1.847;     9;     1
 19681222;    2470;   1.568;     9;     1
 19681223;    2150;   1.365;     9;     1
 19681224;    1890;   1.200;     9;     1
 19681225;    1660;   1.054;     9;     1
 19681226;    6390;   4.056;     9;     1
 19681227;    9420;   5.979;     9;     1
 19681228;    4680;   2.971;     9;     1
 19681229;    3640;   2.310;     9;     1
 19681230;    2910;   1.847;     9;     1
 19681231;    2400;   1.523;     9;     1
 19690101;    2020;   1.282;     9;     1
 19690102;    1770;   1.123;     9;     1
 19690103;    1660;   1.054;     9;     1
 19690104;    1540;   0.977;     9;     1
 19690105;    1370;   0.870;     9;     1
 19690106;    1260;   0.800;     9;     1
 19690107;    1170;   0.743;     9;     1
 19690108;    1080;   0.686;     9;     1
 19690109;     995;   0.632;     9;     1
 19690110;     950;   0.603;     9;     1
 19690111;     905;   0.574;     9;     1
 19690112;     860;   0.546;     9;     1
 19690113;     883;   0.560;     9;     1
 19690114;    1140;   0.724;     9;     1
 19690115;    2630;   1.669;     9;     1
 19690116;    3120;   1.980;     9;     1
 19690117;    4120;   2.615;     9;     1
 19690118;    5250;   3.332;     9;     1
 19690119;    6670;   4.234;     9;     1
 19690120;    4840;   3.072;     9;     1
 19690121;    3700;   2.349;     9;     1
 19690122;    3040;   1.930;     9;     1
 19690123;    2530;   1.606;     9;     1
 19690124;    2150;   1.365;     9;     1
 19690125;    1890;   1.200;     9;     1
 19690126;    1660;   1.054;     9;     1
 19690127;    1450;   0.920;     9;     1
 19690128;    1370;   0.870;     9;     1
 19690129;    1220;   0.774;     9;     1
 19690130;    1080;   0.686;     9;     1
 19690131;     995;   0.632;     9;     1
 19690201;     905;   0.574;     9;     1
 19690202;     860;   0.546;     9;     1
 19690203;     823;   0.522;     9;     1
 19690204;     787;   0.500;     9;     1
 19690205;     750;   0.476;     9;     1
 19690206;     750;   0.476;     9;     1
 19690207;     759;   0.482;     9;     1
 19690208;     823;   0.522;     9;     1
 19690209;     713;   0.453;     9;     1
 19690210;     689;   0.437;     9;     1
 19690211;     695;   0.441;     9;     1
 19690212;    2500;   1.587;     9;     1
 19690213;    6410;   4.069;     9;     1
 19690214;    6600;   4.189;     9;     1
 19690215;    3970;   2.520;     9;     1
 19690216;    2910;   1.847;     9;     1
 19690217;    2340;   1.485;     9;     1
 19690218;    2150;   1.365;     9;     1
 19690219;    2050;   1.301;     9;     1
 19690220;    2500;   1.587;     9;     1
 19690221;    2150;   1.365;     9;     1
 19690222;    1830;   1.162;     9;     1
 19690223;    1600;   1.016;     9;     1
 19690224;    2020;   1.282;     9;     1
 19690225;    1660;   1.054;     9;     1
 19690226;    1480;   0.939;     9;     1
 19690227;    1370;   0.870;     9;     1
 19690228;    1260;   0.800;     9;     1
 19690301;    1170;   0.743;     9;     1
 19690302;    1080;   0.686;     9;     1
 19690303;    1040;   0.660;     9;     1
 19690304;    1120;   0.711;     9;     1
 19690305;   16400;  10.410;     9;     1
 19690306;   12000;   7.617;     9;     1
 19690307;    6860;   4.354;     9;     1
 19690308;    4760;   3.021;     9;     1
 19690309;    3770;   2.393;     9;     1
 19690310;    3200;   2.031;     9;     1
 19690311;    2780;   1.765;     9;     1
 19690312;    2400;   1.523;     9;     1
 19690313;    2150;   1.365;     9;     1
 19690314;    2260;   1.434;     9;     1
 19690315;    2270;   1.441;     9;     1
 19690316;    2720;   1.726;     9;     1
 19690317;    3270;   2.076;     9;     1
 19690318;    4740;   3.009;     9;     1
 19690319;    6170;   3.916;     9;     1
 19690320;    5480;   3.478;     9;     1
 19690321;    4300;   2.729;     9;     1
 19690322;    4570;   2.901;     9;     1
 19690323;   15700;   9.965;     9;     1
 19690324;   13000;   8.252;     9;     1
 19690325;    7170;   4.551;     9;     1
 19690326;    5400;   3.428;     9;     1
 19690327;    4380;   2.780;     9;     1
 19690328;    3770;   2.393;     9;     1
 19690329;    3300;   2.095;     9;     1
 19690330;    2910;   1.847;     9;     1
 19690331;    2720;   1.726;     9;     1
 19690401;    2530;   1.606;     9;     1
 19690402;    2690;   1.707;     9;     1
 19690403;    2660;   1.688;     9;     1
 19690404;    2420;   1.536;     9;     1
 19690405;   17000;  10.790;     9;     1
 19690406;   10900;   6.919;     9;     1
 19690407;    6090;   3.866;     9;     1
 19690408;    4600;   2.920;     9;     1
 19690409;    3840;   2.437;     9;     1
 19690410;    3300;   2.095;     9;     1
 19690411;    2850;   1.809;     9;     1
 19690412;    2590;   1.644;     9;     1
 19690413;    2470;   1.568;     9;     1
 19690414;    2340;   1.485;     9;     1
 19690415;    2740;   1.739;     9;     1
 19690416;    2470;   1.568;     9;     1
 19690417;    2210;   1.403;     9;     1
 19690418;    9090;   5.770;     9;     1
 19690419;    5890;   3.739;     9;     1
 19690420;    4070;   2.583;     9;     1
 19690421;    3370;   2.139;     9;     1
 19690422;    3460;   2.196;     9;     1
 19690423;    4770;   3.028;     9;     1
 19690424;    3640;   2.310;     9;     1
 19690425;    3110;   1.974;     9;     1
 19690426;    2720;   1.726;     9;     1
 19690427;    2610;   1.657;     9;     1
 19690428;    4350;   2.761;     9;     1
 19690429;   17500;  11.108;     9;     1
 19690430;   11900;   7.553;     9;     1
 19690501;    6890;   4.373;     9;     1
 19690502;    5070;   3.218;     9;     1
 19690503;    4380;   2.780;     9;     1
 19690504;    5960;   3.783;     9;     1
 19690505;    6460;   4.100;     9;     1
 19690506;    7580;   4.811;     9;     1
 19690507;    6040;   3.834;     9;     1
 19690508;    4980;   3.161;     9;     1
 19690509;    4100;   2.602;     9;     1
 19690510;    3370;   2.139;     9;     1
 19690511;    2910;   1.847;     9;     1
 19690512;    2530;   1.606;     9;     1
 19690513;    2270;   1.441;     9;     1
 19690514;    2020;   1.282;     9;     1
 19690515;    1770;   1.123;     9;     1
 19690516;    1600;   1.016;     9;     1
 19690517;    1480;   0.939;     9;     1
 19690518;    1370;   0.870;     9;     1
 19690519;    1310;   0.832;     9;     1
 19690520;    1220;   0.774;     9;     1
 19690521;    1080;   0.686;     9;     1
 19690522;     995;   0.632;     9;     1
 19690523;     950;   0.603;     9;     1
 19690524;     905;   0.574;     9;     1
 19690525;     860;   0.546;     9;     1
 19690526;     823;   0.522;     9;     1
 19690527;     787;   0.500;     9;     1
 19690528;     787;   0.500;     9;     1
 19690529;     750;   0.476;     9;     1
 19690530;     677;   0.430;     9;     1
 19690531;     640;   0.406;     9;     1
 19690601;     640;   0.406;     9;     1
 19690602;     689;   0.437;     9;     1
 19690603;     641;   0.407;     9;     1
 19690604;     570;   0.362;     9;     1
 19690605;     659;   0.418;     9;     1
 19690606;     570;   0.362;     9;     1
 19690607;     500;   0.317;     9;     1
 19690608;     467;   0.296;     9;     1
 19690609;     435;   0.276;     9;     1
 19690610;     435;   0.276;     9;     1
 19690611;     435;   0.276;     9;     1
 19690612;     435;   0.276;     9;     1
 19690613;     402;   0.255;     9;     1
 19690614;     370;   0.235;     9;     1
 19690615;     435;   0.276;     9;     1
 19690616;     467;   0.296;     9;     1
 19690617;     435;   0.276;     9;     1
 19690618;     435;   0.276;     9;     1
 19690619;     435;   0.276;     9;     1
 19690620;     402;   0.255;     9;     1
 19690621;     370;   0.235;     9;     1
 19690622;     370;   0.235;     9;     1
 19690623;     370;   0.235;     9;     1
 19690624;     554;   0.352;     9;     1
 19690625;     501;   0.318;     9;     1
 19690626;     402;   0.255;     9;     1
 19690627;     345;   0.219;     9;     1
 19690628;     300;   0.190;     9;     1
 19690629;     280;   0.178;     9;     1
 19690630;     265;   0.168;     9;     1
 19690701;     245;   0.156;     9;     1
 19690702;     245;   0.156;     9;     1
 19690703;     220;   0.140;     9;     1
 19690704;     195;   0.124;     9;     1
 19690705;     182;   0.116;     9;     1
 19690706;     170;   0.108;     9;     1
 19690707;     463;   0.294;     9;     1
 19690708;     469;   0.298;     9;     1
 19690709;     322;   0.204;     9;     1
 19690710;     262;   0.166;     9;     1
 19690711;     242;   0.154;     9;     1
 19690712;     220;   0.140;     9;     1
 19690713;     207;   0.131;     9;     1
 19690714;     195;   0.124;     9;     1
 19690715;     190;   0.121;     9;     1
 19690716;     170;   0.108;     9;     1
 19690717;     170;   0.108;     9;     1
 19690718;     160;   0.102;     9;     1
 19690719;     150;   0.095;     9;     1
 19690720;     150;   0.095;     9;     1
 19690721;     142;   0.090;     9;     1
 19690722;     146;   0.093;     9;     1
 19690723;     181;   0.115;     9;     1
 19690724;     190;   0.121;     9;     1
 19690725;    1930;   1.225;     9;     1
 19690726;     583;   0.370;     9;     1
 19690727;     349;   0.222;     9;     1
 19690728;     263;   0.167;     9;     1
 19690729;    1780;   1.130;     9;     1
 19690730;    1150;   0.730;     9;     1
 19690731;     641;   0.407;     9;     1
 19690801;     430;   0.273;     9;     1
 19690802;     400;   0.254;     9;     1
 19690803;     370;   0.235;     9;     1
 19690804;     370;   0.235;     9;     1
 19690805;     350;   0.222;     9;     1
 19690806;     320;   0.203;     9;     1
 19690807;     300;   0.190;     9;     1
 19690808;     280;   0.178;     9;     1
 19690809;     260;   0.165;     9;     1
 19690810;     260;   0.165;     9;     1
 19690811;     250;   0.159;     9;     1
 19690812;     232;   0.147;     9;     1
 19690813;     220;   0.140;     9;     1
 19690814;     220;   0.140;     9;     1
 19690815;     220;   0.140;     9;     1
 19690816;     220;   0.140;     9;     1
 19690817;     207;   0.131;     9;     1
 19690818;     182;   0.116;     9;     1
 19690819;     170;   0.108;     9;     1
 19690820;     170;   0.108;     9;     1
 19690821;     149;   0.095;     9;     1
 19690822;     150;   0.095;     9;     1
 19690823;     160;   0.102;     9;     1
 19690824;     170;   0.108;     9;     1
 19690825;     160;   0.102;     9;     1
 19690826;     150;   0.095;     9;     1
 19690827;     150;   0.095;     9;     1
 19690828;     150;   0.095;     9;     1
 19690829;     139;   0.088;     9;     1
 19690830;     142;   0.090;     9;     1
 19690831;     148;   0.094;     9;     1
 19690901;     148;   0.094;     9;     1
 19690902;     151;   0.096;     9;     1
 19690903;     135;   0.086;     9;     1
 19690904;     143;   0.091;     9;     1
 19690905;     160;   0.102;     9;     1
 19690906;     193;   0.123;     9;     1
 19690907;     340;   0.216;     9;     1
 19690908;     337;   0.214;     9;     1
 19690909;     247;   0.157;     9;     1
 19690910;     195;   0.124;     9;     1
 19690911;     160;   0.102;     9;     1
 19690912;     150;   0.095;     9;     1
 19690913;     150;   0.095;     9;     1
 19690914;     160;   0.102;     9;     1
 19690915;     170;   0.108;     9;     1
 19690916;     183;   0.116;     9;     1
 19690917;     195;   0.124;     9;     1
 19690918;     185;   0.117;     9;     1
 19690919;     578;   0.367;     9;     1
 19690920;     406;   0.258;     9;     1
 19690921;     281;   0.178;     9;     1
 19690922;     232;   0.147;     9;     1
 19690923;     207;   0.131;     9;     1
 19690924;     195;   0.124;     9;     1
 19690925;     189;   0.120;     9;     1
 19690926;     170;   0.108;     9;     1
 19690927;     170;   0.108;     9;     1
 19690928;     170;   0.108;     9;     1
 19690929;     160;   0.102;     9;     1
 19690930;     150;   0.095;     9;     1
 19691001;     195;   0.124;     9;     1
 19691002;     247;   0.157;     9;     1
 19691003;     207;   0.131;     9;     1
 19691004;     182;   0.116;     9;     1
 19691005;     173;   0.110;     9;     1
 19691006;     170;   0.108;     9;     1
 19691007;     170;   0.108;     9;     1
 19691008;     170;   0.108;     9;     1
 19691009;     160;   0.102;     9;     1
 19691010;     150;   0.095;     9;     0
 19691011;     150;   0.095;     9;     0
 19691012;     150;   0.095;     9;     0
 19691013;     150;   0.095;     9;     0
 19691014;     150;   0.095;     9;     0
 19691015;     196;   0.124;     9;     1
 19691016;     220;   0.140;     9;     1
 19691017;     182;   0.116;     9;     1
 19691018;     170;   0.108;     9;     1
 19691019;     170;   0.108;     9;     1
 19691020;     195;   0.124;     9;     1
 19691021;     233;   0.148;     9;     1
 19691022;     207;   0.131;     9;     1
 19691023;     182;   0.116;     9;     1
 19691024;     170;   0.108;     9;     0
 19691025;     170;   0.108;     9;     0
