## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:05:25
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bourgogne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : U3214010
## Nom station                      : La Grosne à Jalogny [Cluny]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      826713 ;    6590682 ;      826708 ;    6590706 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      777773 ;    2158620 ;      777813 ;    2158649 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.64951 ;   46.40418 ;     4.64944 ;   46.40440 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      333.00 ;     333.71 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         244 ;        243 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.2 [%]
## Débits disponibles               :  1968-05-09 ; 2010-11-13 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680509;    3880;   1.005;     9;     1
 19680510;    2920;   0.756;     9;     1
 19680511;    2320;   0.601;     9;     1
 19680512;    3090;   0.800;     9;     1
 19680513;    2490;   0.645;     9;     1
 19680514;    1820;   0.471;     9;     1
 19680515;    1600;   0.414;     9;     1
 19680516;    1400;   0.362;     9;     1
 19680517;    1160;   0.300;     9;     1
 19680518;    1040;   0.269;     9;     1
 19680519;     915;   0.237;     9;     1
 19680520;     936;   0.242;     9;     1
 19680521;    3630;   0.940;     9;     1
 19680522;    2900;   0.751;     9;     1
 19680523;    1850;   0.479;     9;     1
 19680524;    1510;   0.391;     9;     1
 19680525;    2040;   0.528;     9;     1
 19680526;    3650;   0.945;     9;     1
 19680527;    2600;   0.673;     9;     1
 19680528;    3670;   0.950;     9;     1
 19680529;    3020;   0.782;     9;     1
 19680530;    2390;   0.619;     9;     1
 19680531;    1970;   0.510;     9;     1
 19680601;    1780;   0.461;     9;     1
 19680602;    1500;   0.388;     9;     1
 19680603;    3110;   0.805;     9;     1
 19680604;    1980;   0.513;     9;     1
 19680605;    1550;   0.401;     9;     1
 19680606;    1240;   0.321;     9;     1
 19680607;    1190;   0.308;     9;     1
 19680608;    1150;   0.298;     9;     1
 19680609;    1110;   0.287;     9;     1
 19680610;    1050;   0.272;     9;     1
 19680611;     870;   0.225;     9;     1
 19680612;     737;   0.191;     9;     1
 19680613;     627;   0.162;     9;     1
 19680614;     538;   0.139;     9;     1
 19680615;     523;   0.135;     9;     0
 19680616;     523;   0.135;     9;     0
 19680617;     523;   0.135;     9;     0
 19680618;     523;   0.135;     9;     0
 19680619;     523;   0.135;     9;     0
 19680620;     523;   0.135;     9;     0
 19680621;     523;   0.135;     9;     0
 19680622;     523;   0.135;     9;     0
 19680623;     523;   0.135;     9;     0
 19680624;     523;   0.135;     9;     0
 19680625;     523;   0.135;     9;     0
 19680626;     523;   0.135;     9;     0
 19680627;     523;   0.135;     9;     0
 19680628;     523;   0.135;     9;     0
 19680629;     523;   0.135;     9;     0
 19680630;     523;   0.135;     9;     0
 19680701;     523;   0.135;     9;     0
 19680702;     523;   0.135;     9;     0
 19680703;     523;   0.135;     9;     0
 19680704;     523;   0.135;     9;     0
 19680705;     523;   0.135;     9;     0
 19680706;     523;   0.135;     9;     0
 19680707;     523;   0.135;     9;     0
 19680708;     523;   0.135;     9;     0
 19680709;     523;   0.135;     9;     0
 19680710;     523;   0.135;     9;     0
 19680711;     523;   0.135;     9;     0
 19680712;     523;   0.135;     9;     0
 19680713;     523;   0.135;     9;     0
 19680714;     523;   0.135;     9;     0
 19680715;     526;   0.136;     9;     1
 19680716;     486;   0.126;     5;     1
 19680717;     489;   0.127;     5;     1
 19680718;     944;   0.244;     9;     1
 19680719;     981;   0.254;     9;     1
 19680720;     695;   0.180;     9;     1
 19680721;     530;   0.137;     9;     1
 19680722;     468;   0.121;     5;     1
 19680723;     379;   0.098;     5;     1
 19680724;     403;   0.104;     5;     1
 19680725;     481;   0.125;     9;     1
 19680726;     469;   0.121;     9;     1
 19680727;     436;   0.113;     9;     1
 19680728;     396;   0.103;     5;     1
 19680729;     359;   0.093;     5;     1
 19680730;     346;   0.090;     5;     1
 19680731;     357;   0.092;     5;     1
 19680801;     365;   0.095;     5;     1
 19680802;    3540;   0.917;     5;     1
 19680803;    2890;   0.748;     9;     1
 19680804;    1550;   0.401;     9;     1
 19680805;    1130;   0.293;     9;     1
 19680806;    1010;   0.261;     9;     1
 19680807;     834;   0.216;     9;     1
 19680808;     917;   0.237;     9;     1
 19680809;    1160;   0.300;     9;     1
 19680810;    1140;   0.295;     9;     1
 19680811;    1350;   0.350;     9;     1
 19680812;    1370;   0.355;     9;     1
 19680813;    1220;   0.316;     9;     1
 19680814;    7050;   1.825;     9;     1
 19680815;    4450;   1.152;     9;     1
 19680816;    2640;   0.684;     9;     1
 19680817;    2470;   0.640;     9;     1
 19680818;    2930;   0.759;     9;     1
 19680819;    3180;   0.823;     9;     1
 19680820;    2360;   0.611;     9;     1
 19680821;    1890;   0.489;     9;     1
 19680822;    1480;   0.383;     9;     1
 19680823;    1320;   0.342;     9;     1
 19680824;    1240;   0.321;     9;     1
 19680825;    1270;   0.329;     9;     1
 19680826;    1090;   0.282;     9;     1
 19680827;     944;   0.244;     9;     1
 19680828;     920;   0.238;     9;     1
 19680829;    2450;   0.634;     9;     1
 19680830;    2620;   0.678;     9;     1
 19680831;    2650;   0.686;     9;     1
 19680901;    1950;   0.505;     9;     1
 19680902;    1750;   0.453;     9;     1
 19680903;    3400;   0.880;     9;     1
 19680904;    2940;   0.761;     9;     1
 19680905;    2390;   0.619;     9;     1
 19680906;    1950;   0.505;     9;     1
 19680907;    1820;   0.471;     9;     1
 19680908;    1570;   0.406;     9;     1
 19680909;    1390;   0.360;     9;     1
 19680910;    1190;   0.308;     9;     1
 19680911;    6310;   1.634;     9;     1
 19680912;    4110;   1.064;     9;     1
 19680913;    2700;   0.699;     9;     1
 19680914;    2320;   0.601;     9;     1
 19680915;    4130;   1.069;     9;     1
 19680916;    3580;   0.927;     9;     1
 19680917;    2530;   0.655;     9;     1
 19680918;    2080;   0.539;     9;     1
 19680919;    1890;   0.489;     9;     1
 19680920;    1710;   0.443;     9;     1
 19680921;    2220;   0.575;     9;     1
 19680922;    9130;   2.364;     9;     1
 19680923;    5830;   1.509;     9;     1
 19680924;    5520;   1.429;     9;     1
 19680925;    4370;   1.131;     9;     1
 19680926;    3870;   1.002;     9;     1
 19680927;    3200;   0.829;     9;     1
 19680928;    8770;   2.271;     9;     1
 19680929;    8780;   2.273;     9;     1
 19680930;    8180;   2.118;     9;     1
 19681001;    6730;   1.742;     9;     1
 19681002;    5690;   1.473;     9;     1
 19681003;    4810;   1.245;     9;     1
 19681004;    4330;   1.121;     9;     1
 19681005;    3710;   0.961;     9;     1
 19681006;    3410;   0.883;     9;     1
 19681007;    3170;   0.821;     9;     1
 19681008;    6250;   1.618;     9;     1
 19681009;   10000;   2.589;     9;     1
 19681010;    6790;   1.758;     9;     1
 19681011;    5450;   1.411;     9;     1
 19681012;    4790;   1.240;     9;     1
 19681013;    4300;   1.113;     9;     1
 19681014;    3780;   0.979;     9;     1
 19681015;    3480;   0.901;     9;     1
 19681016;    3010;   0.779;     9;     1
 19681017;    2470;   0.640;     9;     1
 19681018;    2240;   0.580;     9;     1
 19681019;    2080;   0.539;     9;     1
 19681020;    1920;   0.497;     9;     1
 19681021;    1810;   0.469;     9;     1
 19681022;    1730;   0.448;     9;     1
 19681023;    1600;   0.414;     9;     1
 19681024;    1620;   0.419;     9;     1
 19681025;    2510;   0.650;     9;     1
 19681026;    2050;   0.531;     9;     1
 19681027;    1810;   0.469;     9;     1
 19681028;    1750;   0.453;     9;     1
 19681029;    1680;   0.435;     9;     1
 19681030;    1650;   0.427;     9;     1
 19681031;    1500;   0.388;     9;     1
 19681101;    1350;   0.350;     9;     1
 19681102;   22100;   5.722;     5;     1
 19681103;   43800;  11.340;     5;     1
 19681104;   26800;   6.939;     9;     1
 19681105;   25200;   6.524;     9;     1
 19681106;   17200;   4.453;     9;     1
 19681107;   13700;   3.547;     9;     1
 19681108;   11600;   3.003;     9;     1
 19681109;    9960;   2.579;     9;     1
 19681110;    8270;   2.141;     9;     1
 19681111;    7020;   1.818;     9;     1
 19681112;    6140;   1.590;     9;     1
 19681113;    5480;   1.419;     9;     1
 19681114;    4770;   1.235;     9;     1
 19681115;    4280;   1.108;     9;     1
 19681116;    3830;   0.992;     9;     1
 19681117;    3430;   0.888;     9;     1
 19681118;    3100;   0.803;     9;     1
 19681119;    3040;   0.787;     9;     1
 19681120;    4100;   1.062;     9;     1
 19681121;    4040;   1.046;     9;     1
 19681122;    3460;   0.896;     9;     1
 19681123;    2900;   0.751;     9;     1
 19681124;    3570;   0.924;     9;     1
 19681125;    4310;   1.116;     9;     1
 19681126;    4070;   1.054;     9;     1
 19681127;    3940;   1.020;     9;     1
 19681128;    3620;   0.937;     9;     1
 19681129;    3320;   0.860;     9;     1
 19681130;    3330;   0.862;     9;     1
 19681201;    3070;   0.795;     9;     1
 19681202;    2880;   0.746;     9;     1
 19681203;    2810;   0.728;     9;     1
 19681204;    2610;   0.676;     9;     1
 19681205;    2420;   0.627;     9;     1
 19681206;    2280;   0.590;     9;     1
 19681207;    2280;   0.590;     9;     1
 19681208;    2270;   0.588;     9;     1
 19681209;    2130;   0.551;     9;     1
 19681210;    2180;   0.564;     9;     1
 19681211;    2040;   0.528;     9;     1
 19681212;    1860;   0.482;     9;     1
 19681213;    1720;   0.445;     9;     1
 19681214;    1690;   0.438;     9;     1
 19681215;    1820;   0.471;     9;     1
 19681216;    1760;   0.456;     9;     1
 19681217;    1780;   0.461;     9;     1
 19681218;    1820;   0.471;     9;     1
 19681219;    1960;   0.507;     9;     1
 19681220;    2010;   0.520;     9;     1
 19681221;    2360;   0.611;     9;     1
 19681222;    2590;   0.671;     9;     1
 19681223;    8810;   2.281;     9;     1
 19681224;   25300;   6.550;     9;     1
 19681225;   41700;  10.796;     9;     1
 19681226;   46000;  11.910;     9;     1
 19681227;   35600;   9.217;     9;     1
 19681228;   24500;   6.343;     9;     1
 19681229;   18300;   4.738;     9;     1
 19681230;   14100;   3.651;     9;     1
 19681231;   11800;   3.055;     9;     1
 19690101;    9980;   2.584;     9;     1
 19690102;    8850;   2.291;     9;     1
 19690103;    8430;   2.183;     9;     1
 19690104;    8320;   2.154;     9;     1
 19690105;    7340;   1.900;     9;     1
 19690106;    6720;   1.740;     9;     1
 19690107;    6740;   1.745;     9;     1
 19690108;   10200;   2.641;     9;     1
 19690109;    9190;   2.379;     9;     1
 19690110;    8150;   2.110;     9;     1
 19690111;    7350;   1.903;     9;     1
 19690112;    7200;   1.864;     9;     1
 19690113;    8590;   2.224;     9;     1
 19690114;   13600;   3.521;     9;     1
 19690115;   20900;   5.411;     9;     1
 19690116;   16800;   4.350;     9;     1
 19690117;   14200;   3.676;     9;     1
 19690118;   13100;   3.392;     9;     1
 19690119;   14200;   3.676;     9;     1
 19690120;   11300;   2.926;     9;     1
 19690121;    9750;   2.524;     9;     1
 19690122;    8560;   2.216;     9;     1
 19690123;    7580;   1.963;     9;     1
 19690124;    6760;   1.750;     9;     1
 19690125;    6130;   1.587;     9;     1
 19690126;    5500;   1.424;     9;     1
 19690127;    4980;   1.289;     9;     1
 19690128;    4780;   1.238;     9;     1
 19690129;    5380;   1.393;     9;     1
 19690130;    6030;   1.561;     9;     1
 19690131;    5330;   1.380;     9;     1
 19690201;    4730;   1.225;     9;     1
 19690202;    4410;   1.142;     9;     1
 19690203;    4470;   1.157;     9;     1
 19690204;    4010;   1.038;     9;     1
 19690205;    3460;   0.896;     9;     1
 19690206;    2970;   0.769;     9;     1
 19690207;    3010;   0.779;     9;     1
 19690208;    2800;   0.725;     9;     1
 19690209;    2590;   0.671;     9;     1
 19690210;    2690;   0.696;     9;     1
 19690211;    2360;   0.611;     9;     1
 19690212;    4450;   1.152;     9;     1
 19690213;    5430;   1.406;     9;     1
 19690214;    4630;   1.199;     9;     1
 19690215;    3980;   1.030;     9;     1
 19690216;    3520;   0.911;     9;     1
 19690217;    3220;   0.834;     9;     1
 19690218;    2980;   0.772;     9;     1
 19690219;    5130;   1.328;     9;     1
 19690220;   13100;   3.392;     9;     1
 19690221;    9090;   2.353;     9;     1
 19690222;    8450;   2.188;     9;     1
 19690223;    8190;   2.120;     9;     1
 19690224;   13200;   3.418;     9;     1
 19690225;   12700;   3.288;     9;     1
 19690226;   11100;   2.874;     9;     1
 19690227;   10100;   2.615;     9;     1
 19690228;    8910;   2.307;     9;     1
 19690301;    8020;   2.076;     9;     1
 19690302;    8040;   2.082;     9;     1
 19690303;    7120;   1.843;     9;     1
 19690304;    6440;   1.667;     9;     1
 19690305;    5640;   1.460;     9;     1
 19690306;    5200;   1.346;     9;     1
 19690307;    4640;   1.201;     9;     1
 19690308;    4070;   1.054;     9;     1
 19690309;    3620;   0.937;     9;     1
 19690310;    3300;   0.854;     9;     1
 19690311;    3540;   0.917;     9;     1
 19690312;    4050;   1.049;     9;     1
 19690313;    4080;   1.056;     9;     1
 19690314;    8120;   2.102;     9;     1
 19690315;    8540;   2.211;     9;     1
 19690316;    8880;   2.299;     9;     1
 19690317;    8620;   2.232;     9;     1
 19690318;    8810;   2.281;     9;     1
 19690319;    8710;   2.255;     9;     1
 19690320;    8900;   2.304;     9;     1
 19690321;    7640;   1.978;     9;     1
 19690322;    6700;   1.735;     9;     1
 19690323;    9910;   2.566;     9;     1
 19690324;    8760;   2.268;     9;     1
 19690325;    7950;   2.058;     9;     1
 19690326;    7650;   1.981;     9;     1
 19690327;    9220;   2.387;     9;     1
 19690328;    9610;   2.488;     9;     1
 19690329;    8410;   2.177;     9;     1
 19690330;    7410;   1.919;     9;     1
 19690331;    7280;   1.885;     9;     1
 19690401;    8440;   2.185;     9;     1
 19690402;    7320;   1.895;     9;     1
 19690403;    6200;   1.605;     9;     1
 19690404;    5600;   1.450;     9;     1
 19690405;    5280;   1.367;     9;     1
 19690406;    4830;   1.251;     9;     1
 19690407;    4250;   1.100;     9;     1
 19690408;    3290;   0.852;     9;     1
 19690409;    3000;   0.777;     9;     1
 19690410;    2730;   0.707;     9;     1
 19690411;    2420;   0.627;     9;     1
 19690412;    2380;   0.616;     9;     1
 19690413;    3530;   0.914;     9;     1
 19690414;    2880;   0.746;     9;     1
 19690415;    4680;   1.212;     9;     1
 19690416;    4520;   1.170;     9;     1
 19690417;    3530;   0.914;     9;     1
 19690418;    3160;   0.818;     9;     1
 19690419;    2940;   0.761;     9;     1
 19690420;    2690;   0.696;     9;     1
 19690421;    2720;   0.704;     9;     1
 19690422;    4710;   1.219;     9;     1
 19690423;    4730;   1.225;     9;     1
 19690424;    3700;   0.958;     9;     1
 19690425;    3280;   0.849;     9;     1
 19690426;    2610;   0.676;     9;     1
 19690427;    6400;   1.657;     9;     1
 19690428;   36300;   9.398;     9;     1
 19690429;   38100;   9.864;     9;     1
 19690430;   30300;   7.845;     9;     1
 19690501;   20700;   5.359;     9;     1
 19690502;   15600;   4.039;     9;     1
 19690503;   12700;   3.288;     9;     1
 19690504;   10800;   2.796;     9;     1
 19690505;    9950;   2.576;     9;     1
 19690506;   22100;   5.722;     9;     1
 19690507;   13700;   3.547;     9;     1
 19690508;   12000;   3.107;     9;     1
 19690509;   10600;   2.744;     9;     1
 19690510;    8970;   2.322;     9;     1
 19690511;    7430;   1.924;     9;     1
 19690512;    6130;   1.587;     9;     1
 19690513;    5150;   1.333;     9;     1
 19690514;    4380;   1.134;     9;     1
 19690515;    3790;   0.981;     9;     1
 19690516;    3260;   0.844;     9;     1
 19690517;    2820;   0.730;     9;     1
 19690518;    2370;   0.614;     9;     1
 19690519;    2270;   0.588;     9;     1
 19690520;    1850;   0.479;     9;     1
 19690521;    1780;   0.461;     9;     1
 19690522;    1590;   0.412;     9;     1
 19690523;    1430;   0.370;     9;     1
 19690524;    1250;   0.324;     9;     1
 19690525;    1370;   0.355;     9;     1
 19690526;    2750;   0.712;     9;     1
 19690527;    1820;   0.471;     9;     1
 19690528;    1600;   0.414;     9;     1
 19690529;    2100;   0.544;     9;     1
 19690530;    1850;   0.479;     9;     1
 19690531;    1750;   0.453;     9;     1
 19690601;    1650;   0.427;     9;     1
 19690602;    1450;   0.375;     9;     1
 19690603;    1210;   0.313;     9;     1
 19690604;    1400;   0.362;     9;     1
 19690605;    1500;   0.388;     9;     1
 19690606;    3780;   0.979;     9;     1
 19690607;    2830;   0.733;     9;     1
 19690608;    2200;   0.570;     9;     1
 19690609;    1800;   0.466;     9;     1
 19690610;    1450;   0.375;     9;     1
 19690611;    1270;   0.329;     9;     1
 19690612;    1590;   0.412;     9;     1
 19690613;    7770;   2.012;     9;     1
 19690614;    5050;   1.307;     9;     1
 19690615;    3060;   0.792;     9;     1
 19690616;    2820;   0.730;     9;     1
 19690617;    2720;   0.704;     9;     1
 19690618;    7790;   2.017;     9;     1
 19690619;   11000;   2.848;     9;     1
 19690620;    7230;   1.872;     9;     1
 19690621;    5960;   1.543;     9;     1
 19690622;    5300;   1.372;     9;     1
 19690623;    4200;   1.087;     9;     1
 19690624;    6750;   1.748;     9;     1
 19690625;    5550;   1.437;     9;     1
 19690626;    4740;   1.227;     9;     1
 19690627;    3920;   1.015;     9;     1
 19690628;    3820;   0.989;     9;     1
 19690629;    2950;   0.764;     9;     1
 19690630;    2360;   0.611;     9;     1
 19690701;    2290;   0.593;     9;     1
 19690702;    1930;   0.500;     9;     1
 19690703;    1510;   0.391;     9;     1
 19690704;    1660;   0.430;     9;     1
 19690705;    1600;   0.414;     9;     1
 19690706;    1450;   0.375;     9;     1
 19690707;    1780;   0.461;     9;     1
 19690708;    1500;   0.388;     9;     1
 19690709;    1320;   0.342;     9;     1
 19690710;    1850;   0.479;     9;     1
 19690711;    2190;   0.567;     9;     1
 19690712;    1800;   0.466;     9;     1
 19690713;    1490;   0.386;     9;     1
 19690714;    1340;   0.347;     9;     1
 19690715;     900;   0.233;     9;     1
 19690716;     764;   0.198;     9;     1
 19690717;     659;   0.171;     9;     1
 19690718;     600;   0.155;     9;     1
 19690719;     570;   0.148;     9;     1
 19690720;     547;   0.142;     9;     1
 19690721;     535;   0.139;     9;     1
 19690722;     549;   0.142;     9;     1
 19690723;     532;   0.138;     9;     1
 19690724;     510;   0.132;     9;     1
 19690725;     523;   0.135;     5;     1
 19690726;     802;   0.208;     9;     1
 19690727;     577;   0.149;     9;     1
 19690728;     521;   0.135;     9;     1
 19690729;     499;   0.129;     9;     1
 19690730;     528;   0.137;     9;     1
 19690731;     560;   0.145;     9;     1
 19690801;     537;   0.139;     9;     1
 19690802;     496;   0.128;     9;     1
 19690803;     515;   0.133;     9;     1
 19690804;     493;   0.128;     9;     1
 19690805;     471;   0.122;     9;     1
 19690806;     446;   0.115;     9;     1
 19690807;     436;   0.113;     9;     1
 19690808;     449;   0.116;     9;     1
 19690809;     408;   0.106;     5;     1
 19690810;     379;   0.098;     5;     1
 19690811;     392;   0.101;     5;     1
 19690812;     551;   0.143;     5;     1
 19690813;    1410;   0.365;     9;     1
 19690814;    2070;   0.536;     9;     1
 19690815;    4490;   1.162;     9;     1
 19690816;    1870;   0.484;     9;     1
 19690817;    1820;   0.471;     9;     1
 19690818;    1190;   0.308;     9;     1
 19690819;     815;   0.211;     9;     1
 19690820;     714;   0.185;     9;     1
 19690821;     757;   0.196;     9;     1
 19690822;     693;   0.179;     9;     1
 19690823;     657;   0.170;     9;     1
 19690824;     683;   0.177;     9;     1
 19690825;     772;   0.200;     9;     1
 19690826;     800;   0.207;     9;     1
 19690827;    1200;   0.311;     9;     1
 19690828;    1060;   0.274;     9;     1
 19690829;     869;   0.225;     9;     1
 19690830;     847;   0.219;     9;     1
 19690831;     864;   0.224;     9;     1
 19690901;     811;   0.210;     9;     1
 19690902;     795;   0.206;     9;     1
 19690903;     854;   0.221;     9;     1
 19690904;     800;   0.207;     9;     1
 19690905;     800;   0.207;     9;     1
 19690906;     800;   0.207;     9;     1
 19690907;     786;   0.204;     9;     1
 19690908;     754;   0.195;     9;     1
 19690909;    1130;   0.293;     9;     1
 19690910;    1930;   0.500;     9;     1
 19690911;    1180;   0.306;     9;     1
 19690912;     860;   0.223;     9;     1
 19690913;     723;   0.187;     9;     1
 19690914;     680;   0.176;     9;     1
 19690915;     670;   0.173;     9;     1
 19690916;     670;   0.173;     9;     1
 19690917;     627;   0.162;     9;     1
 19690918;    1010;   0.261;     9;     1
 19690919;     869;   0.225;     9;     1
 19690920;     916;   0.237;     9;     1
 19690921;     749;   0.194;     9;     1
 19690922;     677;   0.175;     9;     1
 19690923;     579;   0.150;     9;     1
 19690924;     582;   0.151;     9;     1
 19690925;     631;   0.163;     9;     1
 19690926;     534;   0.138;     9;     1
 19690927;     584;   0.151;     9;     1
 19690928;     518;   0.134;     9;     1
 19690929;     498;   0.129;     5;     1
 19690930;     465;   0.120;     5;     1
 19691001;     487;   0.126;     5;     1
 19691002;     507;   0.131;     9;     1
 19691003;     473;   0.122;     5;     1
 19691004;     483;   0.125;     9;     1
 19691005;     485;   0.126;     9;     1
 19691006;     520;   0.135;     9;     1
 19691007;     546;   0.141;     9;     1
 19691008;     506;   0.131;     9;     1
 19691009;     547;   0.142;     9;     1
 19691010;     520;   0.135;     9;     1
 19691011;     485;   0.126;     9;     1
 19691012;     512;   0.133;     9;     1
 19691013;     512;   0.133;     9;     1
 19691014;     513;   0.133;     9;     1
 19691015;     919;   0.238;     9;     1
 19691016;     753;   0.195;     9;     1
 19691017;     647;   0.168;     9;     1
 19691018;     572;   0.148;     9;     1
 19691019;     519;   0.134;     9;     1
 19691020;     558;   0.144;     9;     1
 19691021;     582;   0.151;     9;     1
 19691022;     574;   0.149;     9;     1
 19691023;     539;   0.140;     9;     1
 19691024;     671;   0.174;     9;     1
 19691025;     650;   0.168;     9;     1
 19691026;     591;   0.153;     9;     1
 19691027;     546;   0.141;     9;     1
 19691028;     600;   0.155;     9;     1
 19691029;     540;   0.140;     9;     1
 19691030;     551;   0.143;     5;     1
 19691031;     564;   0.146;     9;     1
 19691101;     550;   0.142;     9;     1
 19691102;     560;   0.145;     9;     1
 19691103;     585;   0.151;     5;     1
 19691104;     683;   0.177;     9;     1
 19691105;     689;   0.178;     9;     1
 19691106;     725;   0.188;     9;     1
 19691107;     820;   0.212;     9;     1
 19691108;    1450;   0.375;     9;     1
 19691109;    1440;   0.373;     9;     1
 19691110;    1690;   0.438;     9;     1
 19691111;    1330;   0.344;     9;     1
 19691112;    1190;   0.308;     9;     1
 19691113;    1470;   0.381;     9;     1
 19691114;    1250;   0.324;     9;     1
 19691115;     953;   0.247;     9;     1
 19691116;     846;   0.219;     9;     1
 19691117;     852;   0.221;     9;     1
 19691118;     946;   0.245;     9;     1
 19691119;     887;   0.230;     9;     1
 19691120;     781;   0.202;     9;     1
 19691121;     938;   0.243;     9;     1
 19691122;     960;   0.249;     9;     1
 19691123;    1190;   0.308;     9;     1
 19691124;    7190;   1.862;     9;     1
 19691125;    6410;   1.660;     9;     1
 19691126;    5000;   1.295;     9;     1
 19691127;    3650;   0.945;     9;     1
 19691128;    2960;   0.766;     9;     1
 19691129;    3650;   0.945;     9;     1
 19691130;    2800;   0.725;     9;     1
 19691201;    2230;   0.577;     9;     1
 19691202;    2020;   0.523;     9;     1
 19691203;    2610;   0.676;     9;     1
 19691204;   12500;   3.236;     9;     1
 19691205;   10000;   2.589;     9;     1
 19691206;    7390;   1.913;     9;     1
 19691207;    5930;   1.535;     9;     1
 19691208;    4990;   1.292;     9;     1
 19691209;    4470;   1.157;     9;     1
 19691210;    3800;   0.984;     9;     1
 19691211;    3400;   0.880;     9;     1
 19691212;    3060;   0.792;     9;     1
 19691213;    2730;   0.707;     9;     1
 19691214;    2410;   0.624;     9;     1
 19691215;    7020;   1.818;     9;     1
 19691216;   11500;   2.977;     9;     1
 19691217;    8550;   2.214;     9;     1
 19691218;    9570;   2.478;     9;     1
 19691219;   10800;   2.796;     9;     1
 19691220;    8330;   2.157;     9;     1
 19691221;    6770;   1.753;     9;     1
 19691222;    6570;   1.701;     9;     1
 19691223;   15000;   3.884;     9;     1
 19691224;   11500;   2.977;     9;     1
 19691225;    9730;   2.519;     9;     1
 19691226;    8260;   2.139;     9;     1
 19691227;    7120;   1.843;     9;     1
 19691228;    6070;   1.572;     9;     1
 19691229;    5360;   1.388;     9;     1
 19691230;    4630;   1.199;     9;     1
 19691231;    3890;   1.007;     9;     1
 19700101;    3410;   0.883;     9;     1
 19700102;    3000;   0.777;     9;     1
 19700103;    2700;   0.699;     9;     1
 19700104;    2850;   0.738;     9;     1
 19700105;    6070;   1.572;     9;     1
 19700106;    5000;   1.295;     9;     1
 19700107;    3410;   0.883;     9;     1
 19700108;    2940;   0.761;     9;     1
 19700109;    3820;   0.989;     9;     1
 19700110;    4260;   1.103;     9;     1
 19700111;    4180;   1.082;     9;     1
 19700112;    5960;   1.543;     9;     1
 19700113;    4960;   1.284;     9;     1
 19700114;    4600;   1.191;     9;     1
 19700115;    5360;   1.388;     9;     1
 19700116;    5680;   1.471;     9;     1
 19700117;    5010;   1.297;     9;     1
 19700118;    4690;   1.214;     9;     1
 19700119;    4620;   1.196;     9;     1
 19700120;    4320;   1.118;     9;     1
 19700121;    3970;   1.028;     9;     1
 19700122;    4080;   1.056;     9;     1
 19700123;    3870;   1.002;     9;     1
