## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:10:55
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Languedoc-Roussillon
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Y0245210
## Nom station                      : Le Mondony à Amélie-les-Bains-Palalda
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      672703 ;    6152034 ;      672740 ;    6152043 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      627376 ;    1718240 ;      627413 ;    1718249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.66857 ;   42.46766 ;     2.66902 ;   42.46774 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       32.30 ;      32.49 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         242 ;        294 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :    10.8 [%]
## Débits disponibles               :  1966-10-14 ; 2021-02-02 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19661014;     660;   1.755;     9;     1
 19661015;     585;   1.556;     9;     1
 19661016;     585;   1.556;     9;     1
 19661017;     515;   1.370;     9;     1
 19661018;     446;   1.186;     9;     1
 19661019;     381;   1.013;     9;     1
 19661020;     381;   1.013;     9;     1
 19661021;     381;   1.013;     9;     1
 19661022;     305;   0.811;     9;     1
 19661023;     305;   0.811;     9;     1
 19661024;     305;   0.811;     9;     1
 19661025;     305;   0.811;     9;     1
 19661026;     240;   0.638;     9;     1
 19661027;     240;   0.638;     9;     1
 19661028;     381;   1.013;     9;     1
 19661029;     305;   0.811;     9;     1
 19661030;     240;   0.638;     9;     1
 19661031;     240;   0.638;     9;     1
 19661101;     240;   0.638;     9;     1
 19661102;     175;   0.465;     9;     1
 19661103;     -99; -99.000;   -99;   -99
 19661104;     -99; -99.000;   -99;   -99
 19661105;     -99; -99.000;   -99;   -99
 19661106;     -99; -99.000;   -99;   -99
 19661107;     -99; -99.000;   -99;   -99
 19661108;     -99; -99.000;   -99;   -99
 19661109;     -99; -99.000;   -99;   -99
 19661110;     -99; -99.000;   -99;   -99
 19661111;     -99; -99.000;   -99;   -99
 19661112;     -99; -99.000;   -99;   -99
 19661113;     -99; -99.000;   -99;   -99
 19661114;     660;   1.755;     9;     1
 19661115;     585;   1.556;     9;     1
 19661116;     585;   1.556;     9;     1
 19661117;     585;   1.556;     9;     1
 19661118;     515;   1.370;     9;     1
 19661119;     515;   1.370;     9;     1
 19661120;     446;   1.186;     9;     1
 19661121;     446;   1.186;     9;     1
 19661122;     446;   1.186;     9;     1
 19661123;     381;   1.013;     9;     1
 19661124;     381;   1.013;     9;     1
 19661125;     381;   1.013;     9;     1
 19661126;     381;   1.013;     9;     1
 19661127;     305;   0.811;     9;     1
 19661128;     305;   0.811;     9;     1
 19661129;     240;   0.638;     9;     0
 19661130;     240;   0.638;     9;     0
 19661201;     240;   0.638;     9;     0
 19661202;     240;   0.638;     9;     0
 19661203;     240;   0.638;     9;     0
 19661204;     240;   0.638;     9;     0
 19661205;     240;   0.638;     9;     0
 19661206;     240;   0.638;     9;     0
 19661207;     240;   0.638;     9;     0
 19661208;     240;   0.638;     9;     0
 19661209;     240;   0.638;     9;     0
 19661210;     240;   0.638;     9;     0
 19661211;     240;   0.638;     9;     0
 19661212;     240;   0.638;     9;     0
 19661213;     240;   0.638;     9;     0
 19661214;     240;   0.638;     9;     0
 19661215;     240;   0.638;     9;     0
 19661216;     240;   0.638;     9;     0
 19661217;     240;   0.638;     9;     0
 19661218;     240;   0.638;     9;     0
 19661219;     240;   0.638;     9;     0
 19661220;     240;   0.638;     9;     0
 19661221;     240;   0.638;     9;     0
 19661222;     240;   0.638;     9;     0
 19661223;     240;   0.638;     9;     0
 19661224;     240;   0.638;     9;     0
 19661225;     240;   0.638;     9;     0
 19661226;     240;   0.638;     9;     0
 19661227;     175;   0.465;     9;     0
 19661228;     175;   0.465;     9;     0
 19661229;     175;   0.465;     9;     0
 19661230;     175;   0.465;     9;     0
 19661231;     175;   0.465;     9;     0
 19670101;     175;   0.465;     9;     0
 19670102;     175;   0.465;     9;     0
 19670103;     175;   0.465;     9;     0
 19670104;     175;   0.465;     9;     0
 19670105;     175;   0.465;     9;     0
 19670106;     175;   0.465;     9;     0
 19670107;     175;   0.465;     9;     0
 19670108;     175;   0.465;     9;     0
 19670109;     175;   0.465;     9;     0
 19670110;     175;   0.465;     9;     0
 19670111;     175;   0.465;     9;     0
 19670112;     175;   0.465;     9;     0
 19670113;     175;   0.465;     9;     0
 19670114;     175;   0.465;     9;     0
 19670115;     175;   0.465;     9;     0
 19670116;     175;   0.465;     9;     0
 19670117;     175;   0.465;     9;     0
 19670118;     175;   0.465;     9;     0
 19670119;     120;   0.319;     9;     1
 19670120;     175;   0.465;     9;     1
 19670121;     240;   0.638;     9;     1
 19670122;     175;   0.465;     9;     1
 19670123;     175;   0.465;     9;     1
 19670124;     175;   0.465;     9;     1
 19670125;     120;   0.319;     9;     0
 19670126;     120;   0.319;     9;     0
 19670127;     120;   0.319;     9;     0
 19670128;     120;   0.319;     9;     0
 19670129;     120;   0.319;     9;     0
 19670130;     120;   0.319;     9;     0
 19670131;     120;   0.319;     9;     0
 19670201;     120;   0.319;     9;     0
 19670202;     120;   0.319;     9;     0
 19670203;     120;   0.319;     9;     0
 19670204;     120;   0.319;     9;     0
 19670205;     120;   0.319;     9;     0
 19670206;     120;   0.319;     9;     0
 19670207;     120;   0.319;     9;     0
 19670208;     120;   0.319;     9;     0
 19670209;     120;   0.319;     9;     0
 19670210;     120;   0.319;     9;     0
 19670211;     120;   0.319;     9;     0
 19670212;     240;   0.638;     9;     1
 19670213;     240;   0.638;     9;     1
 19670214;    1580;   4.202;     5;     1
 19670215;    9400;  24.997;     5;     1
 19670216;    5350;  14.227;     5;     1
 19670217;    3260;   8.669;     5;     1
 19670218;    2470;   6.568;     5;     1
 19670219;    2040;   5.425;     9;     1
 19670220;    2200;   5.850;     9;     1
 19670221;    2670;   7.100;     9;     1
 19670222;    3300;   8.776;     9;     1
 19670223;    3570;   9.494;     9;     1
 19670224;    3300;   8.776;     9;     1
 19670225;    3050;   8.111;     9;     1
 19670226;    2670;   7.100;     9;     1
 19670227;    2090;   5.558;     9;     1
 19670228;    1870;   4.973;     9;     1
 19670301;    1560;   4.148;     9;     1
 19670302;    1360;   3.617;     9;     1
 19670303;    1360;   3.617;     9;     1
 19670304;    1260;   3.351;     9;     1
 19670305;    1170;   3.111;     9;     1
 19670306;    1170;   3.111;     9;     1
 19670307;    1080;   2.872;     9;     1
 19670308;     990;   2.633;     9;     1
 19670309;    1080;   2.872;     9;     1
 19670310;    1260;   3.351;     9;     1
 19670311;     990;   2.633;     9;     1
 19670312;     905;   2.407;     9;     1
 19670313;     820;   2.181;     9;     1
 19670314;     740;   1.968;     9;     1
 19670315;     660;   1.755;     9;     1
 19670316;     660;   1.755;     9;     1
 19670317;     585;   1.556;     9;     1
 19670318;     585;   1.556;     9;     1
 19670319;     515;   1.370;     9;     1
 19670320;     515;   1.370;     9;     1
 19670321;     515;   1.370;     9;     1
 19670322;     515;   1.370;     9;     1
 19670323;     446;   1.186;     9;     1
 19670324;     446;   1.186;     9;     1
 19670325;     381;   1.013;     9;     1
 19670326;     381;   1.013;     9;     1
 19670327;     381;   1.013;     9;     1
 19670328;     381;   1.013;     9;     1
 19670329;     515;   1.370;     9;     0
 19670330;     515;   1.370;     9;     0
 19670331;     515;   1.370;     9;     0
 19670401;     515;   1.370;     9;     0
 19670402;     515;   1.370;     9;     0
 19670403;     515;   1.370;     9;     0
 19670404;     515;   1.370;     9;     0
 19670405;     515;   1.370;     9;     0
 19670406;     515;   1.370;     9;     0
 19670407;     515;   1.370;     9;     0
 19670408;     446;   1.186;     9;     0
 19670409;     446;   1.186;     9;     0
 19670410;     446;   1.186;     9;     0
 19670411;     446;   1.186;     9;     0
 19670412;     446;   1.186;     9;     0
 19670413;     446;   1.186;     9;     0
 19670414;     446;   1.186;     9;     0
 19670415;     446;   1.186;     9;     0
 19670416;     515;   1.370;     9;     0
 19670417;     515;   1.370;     9;     0
 19670418;     515;   1.370;     9;     0
 19670419;     515;   1.370;     9;     0
 19670420;     515;   1.370;     9;     0
 19670421;     515;   1.370;     9;     0
 19670422;     515;   1.370;     9;     0
 19670423;     515;   1.370;     9;     0
 19670424;     515;   1.370;     9;     0
 19670425;     446;   1.186;     9;     1
 19670426;     446;   1.186;     9;     1
 19670427;     446;   1.186;     9;     1
 19670428;     446;   1.186;     9;     1
 19670429;     381;   1.013;     9;     1
 19670430;     381;   1.013;     9;     1
 19670501;     381;   1.013;     9;     1
 19670502;     446;   1.186;     9;     1
 19670503;     905;   2.407;     9;     1
 19670504;     990;   2.633;     9;     1
 19670505;    1080;   2.872;     9;     1
 19670506;    1360;   3.617;     9;     1
 19670507;    1360;   3.617;     9;     1
 19670508;    1260;   3.351;     9;     1
 19670509;    1080;   2.872;     9;     1
 19670510;     990;   2.633;     9;     1
 19670511;     905;   2.407;     9;     1
 19670512;     820;   2.181;     9;     1
 19670513;     740;   1.968;     9;     1
 19670514;     740;   1.968;     9;     1
 19670515;     660;   1.755;     9;     1
 19670516;     660;   1.755;     9;     1
 19670517;     515;   1.370;     9;     1
 19670518;     515;   1.370;     9;     1
 19670519;     515;   1.370;     9;     1
 19670520;     446;   1.186;     9;     1
 19670521;     446;   1.186;     9;     1
 19670522;     446;   1.186;     9;     1
 19670523;     446;   1.186;     9;     1
 19670524;     381;   1.013;     9;     1
 19670525;     381;   1.013;     9;     1
 19670526;     381;   1.013;     9;     1
 19670527;     381;   1.013;     9;     1
 19670528;     305;   0.811;     9;     0
 19670529;     305;   0.811;     9;     0
 19670530;     305;   0.811;     9;     0
 19670531;     305;   0.811;     9;     0
 19670601;     305;   0.811;     9;     0
 19670602;     305;   0.811;     9;     0
 19670603;     240;   0.638;     9;     1
 19670604;     240;   0.638;     9;     1
 19670605;     175;   0.465;     9;     0
 19670606;     175;   0.465;     9;     0
 19670607;     175;   0.465;     9;     0
 19670608;     175;   0.465;     9;     0
 19670609;     175;   0.465;     9;     0
 19670610;     175;   0.465;     9;     0
 19670611;     175;   0.465;     9;     0
 19670612;     175;   0.465;     9;     0
 19670613;     175;   0.465;     9;     0
 19670614;     175;   0.465;     9;     0
 19670615;     120;   0.319;     9;     0
 19670616;     120;   0.319;     9;     0
 19670617;     120;   0.319;     9;     0
 19670618;     120;   0.319;     9;     0
 19670619;     120;   0.319;     9;     0
 19670620;     120;   0.319;     9;     0
 19670621;     120;   0.319;     9;     0
 19670622;     120;   0.319;     9;     0
 19670623;     120;   0.319;     9;     0
 19670624;     120;   0.319;     9;     0
 19670625;     120;   0.319;     9;     0
 19670626;      75;   0.199;     9;     0
 19670627;      75;   0.199;     9;     0
 19670628;      75;   0.199;     9;     0
 19670629;      75;   0.199;     9;     0
 19670630;      75;   0.199;     9;     0
 19670701;      75;   0.199;     9;     0
 19670702;      75;   0.199;     9;     0
 19670703;      75;   0.199;     9;     0
 19670704;      75;   0.199;     9;     0
 19670705;      75;   0.199;     9;     0
 19670706;     120;   0.319;     9;     0
 19670707;     120;   0.319;     9;     0
 19670708;     120;   0.319;     9;     0
 19670709;     120;   0.319;     9;     0
 19670710;     120;   0.319;     9;     0
 19670711;      75;   0.199;     9;     1
 19670712;      45;   0.120;     9;     0
 19670713;      45;   0.120;     9;     0
 19670714;      45;   0.120;     9;     0
 19670715;      45;   0.120;     9;     0
 19670716;      45;   0.120;     9;     0
 19670717;      45;   0.120;     9;     0
 19670718;      45;   0.120;     9;     0
 19670719;       5;   0.013;     5;     1
 19670720;       5;   0.013;     5;     1
 19670721;       6;   0.016;     5;     1
 19670722;       6;   0.016;     5;     1
 19670723;       6;   0.016;     5;     1
 19670724;       7;   0.019;     5;     1
 19670725;       7;   0.019;     5;     1
 19670726;       8;   0.021;     5;     1
 19670727;       8;   0.021;     5;     1
 19670728;       8;   0.021;     5;     1
 19670729;       9;   0.024;     5;     1
 19670730;       9;   0.024;     5;     1
 19670731;       9;   0.024;     5;     1
 19670801;      10;   0.027;     5;     1
 19670802;      10;   0.027;     5;     1
 19670803;      11;   0.029;     5;     1
 19670804;      11;   0.029;     5;     1
 19670805;      11;   0.029;     5;     1
 19670806;      11;   0.029;     5;     1
 19670807;      12;   0.032;     5;     1
 19670808;      12;   0.032;     5;     1
 19670809;      11;   0.029;     5;     1
 19670810;      11;   0.029;     5;     1
 19670811;      11;   0.029;     5;     1
 19670812;      11;   0.029;     5;     1
 19670813;     175;   0.465;     9;     1
 19670814;      11;   0.029;     5;     1
 19670815;      11;   0.029;     5;     1
 19670816;       6;   0.016;     5;     1
 19670817;      10;   0.027;     5;     0
 19670818;      10;   0.027;     5;     0
 19670819;      10;   0.027;     5;     0
 19670820;      10;   0.027;     5;     0
 19670821;      10;   0.027;     5;     0
 19670822;      10;   0.027;     5;     0
 19670823;      10;   0.027;     5;     0
 19670824;       9;   0.024;     5;     0
 19670825;       9;   0.024;     5;     0
 19670826;       9;   0.024;     5;     0
 19670827;       9;   0.024;     5;     0
 19670828;       9;   0.024;     5;     0
 19670829;       9;   0.024;     5;     0
 19670830;       9;   0.024;     5;     0
 19670831;       8;   0.021;     5;     1
 19670901;       8;   0.021;     5;     1
 19670902;       8;   0.021;     5;     1
 19670903;       8;   0.021;     5;     1
 19670904;       7;   0.019;     5;     1
 19670905;       7;   0.019;     5;     1
 19670906;       7;   0.019;     5;     1
 19670907;      18;   0.048;     5;     1
 19670908;      17;   0.045;     5;     1
 19670909;       7;   0.019;     5;     1
 19670910;       7;   0.019;     5;     1
 19670911;       6;   0.016;     5;     1
 19670912;       6;   0.016;     5;     1
 19670913;     515;   1.370;     9;     1
 19670914;     240;   0.638;     9;     1
 19670915;     175;   0.465;     9;     1
 19670916;     120;   0.319;     9;     1
 19670917;      75;   0.199;     9;     1
 19670918;      45;   0.120;     9;     1
 19670919;      45;   0.120;     9;     1
 19670920;      30;   0.080;     9;     1
 19670921;       5;   0.013;     5;     1
 19670922;       5;   0.013;     5;     1
 19670923;       4;   0.011;     5;     0
 19670924;       4;   0.011;     5;     0
 19670925;       4;   0.011;     5;     0
 19670926;       4;   0.011;     5;     0
 19670927;       4;   0.011;     5;     0
 19670928;       4;   0.011;     5;     0
 19670929;       4;   0.011;     5;     0
 19670930;       4;   0.011;     5;     0
 19671001;       3;   0.008;     5;     0
 19671002;       3;   0.008;     5;     0
 19671003;       3;   0.008;     5;     0
 19671004;       3;   0.008;     5;     0
 19671005;       3;   0.008;     5;     0
 19671006;       2;   0.005;     5;     0
 19671007;       2;   0.005;     5;     0
 19671008;       2;   0.005;     5;     0
 19671009;       2;   0.005;     5;     0
 19671010;       2;   0.005;     5;     0
 19671011;       2;   0.005;     5;     0
 19671012;       2;   0.005;     5;     0
 19671013;       2;   0.005;     5;     0
 19671014;       2;   0.005;     5;     0
 19671015;       2;   0.005;     5;     0
 19671016;       2;   0.005;     5;     0
 19671017;       2;   0.005;     5;     0
 19671018;       2;   0.005;     5;     0
 19671019;       2;   0.005;     5;     0
 19671020;       2;   0.005;     5;     0
 19671021;       2;   0.005;     5;     0
 19671022;      20;   0.053;     9;     1
 19671023;     240;   0.638;     9;     1
 19671024;    1360;   3.617;     9;     1
 19671025;     660;   1.755;     9;     1
 19671026;     381;   1.013;     9;     1
 19671027;     305;   0.811;     9;     1
 19671028;     240;   0.638;     9;     1
 19671029;     175;   0.465;     9;     1
 19671030;     175;   0.465;     9;     1
 19671031;     175;   0.465;     9;     1
 19671101;     120;   0.319;     9;     0
 19671102;     120;   0.319;     9;     0
 19671103;     120;   0.319;     9;     0
 19671104;     120;   0.319;     9;     0
 19671105;     120;   0.319;     9;     0
 19671106;     120;   0.319;     9;     0
 19671107;     120;   0.319;     9;     0
 19671108;     120;   0.319;     9;     0
 19671109;     240;   0.638;     9;     1
 19671110;     381;   1.013;     9;     1
 19671111;     305;   0.811;     9;     1
 19671112;     305;   0.811;     9;     1
 19671113;     240;   0.638;     9;     1
 19671114;     240;   0.638;     9;     1
 19671115;     240;   0.638;     9;     1
 19671116;     585;   1.556;     9;     1
 19671117;    1170;   3.111;     9;     1
 19671118;    1560;   4.148;     9;     1
 19671119;    1560;   4.148;     9;     1
 19671120;    1290;   3.430;     9;     1
 19671121;    9750;  25.928;     5;     1
 19671122;    8980;  23.880;     5;     1
 19671123;    4600;  12.233;     5;     1
 19671124;    2990;   7.951;     5;     1
 19671125;    2190;   5.824;     9;     1
 19671126;    1680;   4.468;     9;     1
 19671127;    1410;   3.750;     9;     1
 19671128;    1170;   3.111;     9;     1
 19671129;    1170;   3.111;     9;     1
 19671130;    1080;   2.872;     9;     1
 19671201;     905;   2.407;     9;     1
 19671202;     820;   2.181;     9;     1
 19671203;     740;   1.968;     9;     1
 19671204;     660;   1.755;     9;     1
 19671205;     585;   1.556;     9;     1
 19671206;     585;   1.556;     9;     1
 19671207;     515;   1.370;     9;     1
 19671208;     515;   1.370;     9;     1
 19671209;     446;   1.186;     9;     1
 19671210;     446;   1.186;     9;     1
 19671211;     446;   1.186;     9;     1
 19671212;     381;   1.013;     9;     0
 19671213;     381;   1.013;     9;     0
 19671214;     381;   1.013;     9;     0
 19671215;     381;   1.013;     9;     0
 19671216;     381;   1.013;     9;     0
 19671217;     381;   1.013;     9;     0
 19671218;     381;   1.013;     9;     0
 19671219;     381;   1.013;     9;     0
 19671220;     305;   0.811;     9;     0
 19671221;     305;   0.811;     9;     0
 19671222;     305;   0.811;     9;     0
 19671223;     305;   0.811;     9;     0
 19671224;     305;   0.811;     9;     0
 19671225;     381;   1.013;     9;     1
 19671226;     305;   0.811;     9;     0
 19671227;     305;   0.811;     9;     0
 19671228;     305;   0.811;     9;     0
 19671229;     305;   0.811;     9;     0
 19671230;     305;   0.811;     9;     0
 19671231;     305;   0.811;     9;     0
 19680101;     240;   0.638;     9;     0
 19680102;     240;   0.638;     9;     0
 19680103;     240;   0.638;     9;     0
 19680104;     240;   0.638;     9;     0
 19680105;     240;   0.638;     9;     0
 19680106;     240;   0.638;     9;     0
 19680107;     240;   0.638;     9;     0
 19680108;     240;   0.638;     9;     0
 19680109;     240;   0.638;     9;     0
 19680110;     240;   0.638;     9;     0
 19680111;     175;   0.465;     9;     1
 19680112;     240;   0.638;     9;     0
 19680113;     240;   0.638;     9;     0
 19680114;     240;   0.638;     9;     0
 19680115;     240;   0.638;     9;     0
 19680116;     240;   0.638;     9;     0
 19680117;     175;   0.465;     9;     0
 19680118;     175;   0.465;     9;     0
 19680119;     175;   0.465;     9;     0
 19680120;     175;   0.465;     9;     0
 19680121;     175;   0.465;     9;     0
 19680122;     175;   0.465;     9;     0
 19680123;     175;   0.465;     9;     0
 19680124;     175;   0.465;     9;     0
 19680125;     175;   0.465;     9;     0
 19680126;     175;   0.465;     9;     0
 19680127;     175;   0.465;     9;     0
 19680128;     175;   0.465;     9;     0
 19680129;     175;   0.465;     9;     0
 19680130;     120;   0.319;     9;     1
 19680131;     120;   0.319;     9;     1
 19680201;     120;   0.319;     9;     1
 19680202;     175;   0.465;     9;     0
 19680203;     175;   0.465;     9;     0
 19680204;     175;   0.465;     9;     0
 19680205;     175;   0.465;     9;     0
 19680206;     175;   0.465;     9;     0
 19680207;     175;   0.465;     9;     0
 19680208;     175;   0.465;     9;     0
 19680209;     175;   0.465;     9;     0
 19680210;     175;   0.465;     9;     0
 19680211;     175;   0.465;     9;     0
 19680212;     175;   0.465;     9;     0
 19680213;     120;   0.319;     9;     0
 19680214;     120;   0.319;     9;     0
 19680215;     120;   0.319;     9;     0
 19680216;     120;   0.319;     9;     0
 19680217;     120;   0.319;     9;     0
 19680218;     120;   0.319;     9;     0
 19680219;     120;   0.319;     9;     0
 19680220;     120;   0.319;     9;     0
 19680221;     120;   0.319;     9;     0
 19680222;     120;   0.319;     9;     0
 19680223;     120;   0.319;     9;     0
 19680224;     514;   1.367;     9;     1
 19680225;     446;   1.186;     9;     1
 19680226;     381;   1.013;     9;     0
 19680227;     381;   1.013;     9;     0
 19680228;     381;   1.013;     9;     0
 19680229;     381;   1.013;     9;     0
 19680301;     381;   1.013;     9;     0
 19680302;     381;   1.013;     9;     0
 19680303;     381;   1.013;     9;     0
 19680304;     305;   0.811;     9;     0
 19680305;     305;   0.811;     9;     0
 19680306;     305;   0.811;     9;     0
 19680307;     305;   0.811;     9;     0
 19680308;     305;   0.811;     9;     0
 19680309;     381;   1.013;     9;     1
 19680310;     990;   2.633;     9;     1
 19680311;    1170;   3.111;     9;     1
 19680312;    1360;   3.617;     9;     1
 19680313;    1660;   4.414;     9;     1
 19680314;    1460;   3.883;     9;     1
 19680315;    1360;   3.617;     9;     1
 19680316;    1170;   3.111;     9;     1
 19680317;     990;   2.633;     9;     1
 19680318;     900;   2.393;     9;     1
 19680319;     820;   2.181;     9;     1
 19680320;     820;   2.181;     9;     1
 19680321;     900;   2.393;     9;     1
 19680322;     900;   2.393;     9;     1
 19680323;     820;   2.181;     9;     1
 19680324;     740;   1.968;     9;     1
 19680325;     660;   1.755;     9;     1
 19680326;     590;   1.569;     9;     1
 19680327;     590;   1.569;     9;     1
 19680328;     515;   1.370;     9;     1
 19680329;     515;   1.370;     9;     1
 19680330;     446;   1.186;     9;     1
 19680331;     446;   1.186;     9;     1
 19680401;     446;   1.186;     9;     1
 19680402;     381;   1.013;     9;     0
 19680403;     381;   1.013;     9;     0
 19680404;     381;   1.013;     9;     0
 19680405;     381;   1.013;     9;     0
 19680406;     381;   1.013;     9;     0
 19680407;     381;   1.013;     9;     0
 19680408;     381;   1.013;     9;     0
 19680409;     381;   1.013;     9;     0
 19680410;     305;   0.811;     9;     1
 19680411;     305;   0.811;     9;     1
 19680412;     305;   0.811;     9;     1
 19680413;     305;   0.811;     9;     1
 19680414;     585;   1.556;     9;     1
 19680415;     820;   2.181;     9;     1
 19680416;     740;   1.968;     9;     1
 19680417;     740;   1.968;     9;     1
 19680418;     660;   1.755;     9;     1
 19680419;     585;   1.556;     9;     1
 19680420;     585;   1.556;     9;     1
 19680421;     515;   1.370;     9;     1
 19680422;     515;   1.370;     9;     1
 19680423;     446;   1.186;     9;     1
 19680424;     446;   1.186;     9;     1
 19680425;     361;   0.960;     9;     1
 19680426;     381;   1.013;     9;     1
 19680427;     381;   1.013;     9;     1
 19680428;     381;   1.013;     9;     1
 19680429;     381;   1.013;     9;     1
 19680430;     305;   0.811;     9;     1
 19680501;     305;   0.811;     9;     1
 19680502;     305;   0.811;     9;     1
 19680503;     305;   0.811;     9;     1
 19680504;     240;   0.638;     9;     1
 19680505;     240;   0.638;     9;     1
 19680506;     305;   0.811;     9;     0
 19680507;     305;   0.811;     9;     0
 19680508;     305;   0.811;     9;     0
 19680509;     305;   0.811;     9;     0
 19680510;     305;   0.811;     9;     0
 19680511;     305;   0.811;     9;     0
 19680512;     514;   1.367;     9;     1
 19680513;     446;   1.186;     9;     1
 19680514;     446;   1.186;     9;     1
 19680515;     446;   1.186;     9;     1
 19680516;     446;   1.186;     9;     1
 19680517;     381;   1.013;     9;     1
 19680518;     381;   1.013;     9;     1
 19680519;     381;   1.013;     9;     1
 19680520;     446;   1.186;     9;     1
 19680521;     740;   1.968;     9;     1
 19680522;     660;   1.755;     9;     1
 19680523;     585;   1.556;     9;     1
 19680524;     585;   1.556;     9;     1
 19680525;     514;   1.367;     9;     1
 19680526;     446;   1.186;     9;     1
 19680527;     740;   1.968;     9;     1
 19680528;     820;   2.181;     9;     1
 19680529;    1080;   2.872;     9;     1
 19680530;    1460;   3.883;     9;     1
 19680531;    1460;   3.883;     9;     1
 19680601;    1170;   3.111;     9;     1
 19680602;     990;   2.633;     9;     1
 19680603;     900;   2.393;     9;     1
 19680604;     820;   2.181;     9;     1
 19680605;     740;   1.968;     9;     1
 19680606;     660;   1.755;     9;     1
 19680607;     585;   1.556;     9;     1
 19680608;     514;   1.367;     9;     1
 19680609;     514;   1.367;     9;     1
 19680610;     446;   1.186;     9;     1
 19680611;     446;   1.186;     9;     1
 19680612;     446;   1.186;     9;     1
 19680613;     381;   1.013;     9;     0
 19680614;     381;   1.013;     9;     0
 19680615;     381;   1.013;     9;     0
 19680616;     381;   1.013;     9;     0
 19680617;     381;   1.013;     9;     0
 19680618;     381;   1.013;     9;     0
 19680619;     446;   1.186;     9;     1
 19680620;     305;   0.811;     9;     1
 19680621;     381;   1.013;     9;     1
 19680622;     305;   0.811;     9;     1
 19680623;     305;   0.811;     9;     1
 19680624;     381;   1.013;     9;     1
 19680625;     305;   0.811;     9;     1
 19680626;     305;   0.811;     9;     1
 19680627;     240;   0.638;     9;     1
 19680628;     240;   0.638;     9;     1
 19680629;     240;   0.638;     9;     1
 19680630;     175;   0.465;     9;     0
 19680701;     175;   0.465;     9;     0
 19680702;     175;   0.465;     9;     0
 19680703;     175;   0.465;     9;     0
 19680704;     175;   0.465;     9;     0
 19680705;     175;   0.465;     9;     0
 19680706;     175;   0.465;     9;     0
 19680707;     175;   0.465;     9;     0
 19680708;     120;   0.319;     9;     1
 19680709;     120;   0.319;     9;     1
 19680710;      75;   0.199;     9;     0
 19680711;      75;   0.199;     9;     0
 19680712;      75;   0.199;     9;     0
 19680713;      75;   0.199;     9;     0
 19680714;      75;   0.199;     9;     0
 19680715;      75;   0.199;     9;     0
 19680716;      75;   0.199;     9;     0
 19680717;      75;   0.199;     9;     0
