## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:57:00
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O3471010
## Nom station                      : Le Tarn à Saint-Victor-et-Melvieu [Pinet]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      684216 ;    6330253 ;      684328 ;    6330153 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      637400 ;    1896748 ;      637513 ;    1896649 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.80296 ;   44.07110 ;     2.80436 ;   44.07021 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      2677.0 ;     2672.1 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         285 ;        303 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1933-01-01 ; 1996-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19330101;  113000;   3.654;     9;     1
 19330102;  119000;   3.848;     9;     1
 19330103;  118000;   3.815;     9;     1
 19330104;  133000;   4.300;     9;     1
 19330105;  124000;   4.009;     9;     1
 19330106;  107000;   3.460;     9;     1
 19330107;   95000;   3.072;     9;     1
 19330108;   85500;   2.765;     9;     1
 19330109;   84500;   2.732;     9;     1
 19330110;   78000;   2.522;     9;     1
 19330111;   73000;   2.360;     9;     1
 19330112;   68000;   2.199;     9;     1
 19330113;   66000;   2.134;     9;     1
 19330114;   61000;   1.972;     9;     1
 19330115;   58000;   1.875;     9;     1
 19330116;   56000;   1.811;     9;     1
 19330117;   56000;   1.811;     9;     1
 19330118;   55000;   1.778;     9;     1
 19330119;   52500;   1.698;     9;     1
 19330120;   49000;   1.584;     9;     1
 19330121;   47200;   1.526;     9;     1
 19330122;   43000;   1.390;     9;     1
 19330123;   40200;   1.300;     9;     1
 19330124;   37500;   1.213;     9;     1
 19330125;   40200;   1.300;     9;     1
 19330126;   41000;   1.326;     9;     1
 19330127;   40000;   1.293;     9;     1
 19330128;   40000;   1.293;     9;     1
 19330129;   42500;   1.374;     9;     1
 19330130;   54500;   1.762;     9;     1
 19330131;   59500;   1.924;     9;     1
 19330201;   58000;   1.875;     9;     1
 19330202;   53000;   1.714;     9;     1
 19330203;   52200;   1.688;     9;     1
 19330204;   63000;   2.037;     9;     1
 19330205;   62000;   2.005;     9;     1
 19330206;   59000;   1.908;     9;     1
 19330207;   56000;   1.811;     9;     1
 19330208;   55000;   1.778;     9;     1
 19330209;   54500;   1.762;     9;     1
 19330210;   53700;   1.736;     9;     1
 19330211;   53000;   1.714;     9;     1
 19330212;   50600;   1.636;     9;     1
 19330213;   49000;   1.584;     9;     1
 19330214;   47000;   1.520;     9;     1
 19330215;   47000;   1.520;     9;     1
 19330216;   45000;   1.455;     9;     1
 19330217;   43000;   1.390;     9;     1
 19330218;   41200;   1.332;     9;     1
 19330219;   42200;   1.364;     9;     1
 19330220;   40000;   1.293;     9;     1
 19330221;   38000;   1.229;     9;     1
 19330222;   36000;   1.164;     9;     1
 19330223;   35500;   1.148;     9;     1
 19330224;   34700;   1.122;     9;     1
 19330225;   35000;   1.132;     9;     1
 19330226;   35000;   1.132;     9;     1
 19330227;   41000;   1.326;     9;     1
 19330228;  127000;   4.106;     9;     1
 19330301;  132000;   4.268;     9;     1
 19330302;  161000;   5.206;     9;     1
 19330303;  216000;   6.984;     9;     1
 19330304;  189000;   6.111;     9;     1
 19330305;  182000;   5.885;     9;     1
 19330306;  180000;   5.820;     9;     1
 19330307;  147000;   4.753;     9;     1
 19330308;  135000;   4.365;     9;     1
 19330309;  119000;   3.848;     9;     1
 19330310;  100000;   3.233;     9;     1
 19330311;   94000;   3.039;     9;     1
 19330312;   87000;   2.813;     9;     1
 19330313;   81300;   2.629;     9;     1
 19330314;   74000;   2.393;     9;     1
 19330315;   67500;   2.183;     9;     1
 19330316;   65200;   2.108;     9;     1
 19330317;   62000;   2.005;     9;     1
 19330318;   73500;   2.377;     9;     1
 19330319;   84000;   2.716;     9;     1
 19330320;  118000;   3.815;     9;     1
 19330321;  125000;   4.042;     9;     1
 19330322;  107000;   3.460;     9;     1
 19330323;   95000;   3.072;     9;     1
 19330324;   84000;   2.716;     9;     1
 19330325;   77000;   2.490;     9;     1
 19330326;   73000;   2.360;     9;     1
 19330327;   68000;   2.199;     9;     1
 19330328;   64200;   2.076;     9;     1
 19330329;   62600;   2.024;     9;     1
 19330330;   60500;   1.956;     9;     1
 19330331;   56100;   1.814;     9;     1
 19330401;   54700;   1.769;     9;     1
 19330402;   53700;   1.736;     9;     1
 19330403;   51200;   1.656;     9;     1
 19330404;   50900;   1.646;     9;     1
 19330405;   48100;   1.555;     9;     1
 19330406;   47700;   1.542;     9;     1
 19330407;   47700;   1.542;     9;     1
 19330408;   46500;   1.504;     9;     1
 19330409;   43300;   1.400;     9;     1
 19330410;   45000;   1.455;     9;     1
 19330411;   42500;   1.374;     9;     1
 19330412;   41500;   1.342;     9;     1
 19330413;   40000;   1.293;     9;     1
 19330414;   42500;   1.374;     9;     1
 19330415;   42700;   1.381;     9;     1
 19330416;   40000;   1.293;     9;     1
 19330417;   38000;   1.229;     9;     1
 19330418;   37200;   1.203;     9;     1
 19330419;   38200;   1.235;     9;     1
 19330420;   38600;   1.248;     9;     1
 19330421;   37100;   1.200;     9;     1
 19330422;   36000;   1.164;     9;     1
 19330423;   32300;   1.044;     9;     1
 19330424;   32600;   1.054;     9;     1
 19330425;   31800;   1.028;     9;     1
 19330426;   31600;   1.022;     9;     1
 19330427;   31500;   1.019;     9;     1
 19330428;   30700;   0.993;     9;     1
 19330429;   30300;   0.980;     9;     1
 19330430;   29300;   0.947;     9;     1
 19330501;   29000;   0.938;     9;     1
 19330502;   29300;   0.947;     9;     1
 19330503;   29200;   0.944;     9;     1
 19330504;   28800;   0.931;     9;     1
 19330505;   27500;   0.889;     9;     1
 19330506;   26700;   0.863;     9;     1
 19330507;   26300;   0.850;     9;     1
 19330508;   27000;   0.873;     9;     1
 19330509;   26700;   0.863;     9;     1
 19330510;   25200;   0.815;     9;     1
 19330511;   24000;   0.776;     9;     1
 19330512;   24500;   0.792;     9;     1
 19330513;   24700;   0.799;     9;     1
 19330514;   24000;   0.776;     9;     1
 19330515;   23700;   0.766;     9;     1
 19330516;   23000;   0.744;     9;     1
 19330517;   22500;   0.728;     9;     1
 19330518;   22200;   0.718;     9;     1
 19330519;   21100;   0.682;     9;     1
 19330520;   20300;   0.656;     9;     1
 19330521;   20300;   0.656;     9;     1
 19330522;   20000;   0.647;     9;     1
 19330523;   18500;   0.598;     9;     1
 19330524;   19100;   0.618;     9;     1
 19330525;   18300;   0.592;     9;     1
 19330526;   18700;   0.605;     9;     1
 19330527;   19700;   0.637;     9;     1
 19330528;   18500;   0.598;     9;     1
 19330529;   18700;   0.605;     9;     1
 19330530;   18500;   0.598;     9;     1
 19330531;   18200;   0.588;     9;     1
 19330601;   17700;   0.572;     9;     1
 19330602;   17200;   0.556;     9;     1
 19330603;   17200;   0.556;     9;     1
 19330604;   16800;   0.543;     9;     1
 19330605;   16500;   0.534;     9;     1
 19330606;   16200;   0.524;     9;     1
 19330607;   16500;   0.534;     9;     1
 19330608;   16700;   0.540;     9;     1
 19330609;   17200;   0.556;     9;     1
 19330610;   16500;   0.534;     9;     1
 19330611;   15700;   0.508;     9;     1
 19330612;   16000;   0.517;     9;     1
 19330613;   15700;   0.508;     9;     1
 19330614;   15200;   0.491;     9;     1
 19330615;   15800;   0.511;     9;     1
 19330616;   15700;   0.508;     9;     1
 19330617;   16000;   0.517;     9;     1
 19330618;   16800;   0.543;     9;     1
 19330619;   16800;   0.543;     9;     1
 19330620;   17800;   0.576;     9;     1
 19330621;   19000;   0.614;     9;     1
 19330622;   21500;   0.695;     9;     1
 19330623;   22000;   0.711;     9;     1
 19330624;   20800;   0.673;     9;     1
 19330625;   22200;   0.718;     9;     1
 19330626;   29000;   0.938;     9;     1
 19330627;   25000;   0.808;     9;     1
 19330628;   23500;   0.760;     9;     1
 19330629;   21800;   0.705;     9;     1
 19330630;   21100;   0.682;     9;     1
 19330701;   20300;   0.656;     9;     1
 19330702;   19200;   0.621;     9;     1
 19330703;   18300;   0.592;     9;     1
 19330704;   17500;   0.566;     9;     1
 19330705;   16600;   0.537;     9;     1
 19330706;   16200;   0.524;     9;     1
 19330707;   16000;   0.517;     9;     1
 19330708;   15600;   0.504;     9;     1
 19330709;   14700;   0.475;     9;     1
 19330710;   14100;   0.456;     9;     1
 19330711;   14500;   0.469;     9;     1
 19330712;   14100;   0.456;     9;     1
 19330713;   14100;   0.456;     9;     1
 19330714;   13700;   0.443;     9;     1
 19330715;   16500;   0.534;     9;     1
 19330716;   14800;   0.479;     9;     1
 19330717;   14500;   0.469;     9;     1
 19330718;   14300;   0.462;     9;     1
 19330719;   14000;   0.453;     9;     1
 19330720;   13700;   0.443;     9;     1
 19330721;   20500;   0.663;     9;     1
 19330722;   22700;   0.734;     9;     1
 19330723;   20200;   0.653;     9;     1
 19330724;   18500;   0.598;     9;     1
 19330725;   17100;   0.553;     9;     1
 19330726;   16200;   0.524;     9;     1
 19330727;   14600;   0.472;     9;     1
 19330728;   14200;   0.459;     9;     1
 19330729;   13200;   0.427;     9;     1
 19330730;   12700;   0.411;     9;     1
 19330731;   12500;   0.404;     9;     1
 19330801;   11800;   0.382;     9;     1
 19330802;   11500;   0.372;     9;     1
 19330803;   11100;   0.359;     9;     1
 19330804;   11000;   0.356;     9;     1
 19330805;   10800;   0.349;     9;     1
 19330806;   11000;   0.356;     9;     1
 19330807;   10700;   0.346;     9;     1
 19330808;   10600;   0.343;     9;     1
 19330809;   10700;   0.346;     9;     1
 19330810;   10600;   0.343;     9;     1
 19330811;   10300;   0.333;     9;     1
 19330812;   10300;   0.333;     9;     1
 19330813;   10200;   0.330;     9;     1
 19330814;   10000;   0.323;     9;     1
 19330815;   10700;   0.346;     9;     1
 19330816;   10600;   0.343;     9;     1
 19330817;   10300;   0.333;     9;     1
 19330818;   10300;   0.333;     9;     1
 19330819;   10100;   0.327;     9;     1
 19330820;   10100;   0.327;     9;     1
 19330821;   10100;   0.327;     9;     1
 19330822;   10100;   0.327;     9;     1
 19330823;   10200;   0.330;     9;     1
 19330824;   10200;   0.330;     9;     1
 19330825;   10000;   0.323;     9;     1
 19330826;    9700;   0.314;     9;     1
 19330827;    9600;   0.310;     9;     1
 19330828;    9300;   0.301;     9;     1
 19330829;    9300;   0.301;     9;     1
 19330830;    9500;   0.307;     9;     0
 19330831;    9500;   0.307;     9;     0
 19330901;    9500;   0.307;     9;     0
 19330902;    9500;   0.307;     9;     0
 19330903;    9500;   0.307;     9;     0
 19330904;    9200;   0.297;     9;     1
 19330905;    9100;   0.294;     9;     1
 19330906;    9000;   0.291;     9;     1
 19330907;    9700;   0.314;     9;     1
 19330908;    9200;   0.297;     9;     1
 19330909;   10700;   0.346;     9;     1
 19330910;   10500;   0.340;     9;     1
 19330911;   13600;   0.440;     9;     1
 19330912;   43000;   1.390;     9;     1
 19330913;   60000;   1.940;     9;     1
 19330914;   31500;   1.019;     9;     1
 19330915;   24100;   0.779;     9;     1
 19330916;   20500;   0.663;     9;     1
 19330917;   18300;   0.592;     9;     1
 19330918;   17000;   0.550;     9;     1
 19330919;   15500;   0.501;     9;     1
 19330920;   16600;   0.537;     9;     1
 19330921;   16700;   0.540;     9;     1
 19330922;   16100;   0.521;     9;     1
 19330923;   16100;   0.521;     9;     1
 19330924;   16000;   0.517;     9;     1
 19330925;   15300;   0.495;     9;     1
 19330926;   15000;   0.485;     9;     1
 19330927;   32200;   1.041;     9;     1
 19330928;  253000;   8.181;     9;     1
 19330929;  400000;  12.934;     9;     1
 19330930; 1190000;  38.478;     9;     1
 19331001; 1130000;  36.538;     9;     1
 19331002;  523000;  16.911;     9;     1
 19331003;  315000;  10.185;     9;     1
 19331004;  217000;   7.017;     9;     1
 19331005;  161000;   5.206;     9;     1
 19331006;  120000;   3.880;     9;     1
 19331007;  101000;   3.266;     9;     1
 19331008;   96500;   3.120;     9;     1
 19331009;  129000;   4.171;     9;     1
 19331010;  110000;   3.557;     9;     1
 19331011;   95000;   3.072;     9;     1
 19331012;   82000;   2.651;     9;     1
 19331013;   73500;   2.377;     9;     1
 19331014;   65100;   2.105;     9;     1
 19331015;   57600;   1.862;     9;     1
 19331016;   56600;   1.830;     9;     1
 19331017;   55800;   1.804;     9;     1
 19331018;   52700;   1.704;     9;     1
 19331019;   50200;   1.623;     9;     1
 19331020;  103000;   3.330;     9;     1
 19331021;  487000;  15.747;     9;     1
 19331022;  852000;  27.549;     9;     1
 19331023;  932000;  30.135;     9;     1
 19331024;  997000;  32.237;     9;     1
 19331025;  649000;  20.985;     9;     1
 19331026;  445000;  14.389;     9;     1
 19331027;  331000;  10.703;     9;     1
 19331028;  263000;   8.504;     9;     1
 19331029;  213000;   6.887;     9;     1
 19331030;  189000;   6.111;     9;     1
 19331031;  174000;   5.626;     9;     1
 19331101;  155000;   5.012;     9;     1
 19331102;  135000;   4.365;     9;     1
 19331103;  120000;   3.880;     9;     1
 19331104;  109000;   3.524;     9;     1
 19331105;   99200;   3.208;     9;     1
 19331106;   92200;   2.981;     9;     1
 19331107;   86000;   2.781;     9;     1
 19331108;   91500;   2.959;     9;     1
 19331109;   88700;   2.868;     9;     1
 19331110;   87500;   2.829;     9;     1
 19331111;   83200;   2.690;     9;     1
 19331112;   80000;   2.587;     9;     1
 19331113;   76500;   2.474;     9;     1
 19331114;   71200;   2.302;     9;     1
 19331115;   71700;   2.318;     9;     1
 19331116;   86000;   2.781;     9;     1
 19331117;  103000;   3.330;     9;     1
 19331118;  282000;   9.118;     9;     1
 19331119;  819000;  26.482;     9;     1
 19331120;  820000;  26.514;     9;     1
 19331121;  624000;  20.176;     9;     1
 19331122;  578000;  18.689;     9;     1
 19331123;  436000;  14.098;     9;     1
 19331124;  331000;  10.703;     9;     1
 19331125;  250000;   8.084;     9;     1
 19331126;  196000;   6.337;     9;     1
 19331127;  162000;   5.238;     9;     1
 19331128;  132000;   4.268;     9;     1
 19331129;  118000;   3.815;     9;     1
 19331130;  112000;   3.621;     9;     1
 19331201;  105000;   3.395;     9;     1
 19331202;  101000;   3.266;     9;     1
 19331203;   94500;   3.056;     9;     1
 19331204;   93500;   3.023;     9;     1
 19331205;  175000;   5.658;     9;     1
 19331206;  293000;   9.474;     9;     1
 19331207;  208000;   6.725;     9;     1
 19331208;  163000;   5.270;     9;     1
 19331209;  137000;   4.430;     9;     1
 19331210;  125000;   4.042;     9;     1
 19331211;  113000;   3.654;     9;     1
 19331212;  104000;   3.363;     9;     1
 19331213;  106000;   3.427;     9;     1
 19331214;  108000;   3.492;     9;     1
 19331215;  102000;   3.298;     9;     1
 19331216;   90200;   2.917;     9;     1
 19331217;   85700;   2.771;     9;     1
 19331218;   79700;   2.577;     9;     1
 19331219;   75200;   2.432;     9;     1
 19331220;   71700;   2.318;     9;     1
 19331221;   67700;   2.189;     9;     1
 19331222;   64500;   2.086;     9;     1
 19331223;   61200;   1.979;     9;     1
 19331224;   58700;   1.898;     9;     1
 19331225;   57500;   1.859;     9;     1
 19331226;   56700;   1.833;     9;     1
 19331227;   69500;   2.247;     9;     1
 19331228;   77500;   2.506;     9;     1
 19331229;   73000;   2.360;     9;     1
 19331230;   68700;   2.221;     9;     1
 19331231;   63500;   2.053;     9;     1
 19340101;   60000;   1.940;     9;     1
 19340102;   56300;   1.820;     9;     1
 19340103;   54500;   1.762;     9;     1
 19340104;   51800;   1.675;     9;     1
 19340105;   51000;   1.649;     9;     1
 19340106;   49000;   1.584;     9;     1
 19340107;   47200;   1.526;     9;     1
 19340108;   46200;   1.494;     9;     1
 19340109;   44700;   1.445;     9;     1
 19340110;   44300;   1.432;     9;     1
 19340111;   43000;   1.390;     9;     1
 19340112;   43600;   1.410;     9;     1
 19340113;   63600;   2.056;     9;     1
 19340114;   75300;   2.435;     9;     1
 19340115;   86700;   2.803;     9;     1
 19340116;  116000;   3.751;     9;     1
 19340117;  105000;   3.395;     9;     1
 19340118;   97200;   3.143;     9;     1
 19340119;  111000;   3.589;     9;     1
 19340120;  105000;   3.395;     9;     1
 19340121;   95000;   3.072;     9;     1
 19340122;   96000;   3.104;     9;     1
 19340123;   77000;   2.490;     9;     1
 19340124;   73500;   2.377;     9;     1
 19340125;   69500;   2.247;     9;     1
 19340126;   65500;   2.118;     9;     1
 19340127;   62000;   2.005;     9;     1
 19340128;   60300;   1.950;     9;     1
 19340129;   59200;   1.914;     9;     1
 19340130;   56700;   1.833;     9;     1
 19340131;   53200;   1.720;     9;     1
 19340201;   52000;   1.681;     9;     1
 19340202;   50600;   1.636;     9;     1
 19340203;   48700;   1.575;     9;     1
 19340204;   46200;   1.494;     9;     1
 19340205;   45000;   1.455;     9;     1
 19340206;   44100;   1.426;     9;     1
 19340207;   42700;   1.381;     9;     1
 19340208;   41100;   1.329;     9;     1
 19340209;   39500;   1.277;     9;     1
 19340210;   39000;   1.261;     9;     1
 19340211;   38100;   1.232;     9;     1
 19340212;   37600;   1.216;     9;     1
 19340213;   37700;   1.219;     9;     1
 19340214;   37000;   1.196;     9;     1
 19340215;   35800;   1.158;     9;     1
 19340216;   34800;   1.125;     9;     1
 19340217;   34500;   1.116;     9;     1
 19340218;   34300;   1.109;     9;     1
 19340219;   32600;   1.054;     9;     1
 19340220;   33500;   1.083;     9;     1
 19340221;   32700;   1.057;     9;     1
 19340222;   31200;   1.009;     9;     1
 19340223;   32000;   1.035;     9;     1
 19340224;   32100;   1.038;     9;     1
 19340225;   33100;   1.070;     9;     1
 19340226;   34200;   1.106;     9;     1
 19340227;   53300;   1.723;     9;     1
 19340228;   57500;   1.859;     9;     1
 19340301;   51700;   1.672;     9;     1
 19340302;   45000;   1.455;     9;     1
 19340303;   43300;   1.400;     9;     1
 19340304;   42100;   1.361;     9;     1
 19340305;   40500;   1.310;     9;     1
 19340306;   39500;   1.277;     9;     1
 19340307;   40800;   1.319;     9;     1
 19340308;   52800;   1.707;     9;     1
 19340309;   59000;   1.908;     9;     1
 19340310;   72000;   2.328;     9;     1
 19340311;   88200;   2.852;     9;     1
 19340312;  107000;   3.460;     9;     1
 19340313;  112000;   3.621;     9;     1
 19340314;   99000;   3.201;     9;     1
 19340315;   91000;   2.942;     9;     1
 19340316;   85500;   2.765;     9;     1
 19340317;  122000;   3.945;     9;     1
 19340318;  193000;   6.240;     9;     1
 19340319;  169000;   5.464;     9;     1
 19340320;  167000;   5.400;     9;     1
 19340321;  235000;   7.599;     9;     1
 19340322;  220000;   7.114;     9;     1
 19340323;  183000;   5.917;     9;     1
 19340324;  147000;   4.753;     9;     1
 19340325;  129000;   4.171;     9;     1
 19340326;  119000;   3.848;     9;     1
 19340327;  111000;   3.589;     9;     1
 19340328;   97000;   3.136;     9;     1
 19340329;   92500;   2.991;     9;     1
 19340330;   87500;   2.829;     9;     1
 19340331;   87000;   2.813;     9;     1
 19340401;   79500;   2.571;     9;     1
 19340402;   77000;   2.490;     9;     1
 19340403;   78000;   2.522;     9;     1
 19340404;   78000;   2.522;     9;     1
 19340405;   79000;   2.554;     9;     1
 19340406;  132000;   4.268;     9;     1
 19340407;  296000;   9.571;     9;     1
 19340408;  347000;  11.220;     9;     1
 19340409;  464000;  15.003;     9;     1
 19340410;  328000;  10.606;     9;     1
 19340411;  248000;   8.019;     9;     1
 19340412;  200000;   6.467;     9;     1
 19340413;  192000;   6.208;     9;     1
 19340414;  175000;   5.658;     9;     1
 19340415;  152000;   4.915;     9;     1
 19340416;  132000;   4.268;     9;     1
 19340417;  122000;   3.945;     9;     1
 19340418;  117000;   3.783;     9;     1
 19340419;  112000;   3.621;     9;     1
 19340420;  100000;   3.233;     9;     1
 19340421;   99000;   3.201;     9;     1
 19340422;  139000;   4.494;     9;     1
 19340423;  275000;   8.892;     9;     1
 19340424;  208000;   6.725;     9;     1
 19340425;  171000;   5.529;     9;     1
 19340426;  149000;   4.818;     9;     1
 19340427;  133000;   4.300;     9;     1
 19340428;  131000;   4.236;     9;     1
 19340429;  133000;   4.300;     9;     1
 19340430;  390000;  12.610;     9;     1
 19340501;  483000;  15.617;     9;     1
 19340502;  360000;  11.640;     9;     1
 19340503;  297000;   9.603;     9;     1
 19340504;  263000;   8.504;     9;     1
 19340505;  214000;   6.920;     9;     1
 19340506;  173000;   5.594;     9;     1
 19340507;  148000;   4.785;     9;     1
 19340508;  131000;   4.236;     9;     1
 19340509;  115000;   3.718;     9;     1
 19340510;  106000;   3.427;     9;     1
 19340511;  110000;   3.557;     9;     1
 19340512;   96000;   3.104;     9;     1
 19340513;   89000;   2.878;     9;     1
 19340514;   83000;   2.684;     9;     1
 19340515;   82000;   2.651;     9;     1
 19340516;   74000;   2.393;     9;     1
 19340517;   66000;   2.134;     9;     1
 19340518;   60500;   1.956;     9;     1
 19340519;   53700;   1.736;     9;     1
 19340520;   53200;   1.720;     9;     1
 19340521;   50200;   1.623;     9;     1
 19340522;   51500;   1.665;     9;     1
 19340523;   47000;   1.520;     9;     1
 19340524;   47500;   1.536;     9;     1
 19340525;   45500;   1.471;     9;     1
 19340526;   50000;   1.617;     9;     1
 19340527;   49500;   1.601;     9;     1
 19340528;   43500;   1.407;     9;     1
 19340529;   39000;   1.261;     9;     1
 19340530;   40000;   1.293;     9;     1
 19340531;   43000;   1.390;     9;     1
 19340601;   43500;   1.407;     9;     1
 19340602;   41800;   1.352;     9;     1
 19340603;   41500;   1.342;     9;     1
 19340604;   40000;   1.293;     9;     1
 19340605;   54700;   1.769;     9;     1
 19340606;   58500;   1.892;     9;     1
 19340607;   52200;   1.688;     9;     1
 19340608;   45000;   1.455;     9;     1
 19340609;   44000;   1.423;     9;     1
 19340610;   39500;   1.277;     9;     1
 19340611;   39000;   1.261;     9;     1
 19340612;   37500;   1.213;     9;     1
 19340613;   34500;   1.116;     9;     1
 19340614;   34000;   1.099;     9;     1
 19340615;   32500;   1.051;     9;     1
 19340616;   31500;   1.019;     9;     1
 19340617;   29500;   0.954;     9;     1
 19340618;   29000;   0.938;     9;     1
 19340619;   27700;   0.896;     9;     1
 19340620;   28000;   0.905;     9;     1
 19340621;   27500;   0.889;     9;     1
 19340622;   26500;   0.857;     9;     1
 19340623;   26300;   0.850;     9;     1
 19340624;   25700;   0.831;     9;     1
 19340625;   28000;   0.905;     9;     1
 19340626;   25500;   0.825;     9;     1
 19340627;   24700;   0.799;     9;     1
 19340628;   24000;   0.776;     9;     1
 19340629;   25000;   0.808;     9;     1
 19340630;   24000;   0.776;     9;     1
 19340701;   24200;   0.782;     9;     1
 19340702;   24200;   0.782;     9;     1
 19340703;   23500;   0.760;     9;     1
 19340704;   22200;   0.718;     9;     1
 19340705;   22200;   0.718;     9;     1
 19340706;   22200;   0.718;     9;     1
 19340707;   21600;   0.698;     9;     1
 19340708;   21500;   0.695;     9;     1
 19340709;   21000;   0.679;     9;     1
 19340710;   21000;   0.679;     9;     1
 19340711;   20800;   0.673;     9;     1
 19340712;   20000;   0.647;     9;     1
 19340713;   20000;   0.647;     9;     1
 19340714;   19700;   0.637;     9;     1
 19340715;   19500;   0.631;     9;     1
 19340716;   19500;   0.631;     9;     1
 19340717;   19100;   0.618;     9;     1
 19340718;   18800;   0.608;     9;     1
 19340719;   18500;   0.598;     9;     1
 19340720;   18200;   0.588;     9;     1
 19340721;   19700;   0.637;     9;     1
 19340722;   24500;   0.792;     9;     1
 19340723;   22000;   0.711;     9;     1
 19340724;   20300;   0.656;     9;     1
 19340725;   19300;   0.624;     9;     1
 19340726;   18700;   0.605;     9;     1
 19340727;   18500;   0.598;     9;     1
 19340728;   18200;   0.588;     9;     1
 19340729;   18000;   0.582;     9;     1
 19340730;   18000;   0.582;     9;     1
 19340731;   17500;   0.566;     9;     1
 19340801;   17500;   0.566;     9;     1
 19340802;   17100;   0.553;     9;     1
 19340803;   21500;   0.695;     9;     1
 19340804;   19600;   0.634;     9;     1
 19340805;   18700;   0.605;     9;     1
 19340806;   19200;   0.621;     9;     1
 19340807;   22700;   0.734;     9;     1
 19340808;   26700;   0.863;     9;     1
 19340809;   23200;   0.750;     9;     1
 19340810;   21500;   0.695;     9;     1
 19340811;   20500;   0.663;     9;     1
 19340812;   18700;   0.605;     9;     1
 19340813;   18500;   0.598;     9;     1
 19340814;   18100;   0.585;     9;     1
 19340815;   17600;   0.569;     9;     1
 19340816;   17500;   0.566;     9;     1
 19340817;   17200;   0.556;     9;     1
 19340818;   16800;   0.543;     9;     1
 19340819;   15600;   0.504;     9;     1
 19340820;   16100;   0.521;     9;     1
 19340821;   16100;   0.521;     9;     1
 19340822;   15700;   0.508;     9;     1
 19340823;   16600;   0.537;     9;     1
 19340824;   16700;   0.540;     9;     1
 19340825;   16100;   0.521;     9;     1
 19340826;   16000;   0.517;     9;     1
 19340827;   16000;   0.517;     9;     1
 19340828;   16000;   0.517;     9;     1
 19340829;   15200;   0.491;     9;     1
 19340830;   15200;   0.491;     9;     1
 19340831;   15700;   0.508;     9;     1
 19340901;   18000;   0.582;     9;     1
 19340902;   16600;   0.537;     9;     1
 19340903;   17700;   0.572;     9;     1
 19340904;   17000;   0.550;     9;     1
 19340905;   16300;   0.527;     9;     1
 19340906;   16000;   0.517;     9;     1
 19340907;   15500;   0.501;     9;     1
 19340908;   15500;   0.501;     9;     1
