## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:45:30
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bourgogne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K1724210
## Nom station                      : La Dragne à Vandenesse
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      758171 ;    6645920 ;      758132 ;    6645946 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      708703 ;    2213318 ;      708713 ;    2213349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.76429 ;   46.91094 ;     3.76379 ;   46.91117 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      115.00 ;     113.73 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         210 ;        212 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1968-01-01 ; 2021-01-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680101;    4720;   3.586;     9;     1
 19680102;    7960;   6.047;     9;     1
 19680103;    6060;   4.604;     9;     1
 19680104;    7220;   5.485;     9;     1
 19680105;    8510;   6.465;     9;     1
 19680106;   13500;  10.256;     9;     1
 19680107;   26900;  20.436;     9;     1
 19680108;   13900;  10.560;     9;     1
 19680109;   12000;   9.116;     9;     1
 19680110;   12400;   9.420;     9;     1
 19680111;    7650;   5.812;     9;     1
 19680112;    6380;   4.847;     9;     1
 19680113;    4950;   3.760;     9;     1
 19680114;    8500;   6.457;     9;     1
 19680115;    9000;   6.837;     9;     1
 19680116;    7210;   5.477;     9;     1
 19680117;    6600;   5.014;     9;     1
 19680118;    6210;   4.718;     9;     1
 19680119;   10600;   8.053;     9;     1
 19680120;    8180;   6.214;     9;     1
 19680121;    6730;   5.113;     9;     1
 19680122;    5620;   4.269;     9;     1
 19680123;    4780;   3.631;     9;     1
 19680124;    4140;   3.145;     9;     1
 19680125;    3840;   2.917;     9;     1
 19680126;    5470;   4.156;     9;     1
 19680127;    5990;   4.551;     9;     1
 19680128;    4510;   3.426;     9;     1
 19680129;    3820;   2.902;     9;     1
 19680130;    3440;   2.613;     9;     1
 19680131;    3120;   2.370;     9;     1
 19680201;    2820;   2.142;     9;     1
 19680202;    2910;   2.211;     9;     1
 19680203;    5090;   3.867;     9;     1
 19680204;    4600;   3.495;     9;     1
 19680205;    3540;   2.689;     9;     1
 19680206;    3630;   2.758;     9;     1
 19680207;    3210;   2.439;     9;     1
 19680208;    2940;   2.234;     9;     1
 19680209;    2680;   2.036;     9;     1
 19680210;    2420;   1.838;     9;     1
 19680211;    2230;   1.694;     9;     1
 19680212;    2410;   1.831;     9;     1
 19680213;    2330;   1.770;     9;     1
 19680214;    2620;   1.990;     9;     1
 19680215;    2220;   1.687;     9;     1
 19680216;    2040;   1.550;     9;     1
 19680217;    1870;   1.421;     9;     1
 19680218;    1650;   1.253;     9;     1
 19680219;    1550;   1.178;     9;     1
 19680220;    3230;   2.454;     9;     1
 19680221;    5730;   4.353;     9;     1
 19680222;    5200;   3.950;     9;     1
 19680223;    7470;   5.675;     9;     1
 19680224;    5860;   4.452;     9;     1
 19680225;    5590;   4.247;     9;     1
 19680226;    4430;   3.365;     9;     1
 19680227;    3710;   2.818;     9;     1
 19680228;    3130;   2.378;     9;     1
 19680229;    2780;   2.112;     9;     1
 19680301;    2480;   1.884;     9;     1
 19680302;    2280;   1.732;     9;     1
 19680303;    2010;   1.527;     9;     1
 19680304;    1770;   1.345;     9;     1
 19680305;    1610;   1.223;     9;     1
 19680306;    1830;   1.390;     9;     1
 19680307;    2100;   1.595;     9;     1
 19680308;    2000;   1.519;     9;     1
 19680309;    1720;   1.307;     9;     1
 19680310;    1530;   1.162;     9;     1
 19680311;    1470;   1.117;     9;     1
 19680312;    1470;   1.117;     9;     1
 19680313;    1310;   0.995;     9;     1
 19680314;    1300;   0.988;     9;     1
 19680315;    1530;   1.162;     9;     1
 19680316;    3420;   2.598;     9;     1
 19680317;    2350;   1.785;     9;     1
 19680318;    2540;   1.930;     9;     1
 19680319;    2050;   1.557;     9;     1
 19680320;    2180;   1.656;     9;     1
 19680321;    2750;   2.089;     9;     1
 19680322;    2620;   1.990;     9;     1
 19680323;    2350;   1.785;     9;     1
 19680324;    2000;   1.519;     9;     1
 19680325;    1780;   1.352;     9;     1
 19680326;    1660;   1.261;     9;     1
 19680327;    1520;   1.155;     9;     1
 19680328;    1410;   1.071;     9;     1
 19680329;    1320;   1.003;     9;     1
 19680330;    1280;   0.972;     9;     1
 19680331;    1190;   0.904;     9;     1
 19680401;    1100;   0.836;     9;     1
 19680402;    1050;   0.798;     9;     1
 19680403;    1140;   0.866;     9;     1
 19680404;    1030;   0.782;     9;     1
 19680405;    1940;   1.474;     9;     1
 19680406;    3090;   2.347;     9;     1
 19680407;    2090;   1.588;     9;     1
 19680408;    1420;   1.079;     9;     1
 19680409;    1260;   0.957;     9;     1
 19680410;    1200;   0.912;     9;     1
 19680411;    1250;   0.950;     9;     1
 19680412;    1380;   1.048;     9;     1
 19680413;    1180;   0.896;     9;     1
 19680414;     898;   0.682;     9;     1
 19680415;     995;   0.756;     9;     1
 19680416;     994;   0.755;     9;     1
 19680417;     829;   0.630;     9;     1
 19680418;     695;   0.528;     9;     1
 19680419;     633;   0.481;     9;     1
 19680420;     572;   0.435;     9;     1
 19680421;     534;   0.406;     9;     1
 19680422;     524;   0.398;     9;     1
 19680423;     505;   0.384;     9;     1
 19680424;    1130;   0.858;     9;     1
 19680425;     956;   0.726;     9;     1
 19680426;     792;   0.602;     9;     1
 19680427;     683;   0.519;     9;     1
 19680428;     908;   0.690;     9;     1
 19680429;    1220;   0.927;     9;     1
 19680430;     986;   0.749;     9;     1
 19680501;    1080;   0.820;     9;     1
 19680502;    3500;   2.659;     9;     1
 19680503;    3260;   2.477;     9;     1
 19680504;    3350;   2.545;     9;     1
 19680505;    4790;   3.639;     9;     1
 19680506;   11100;   8.433;     9;     1
 19680507;    7270;   5.523;     9;     1
 19680508;    4880;   3.707;     9;     1
 19680509;    7020;   5.333;     9;     1
 19680510;    4250;   3.229;     9;     1
 19680511;    3190;   2.423;     9;     1
 19680512;    2710;   2.059;     9;     1
 19680513;    2260;   1.717;     9;     1
 19680514;    1910;   1.451;     9;     1
 19680515;    1630;   1.238;     9;     1
 19680516;    1380;   1.048;     9;     1
 19680517;    1270;   0.965;     9;     1
 19680518;    1160;   0.881;     9;     1
 19680519;    1020;   0.775;     9;     1
 19680520;     923;   0.701;     9;     1
 19680521;    1250;   0.950;     9;     1
 19680522;    1780;   1.352;     9;     1
 19680523;    1270;   0.965;     9;     1
 19680524;     971;   0.738;     9;     1
 19680525;    4890;   3.715;     9;     1
 19680526;    4640;   3.525;     9;     1
 19680527;    3990;   3.031;     9;     1
 19680528;    3190;   2.423;     9;     1
 19680529;    2110;   1.603;     9;     1
 19680530;    1660;   1.261;     9;     1
 19680531;    1440;   1.094;     9;     1
 19680601;    1260;   0.957;     9;     1
 19680602;    1070;   0.813;     9;     1
 19680603;    1180;   0.896;     9;     1
 19680604;    1090;   0.828;     9;     1
 19680605;    1010;   0.767;     9;     1
 19680606;     891;   0.677;     9;     1
 19680607;     764;   0.580;     9;     1
 19680608;     636;   0.483;     9;     1
 19680609;     623;   0.473;     9;     1
 19680610;     564;   0.428;     9;     1
 19680611;     500;   0.380;     9;     1
 19680612;     455;   0.346;     9;     1
 19680613;     440;   0.334;     9;     1
 19680614;     462;   0.351;     9;     1
 19680615;     491;   0.373;     9;     1
 19680616;    1060;   0.805;     9;     1
 19680617;     819;   0.622;     9;     1
 19680618;     664;   0.504;     9;     1
 19680619;     549;   0.417;     9;     1
 19680620;     600;   0.456;     9;     1
 19680621;     743;   0.564;     9;     1
 19680622;     586;   0.445;     9;     1
 19680623;    1720;   1.307;     9;     1
 19680624;    1320;   1.003;     9;     1
 19680625;     765;   0.581;     9;     1
 19680626;     626;   0.476;     9;     1
 19680627;     620;   0.471;     9;     1
 19680628;     529;   0.402;     9;     1
 19680629;     445;   0.338;     9;     1
 19680630;     329;   0.250;     9;     1
 19680701;     298;   0.226;     9;     1
 19680702;     270;   0.205;     9;     1
 19680703;     265;   0.201;     9;     1
 19680704;     240;   0.182;     9;     1
 19680705;     238;   0.181;     9;     1
 19680706;     397;   0.302;     9;     1
 19680707;     303;   0.230;     9;     1
 19680708;     267;   0.203;     9;     1
 19680709;     249;   0.189;     9;     1
 19680710;     218;   0.166;     9;     1
 19680711;     365;   0.277;     9;     1
 19680712;     384;   0.292;     9;     1
 19680713;     267;   0.203;     9;     1
 19680714;     284;   0.216;     9;     1
 19680715;     354;   0.269;     9;     1
 19680716;     374;   0.284;     9;     1
 19680717;     448;   0.340;     9;     1
 19680718;     613;   0.466;     9;     1
 19680719;     434;   0.330;     9;     1
 19680720;     319;   0.242;     9;     1
 19680721;     268;   0.204;     9;     1
 19680722;     240;   0.182;     9;     1
 19680723;     226;   0.172;     9;     1
 19680724;     229;   0.174;     9;     1
 19680725;     252;   0.191;     9;     1
 19680726;     224;   0.170;     9;     1
 19680727;     206;   0.156;     9;     1
 19680728;     191;   0.145;     9;     1
 19680729;     178;   0.135;     9;     1
 19680730;     177;   0.134;     9;     1
 19680731;     200;   0.152;     9;     1
 19680801;     241;   0.183;     9;     1
 19680802;     332;   0.252;     9;     1
 19680803;     284;   0.216;     9;     1
 19680804;     262;   0.199;     9;     1
 19680805;     243;   0.185;     9;     1
 19680806;     276;   0.210;     9;     1
 19680807;     259;   0.197;     9;     1
 19680808;     277;   0.210;     9;     1
 19680809;     347;   0.264;     9;     1
 19680810;     479;   0.364;     9;     1
 19680811;     257;   0.195;     9;     1
 19680812;     227;   0.172;     9;     1
 19680813;     322;   0.245;     9;     1
 19680814;    1030;   0.782;     9;     1
 19680815;     555;   0.422;     9;     1
 19680816;     403;   0.306;     9;     1
 19680817;     540;   0.410;     9;     1
 19680818;     793;   0.602;     9;     1
 19680819;     610;   0.463;     9;     1
 19680820;     409;   0.311;     9;     1
 19680821;     336;   0.255;     9;     1
 19680822;     293;   0.223;     9;     1
 19680823;     284;   0.216;     9;     1
 19680824;     270;   0.205;     9;     1
 19680825;     255;   0.194;     9;     1
 19680826;     235;   0.179;     9;     1
 19680827;     216;   0.164;     9;     1
 19680828;     409;   0.311;     9;     1
 19680829;     400;   0.304;     9;     1
 19680830;    1440;   1.094;     9;     1
 19680831;    2380;   1.808;     9;     1
 19680901;    1230;   0.934;     9;     1
 19680902;    1190;   0.904;     9;     1
 19680903;    3020;   2.294;     9;     1
 19680904;    3140;   2.385;     9;     1
 19680905;    2260;   1.717;     9;     1
 19680906;    1690;   1.284;     9;     1
 19680907;    1380;   1.048;     9;     1
 19680908;    1160;   0.881;     9;     1
 19680909;     982;   0.746;     9;     1
 19680910;     884;   0.672;     9;     1
 19680911;    1240;   0.942;     9;     1
 19680912;     961;   0.730;     9;     1
 19680913;     758;   0.576;     9;     1
 19680914;     687;   0.522;     9;     1
 19680915;    1260;   0.957;     9;     1
 19680916;    1100;   0.836;     9;     1
 19680917;    1480;   1.124;     9;     1
 19680918;    1340;   1.018;     9;     1
 19680919;    1000;   0.760;     9;     1
 19680920;     934;   0.710;     9;     1
 19680921;    4820;   3.662;     9;     1
 19680922;   12400;   9.420;     9;     1
 19680923;    6230;   4.733;     9;     1
 19680924;    5010;   3.806;     9;     1
 19680925;    3480;   2.644;     9;     1
 19680926;    2720;   2.066;     9;     1
 19680927;    2190;   1.664;     9;     1
 19680928;    6020;   4.573;     9;     1
 19680929;    4710;   3.578;     9;     1
 19680930;    4120;   3.130;     9;     1
 19681001;    3170;   2.408;     9;     1
 19681002;    2730;   2.074;     9;     1
 19681003;    2320;   1.762;     9;     1
 19681004;    2030;   1.542;     9;     1
 19681005;    1780;   1.352;     9;     1
 19681006;    1580;   1.200;     9;     1
 19681007;    1480;   1.124;     9;     1
 19681008;    1560;   1.185;     9;     1
 19681009;    2560;   1.945;     9;     1
 19681010;    2510;   1.907;     9;     1
 19681011;    1990;   1.512;     9;     1
 19681012;    1740;   1.322;     9;     1
 19681013;    1600;   1.216;     9;     1
 19681014;    2320;   1.762;     9;     1
 19681015;    3210;   2.439;     9;     1
 19681016;    2220;   1.687;     9;     1
 19681017;    1810;   1.375;     9;     1
 19681018;    1450;   1.102;     9;     1
 19681019;    1320;   1.003;     9;     1
 19681020;    1310;   0.995;     9;     1
 19681021;    1180;   0.896;     9;     1
 19681022;    1190;   0.904;     9;     1
 19681023;    1180;   0.896;     9;     1
 19681024;    1060;   0.805;     9;     1
 19681025;    1510;   1.147;     9;     1
 19681026;    1190;   0.904;     9;     1
 19681027;    1040;   0.790;     9;     1
 19681028;     990;   0.752;     9;     1
 19681029;    1030;   0.782;     9;     1
 19681030;    1050;   0.798;     9;     1
 19681031;     927;   0.704;     9;     1
 19681101;     868;   0.659;     9;     1
 19681102;    4390;   3.335;     9;     1
 19681103;    2780;   2.112;     9;     1
 19681104;    2300;   1.747;     9;     1
 19681105;    2080;   1.580;     9;     1
 19681106;    1810;   1.375;     9;     1
 19681107;    1770;   1.345;     9;     1
 19681108;    1730;   1.314;     9;     1
 19681109;    1510;   1.147;     9;     1
 19681110;    1380;   1.048;     9;     1
 19681111;    1260;   0.957;     9;     1
 19681112;    1300;   0.988;     9;     1
 19681113;    1310;   0.995;     9;     1
 19681114;    1120;   0.851;     9;     1
 19681115;     928;   0.705;     9;     1
 19681116;     880;   0.669;     9;     1
 19681117;     849;   0.645;     9;     1
 19681118;     828;   0.629;     9;     1
 19681119;     888;   0.675;     9;     1
 19681120;    1060;   0.805;     9;     1
 19681121;     948;   0.720;     9;     1
 19681122;     829;   0.630;     9;     1
 19681123;     783;   0.595;     9;     1
 19681124;    2040;   1.550;     9;     1
 19681125;    1720;   1.307;     9;     1
 19681126;    1360;   1.033;     9;     1
 19681127;    1150;   0.874;     9;     1
 19681128;    1080;   0.820;     9;     1
 19681129;    1030;   0.782;     9;     1
 19681130;     972;   0.738;     9;     1
 19681201;     917;   0.697;     9;     1
 19681202;     892;   0.678;     9;     1
 19681203;     895;   0.680;     9;     1
 19681204;     876;   0.665;     9;     1
 19681205;     805;   0.612;     9;     1
 19681206;     741;   0.563;     9;     1
 19681207;     808;   0.614;     9;     1
 19681208;     830;   0.631;     9;     1
 19681209;     785;   0.596;     9;     1
 19681210;     747;   0.567;     9;     1
 19681211;     706;   0.536;     9;     1
 19681212;     668;   0.507;     9;     1
 19681213;     615;   0.467;     9;     1
 19681214;     621;   0.472;     9;     1
 19681215;     707;   0.537;     9;     1
 19681216;    2030;   1.542;     9;     1
 19681217;    2080;   1.580;     9;     1
 19681218;    2560;   1.945;     9;     1
 19681219;    3450;   2.621;     9;     1
 19681220;    2340;   1.778;     9;     1
 19681221;    2900;   2.203;     9;     1
 19681222;    2700;   2.051;     9;     1
 19681223;    9040;   6.868;     9;     1
 19681224;   13300;  10.104;     9;     1
 19681225;   18700;  14.206;     9;     1
 19681226;   15000;  11.395;     9;     1
 19681227;    9500;   7.217;     9;     1
 19681228;    7600;   5.774;     9;     1
 19681229;    6030;   4.581;     9;     1
 19681230;    5020;   3.814;     9;     1
 19681231;    4300;   3.267;     9;     1
 19690101;    3630;   2.758;     9;     1
 19690102;    3320;   2.522;     9;     1
 19690103;    3580;   2.720;     9;     1
 19690104;    3850;   2.925;     9;     1
 19690105;    3270;   2.484;     9;     1
 19690106;    2880;   2.188;     9;     1
 19690107;    2990;   2.271;     9;     1
 19690108;    4740;   3.601;     9;     1
 19690109;    3520;   2.674;     9;     1
 19690110;    3070;   2.332;     9;     1
 19690111;    2840;   2.158;     9;     1
 19690112;    3050;   2.317;     9;     1
 19690113;    4930;   3.745;     9;     1
 19690114;    6340;   4.816;     9;     1
 19690115;    6640;   5.044;     9;     1
 19690116;    5920;   4.497;     9;     1
 19690117;    4900;   3.723;     9;     1
 19690118;    4830;   3.669;     9;     1
 19690119;    4620;   3.510;     9;     1
 19690120;    3700;   2.811;     9;     1
 19690121;    3200;   2.431;     9;     1
 19690122;    2890;   2.196;     9;     1
 19690123;    2680;   2.036;     9;     1
 19690124;    2420;   1.838;     9;     1
 19690125;    2080;   1.580;     9;     1
 19690126;    1950;   1.481;     9;     1
 19690127;    1780;   1.352;     9;     1
 19690128;    1570;   1.193;     9;     1
 19690129;    2600;   1.975;     9;     1
 19690130;    2240;   1.702;     9;     1
 19690131;    2030;   1.542;     9;     1
 19690201;    2010;   1.527;     9;     1
 19690202;    2110;   1.603;     9;     1
 19690203;    2880;   2.188;     9;     1
 19690204;    2190;   1.664;     9;     1
 19690205;    1860;   1.413;     9;     1
 19690206;    1670;   1.269;     9;     1
 19690207;    1610;   1.223;     9;     1
 19690208;    1600;   1.216;     9;     1
 19690209;    1440;   1.094;     9;     1
 19690210;    1400;   1.064;     9;     1
 19690211;    1350;   1.026;     9;     1
 19690212;    2040;   1.550;     9;     1
 19690213;    2180;   1.656;     9;     1
 19690214;    1870;   1.421;     9;     1
 19690215;    1580;   1.200;     9;     1
 19690216;    1340;   1.018;     9;     1
 19690217;    1340;   1.018;     9;     1
 19690218;    1290;   0.980;     9;     1
 19690219;    5190;   3.943;     9;     1
 19690220;    7030;   5.341;     9;     1
 19690221;    4970;   3.776;     9;     1
 19690222;    5430;   4.125;     9;     1
 19690223;    5170;   3.928;     9;     1
 19690224;    8640;   6.564;     9;     1
 19690225;    6060;   4.604;     9;     1
 19690226;    5250;   3.988;     9;     1
 19690227;    4450;   3.381;     9;     1
 19690228;    3610;   2.742;     9;     1
 19690301;    3180;   2.416;     9;     1
 19690302;    3840;   2.917;     9;     1
 19690303;    3130;   2.378;     9;     1
 19690304;    4170;   3.168;     9;     1
 19690305;    3100;   2.355;     9;     1
 19690306;    2660;   2.021;     9;     1
 19690307;    2430;   1.846;     9;     1
 19690308;    2140;   1.626;     9;     1
 19690309;    1930;   1.466;     9;     1
 19690310;    1810;   1.375;     9;     1
 19690311;    2180;   1.656;     9;     1
 19690312;    3380;   2.568;     9;     1
 19690313;    6100;   4.634;     9;     1
 19690314;   10500;   7.977;     9;     1
 19690315;    7540;   5.728;     9;     1
 19690316;    6000;   4.558;     9;     1
 19690317;    8090;   6.146;     9;     1
 19690318;    9470;   7.194;     9;     1
 19690319;    6470;   4.915;     9;     1
 19690320;    5340;   4.057;     9;     1
 19690321;    4380;   3.327;     9;     1
 19690322;    3620;   2.750;     9;     1
 19690323;    3240;   2.461;     9;     1
 19690324;    2720;   2.066;     9;     1
 19690325;    2360;   1.793;     9;     1
 19690326;    2200;   1.671;     9;     1
 19690327;    2060;   1.565;     9;     1
 19690328;    1820;   1.383;     9;     1
 19690329;    1640;   1.246;     9;     1
 19690330;    1570;   1.193;     9;     1
 19690331;    2350;   1.785;     9;     1
 19690401;    3230;   2.454;     9;     1
 19690402;    2480;   1.884;     9;     1
 19690403;    2040;   1.550;     9;     1
 19690404;    1880;   1.428;     9;     1
 19690405;    1700;   1.291;     9;     1
 19690406;    1690;   1.284;     9;     1
 19690407;    1570;   1.193;     9;     1
 19690408;    1470;   1.117;     9;     1
 19690409;    1400;   1.064;     9;     1
 19690410;    1340;   1.018;     9;     1
 19690411;    1260;   0.957;     9;     1
 19690412;    1420;   1.079;     9;     1
 19690413;    1480;   1.124;     9;     1
 19690414;    1320;   1.003;     9;     1
 19690415;    2100;   1.595;     9;     1
 19690416;    1820;   1.383;     9;     1
 19690417;    1460;   1.109;     9;     1
 19690418;    1350;   1.026;     9;     1
 19690419;    1290;   0.980;     9;     1
 19690420;    1300;   0.988;     9;     1
 19690421;    2630;   1.998;     9;     1
 19690422;    8950;   6.799;     9;     1
 19690423;   10900;   8.281;     9;     1
 19690424;    6580;   4.999;     9;     1
 19690425;    5160;   3.920;     9;     1
 19690426;    4990;   3.791;     9;     1
 19690427;   11400;   8.661;     9;     1
 19690428;   11700;   8.888;     9;     1
 19690429;    9110;   6.921;     9;     1
 19690430;    6730;   5.113;     9;     1
 19690501;    5460;   4.148;     9;     1
 19690502;    4280;   3.251;     9;     1
 19690503;    3470;   2.636;     9;     1
 19690504;    3340;   2.537;     9;     1
 19690505;    3630;   2.758;     9;     1
 19690506;   13500;  10.256;     9;     1
 19690507;    5520;   4.194;     9;     1
 19690508;    5600;   4.254;     9;     1
 19690509;    4290;   3.259;     9;     1
 19690510;    3490;   2.651;     9;     1
 19690511;    2910;   2.211;     9;     1
 19690512;    2430;   1.846;     9;     1
 19690513;    2050;   1.557;     9;     1
 19690514;    1820;   1.383;     9;     1
 19690515;    1670;   1.269;     9;     1
 19690516;    1950;   1.481;     9;     1
 19690517;    1690;   1.284;     9;     1
 19690518;    1600;   1.216;     9;     1
 19690519;    1580;   1.200;     9;     1
 19690520;    1380;   1.048;     9;     1
 19690521;    1220;   0.927;     9;     1
 19690522;    1070;   0.813;     9;     1
 19690523;     987;   0.750;     9;     1
 19690524;     977;   0.742;     9;     1
 19690525;    1260;   0.957;     9;     1
 19690526;    1190;   0.904;     9;     1
 19690527;     886;   0.673;     9;     1
 19690528;    1910;   1.451;     9;     1
 19690529;    5620;   4.269;     9;     1
 19690530;    7520;   5.713;     9;     1
 19690531;    4050;   3.077;     9;     1
 19690601;    3120;   2.370;     9;     1
 19690602;    2320;   1.762;     9;     1
 19690603;    1980;   1.504;     9;     1
 19690604;    2160;   1.641;     9;     1
 19690605;    1880;   1.428;     9;     1
 19690606;    1780;   1.352;     9;     1
 19690607;    1600;   1.216;     9;     1
 19690608;    1450;   1.102;     9;     1
 19690609;    1210;   0.919;     9;     1
 19690610;    1100;   0.836;     9;     1
 19690611;     997;   0.757;     9;     1
 19690612;     978;   0.743;     9;     1
 19690613;     860;   0.653;     9;     1
 19690614;     835;   0.634;     9;     1
 19690615;     792;   0.602;     9;     1
 19690616;     746;   0.567;     9;     1
 19690617;     734;   0.558;     9;     1
 19690618;    1230;   0.934;     9;     1
 19690619;    2210;   1.679;     9;     1
 19690620;    1370;   1.041;     9;     1
 19690621;    1340;   1.018;     9;     1
 19690622;    1230;   0.934;     9;     1
 19690623;    1940;   1.474;     9;     1
 19690624;    8510;   6.465;     9;     1
 19690625;    6170;   4.687;     9;     1
 19690626;    4240;   3.221;     9;     1
 19690627;    3120;   2.370;     9;     1
 19690628;    4130;   3.138;     9;     1
 19690629;    2360;   1.793;     9;     1
 19690630;    1830;   1.390;     9;     1
 19690701;    1530;   1.162;     9;     1
 19690702;    1370;   1.041;     9;     1
 19690703;    1230;   0.934;     9;     1
 19690704;    1050;   0.798;     9;     1
 19690705;     962;   0.731;     9;     1
 19690706;     907;   0.689;     9;     1
 19690707;     908;   0.690;     9;     1
 19690708;     946;   0.719;     9;     1
 19690709;     926;   0.703;     9;     1
 19690710;     894;   0.679;     9;     1
 19690711;     817;   0.621;     9;     1
 19690712;     899;   0.683;     9;     1
 19690713;     795;   0.604;     9;     1
 19690714;     655;   0.498;     9;     1
 19690715;     536;   0.407;     9;     1
 19690716;     504;   0.383;     9;     1
 19690717;     465;   0.353;     9;     1
 19690718;     446;   0.339;     9;     1
 19690719;     408;   0.310;     9;     1
 19690720;     362;   0.275;     9;     1
 19690721;     323;   0.245;     9;     1
 19690722;     318;   0.242;     9;     1
 19690723;     318;   0.242;     9;     1
 19690724;     293;   0.223;     9;     1
 19690725;     300;   0.228;     9;     1
 19690726;     444;   0.337;     9;     1
 19690727;     359;   0.273;     9;     1
 19690728;     274;   0.208;     9;     1
 19690729;     271;   0.206;     9;     1
 19690730;     313;   0.238;     9;     1
 19690731;     339;   0.258;     9;     1
 19690801;     308;   0.234;     9;     1
 19690802;     351;   0.267;     9;     1
 19690803;     379;   0.288;     9;     1
 19690804;     302;   0.229;     9;     1
 19690805;     281;   0.213;     9;     1
 19690806;     267;   0.203;     9;     1
 19690807;     250;   0.190;     9;     1
 19690808;     234;   0.178;     9;     1
 19690809;     221;   0.168;     9;     1
 19690810;     210;   0.160;     9;     1
 19690811;     199;   0.151;     9;     1
 19690812;     420;   0.319;     9;     1
 19690813;     386;   0.293;     9;     1
 19690814;     302;   0.229;     9;     1
 19690815;     311;   0.236;     9;     1
 19690816;     315;   0.239;     9;     1
 19690817;     374;   0.284;     9;     1
 19690818;     307;   0.233;     9;     1
 19690819;     247;   0.188;     9;     1
 19690820;     223;   0.169;     9;     1
 19690821;     210;   0.160;     9;     1
 19690822;     200;   0.152;     9;     1
 19690823;     240;   0.182;     9;     1
 19690824;     337;   0.256;     9;     1
 19690825;     280;   0.213;     9;     1
 19690826;     352;   0.267;     9;     1
 19690827;     752;   0.571;     9;     1
 19690828;     440;   0.334;     9;     1
 19690829;     350;   0.266;     9;     1
 19690830;     286;   0.217;     9;     1
 19690831;     241;   0.183;     9;     1
 19690901;     232;   0.176;     9;     1
 19690902;     268;   0.204;     9;     1
 19690903;     496;   0.377;     9;     1
 19690904;     363;   0.276;     9;     1
 19690905;     318;   0.242;     9;     1
 19690906;     317;   0.241;     9;     1
 19690907;     286;   0.217;     9;     1
 19690908;     252;   0.191;     9;     1
 19690909;     379;   0.288;     9;     1
 19690910;     427;   0.324;     9;     1
 19690911;     386;   0.293;     9;     1
 19690912;     252;   0.191;     9;     1
 19690913;     230;   0.175;     9;     1
 19690914;     214;   0.163;     9;     1
 19690915;     208;   0.158;     9;     1
 19690916;     336;   0.255;     9;     1
 19690917;     279;   0.212;     9;     1
 19690918;    1020;   0.775;     9;     1
