## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:58:53
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Auvergne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O7265010
## Nom station                      : La Limagnole à Fontans [Saint-Alban]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      728405 ;    6408744 ;      728449 ;    6408803 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      680970 ;    1975690 ;      681013 ;    1975749 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.35905 ;   44.77726 ;     3.35960 ;   44.77779 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       76.00 ;      77.64 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :    908.0000 ;   918.1875 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1970-09-17 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19700917;     136;   0.151;     9;     1
 19700918;     146;   0.162;     9;     1
 19700919;     137;   0.152;     9;     1
 19700920;     128;   0.142;     9;     1
 19700921;     116;   0.129;     9;     1
 19700922;     101;   0.112;     9;     1
 19700923;     127;   0.141;     9;     1
 19700924;     129;   0.144;     9;     1
 19700925;     127;   0.141;     9;     1
 19700926;     114;   0.127;     9;     1
 19700927;     115;   0.128;     9;     1
 19700928;     103;   0.115;     9;     1
 19700929;      78;   0.087;     9;     1
 19700930;      61;   0.068;     9;     1
 19701001;      60;   0.067;     9;     1
 19701002;      61;   0.068;     9;     1
 19701003;      69;   0.077;     9;     1
 19701004;      69;   0.077;     9;     1
 19701005;      66;   0.073;     9;     1
 19701006;      65;   0.072;     9;     1
 19701007;      79;   0.088;     9;     1
 19701008;     120;   0.134;     9;     1
 19701009;     181;   0.201;     9;     1
 19701010;     427;   0.475;     9;     1
 19701011;     349;   0.388;     9;     1
 19701012;     257;   0.286;     9;     1
 19701013;     203;   0.226;     9;     1
 19701014;     189;   0.210;     9;     1
 19701015;     153;   0.170;     9;     1
 19701016;     163;   0.181;     9;     1
 19701017;     171;   0.190;     9;     1
 19701018;     161;   0.179;     9;     1
 19701019;     161;   0.179;     9;     1
 19701020;     161;   0.179;     9;     1
 19701021;     161;   0.179;     9;     1
 19701022;     166;   0.185;     9;     1
 19701023;     176;   0.196;     9;     1
 19701024;     170;   0.189;     9;     1
 19701025;     176;   0.196;     9;     1
 19701026;     165;   0.184;     9;     1
 19701027;     160;   0.178;     9;     1
 19701028;     145;   0.161;     9;     1
 19701029;     149;   0.166;     9;     1
 19701030;     146;   0.162;     9;     1
 19701031;     146;   0.162;     9;     1
 19701101;     141;   0.157;     9;     1
 19701102;     140;   0.156;     9;     1
 19701103;     134;   0.149;     9;     1
 19701104;     132;   0.147;     9;     1
 19701105;     133;   0.148;     9;     1
 19701106;     139;   0.155;     9;     1
 19701107;     136;   0.151;     9;     1
 19701108;     146;   0.162;     9;     1
 19701109;     145;   0.161;     9;     1
 19701110;     134;   0.149;     9;     1
 19701111;     132;   0.147;     9;     1
 19701112;     124;   0.138;     9;     1
 19701113;     181;   0.201;     9;     1
 19701114;     212;   0.236;     9;     1
 19701115;     206;   0.229;     9;     1
 19701116;     183;   0.204;     9;     1
 19701117;     180;   0.200;     9;     1
 19701118;     208;   0.231;     9;     1
 19701119;     215;   0.239;     9;     1
 19701120;     215;   0.239;     9;     1
 19701121;     346;   0.385;     9;     1
 19701122;     372;   0.414;     9;     1
 19701123;     295;   0.328;     9;     1
 19701124;     279;   0.310;     9;     1
 19701125;     255;   0.284;     9;     1
 19701126;     234;   0.260;     9;     1
 19701127;     215;   0.239;     9;     1
 19701128;     212;   0.236;     9;     1
 19701129;     224;   0.249;     9;     1
 19701130;     304;   0.338;     9;     1
 19701201;     305;   0.339;     9;     1
 19701202;     307;   0.342;     9;     1
 19701203;     323;   0.359;     9;     1
 19701204;     343;   0.382;     9;     1
 19701205;     343;   0.382;     9;     1
 19701206;     300;   0.334;     9;     1
 19701207;     291;   0.324;     9;     1
 19701208;     282;   0.314;     9;     1
 19701209;     275;   0.306;     9;     1
 19701210;     268;   0.298;     9;     1
 19701211;     262;   0.292;     9;     1
 19701212;     258;   0.287;     9;     1
 19701213;     282;   0.314;     9;     1
 19701214;     305;   0.339;     9;     1
 19701215;     294;   0.327;     9;     1
 19701216;     285;   0.317;     9;     1
 19701217;     253;   0.282;     9;     1
 19701218;     350;   0.389;     9;     1
 19701219;     356;   0.396;     9;     1
 19701220;     669;   0.744;     9;     1
 19701221;    1070;   1.191;     9;     1
 19701222;     579;   0.644;     9;     1
 19701223;     366;   0.407;     9;     1
 19701224;     620;   0.690;     9;     1
 19701225;    1010;   1.124;     9;     1
 19701226;    1770;   1.970;     9;     1
 19701227;     998;   1.111;     9;     1
 19701228;     751;   0.836;     9;     1
 19701229;     747;   0.831;     9;     1
 19701230;     747;   0.831;     9;     1
 19701231;     737;   0.820;     9;     1
 19710101;     540;   0.601;     9;     1
 19710102;     534;   0.594;     9;     1
 19710103;     534;   0.594;     9;     1
 19710104;     545;   0.606;     9;     1
 19710105;     585;   0.651;     9;     1
 19710106;     609;   0.678;     9;     1
 19710107;     610;   0.679;     9;     1
 19710108;     560;   0.623;     9;     1
 19710109;     507;   0.564;     9;     1
 19710110;     454;   0.505;     9;     1
 19710111;     404;   0.450;     9;     1
 19710112;     358;   0.398;     9;     1
 19710113;     353;   0.393;     9;     1
 19710114;     569;   0.633;     9;     1
 19710115;     656;   0.730;     9;     1
 19710116;     990;   1.102;     9;     1
 19710117;     982;   1.093;     9;     1
 19710118;     788;   0.877;     9;     1
 19710119;    1030;   1.146;     9;     1
 19710120;     992;   1.104;     9;     1
 19710121;     638;   0.710;     9;     1
 19710122;     568;   0.632;     9;     1
 19710123;     445;   0.495;     9;     1
 19710124;    1040;   1.157;     9;     1
 19710125;    1080;   1.202;     9;     1
 19710126;    1380;   1.536;     9;     1
 19710127;    2000;   2.226;     9;     1
 19710128;    1680;   1.870;     9;     1
 19710129;    1430;   1.591;     9;     1
 19710130;    2330;   2.593;     9;     1
 19710131;    3520;   3.917;     9;     1
 19710201;    2490;   2.771;     9;     1
 19710202;    1950;   2.170;     9;     1
 19710203;    1900;   2.114;     9;     1
 19710204;    1600;   1.781;     9;     1
 19710205;    1600;   1.781;     9;     1
 19710206;    1760;   1.959;     9;     1
 19710207;    2210;   2.459;     9;     1
 19710208;    1670;   1.858;     9;     1
 19710209;    1310;   1.458;     9;     1
 19710210;    1410;   1.569;     9;     1
 19710211;    1140;   1.269;     9;     1
 19710212;     904;   1.006;     9;     1
 19710213;     923;   1.027;     9;     1
 19710214;     951;   1.058;     9;     1
 19710215;     960;   1.068;     9;     1
 19710216;     960;   1.068;     9;     1
 19710217;     960;   1.068;     9;     1
 19710218;    1140;   1.269;     9;     1
 19710219;    1270;   1.413;     9;     1
 19710220;    1080;   1.202;     9;     1
 19710221;    1030;   1.146;     9;     1
 19710222;    1040;   1.157;     9;     1
 19710223;     909;   1.012;     9;     1
 19710224;     909;   1.012;     9;     1
 19710225;    1050;   1.168;     9;     1
 19710226;    1070;   1.191;     9;     1
 19710227;    1130;   1.257;     9;     1
 19710228;    1120;   1.246;     9;     1
 19710301;     936;   1.042;     9;     1
 19710302;     948;   1.055;     9;     1
 19710303;     885;   0.985;     9;     1
 19710304;     761;   0.847;     9;     1
 19710305;     821;   0.914;     9;     1
 19710306;    1050;   1.168;     9;     1
 19710307;    1330;   1.480;     9;     1
 19710308;     993;   1.105;     9;     1
 19710309;     833;   0.927;     9;     1
 19710310;     788;   0.877;     9;     1
 19710311;     773;   0.860;     9;     1
 19710312;     758;   0.844;     9;     1
 19710313;     767;   0.854;     9;     1
 19710314;    1030;   1.146;     9;     1
 19710315;    1090;   1.213;     9;     1
 19710316;    1070;   1.191;     9;     1
 19710317;    1280;   1.424;     9;     1
 19710318;    2040;   2.270;     9;     1
 19710319;    2140;   2.381;     9;     1
 19710320;    1790;   1.992;     9;     1
 19710321;    1630;   1.814;     9;     1
 19710322;    1530;   1.703;     9;     1
 19710323;    1390;   1.547;     9;     1
 19710324;    1280;   1.424;     9;     1
 19710325;    1510;   1.680;     9;     1
 19710326;    2360;   2.626;     9;     1
 19710327;    2130;   2.370;     9;     1
 19710328;    1730;   1.925;     9;     1
 19710329;    1850;   2.059;     9;     1
 19710330;    1620;   1.803;     9;     1
 19710331;    1850;   2.059;     9;     1
 19710401;    2400;   2.671;     9;     1
 19710402;    2910;   3.238;     9;     1
 19710403;    4380;   4.874;     9;     1
 19710404;    6870;   7.645;     9;     1
 19710405;    6120;   6.811;     9;     1
 19710406;    5850;   6.510;     9;     1
 19710407;    6040;   6.721;     9;     1
 19710408;    7480;   8.324;     5;     1
 19710409;    8480;   9.437;     5;     1
 19710410;    8860;   9.860;     5;     1
 19710411;    9130;  10.160;     5;     1
 19710412;    8190;   9.114;     5;     1
 19710413;    7490;   8.335;     5;     1
 19710414;    6390;   7.111;     9;     1
 19710415;    6090;   6.777;     9;     1
 19710416;    6110;   6.799;     9;     1
 19710417;    6520;   7.256;     9;     1
 19710418;    5350;   5.954;     9;     1
 19710419;    4560;   5.074;     9;     1
 19710420;    4110;   4.574;     9;     1
 19710421;    4010;   4.462;     9;     1
 19710422;    3630;   4.040;     9;     1
 19710423;    5110;   5.687;     9;     1
 19710424;    5000;   5.564;     9;     1
 19710425;    3660;   4.073;     9;     1
 19710426;    3060;   3.405;     9;     1
 19710427;    3590;   3.995;     9;     1
 19710428;    3310;   3.683;     9;     1
 19710429;    2750;   3.060;     9;     1
 19710430;    4100;   4.563;     9;     1
 19710501;    4490;   4.997;     9;     1
 19710502;    3370;   3.750;     9;     1
 19710503;    3010;   3.350;     9;     1
 19710504;    3000;   3.338;     9;     1
 19710505;    2520;   2.804;     9;     1
 19710506;    2040;   2.270;     9;     1
 19710507;    1840;   2.048;     9;     1
 19710508;    1710;   1.903;     9;     1
 19710509;    2000;   2.226;     9;     1
 19710510;    2030;   2.259;     9;     1
 19710511;    1700;   1.892;     9;     1
 19710512;    1600;   1.781;     9;     1
 19710513;    1520;   1.691;     9;     1
 19710514;    1530;   1.703;     9;     1
 19710515;    1640;   1.825;     9;     1
 19710516;    1510;   1.680;     9;     1
 19710517;    1470;   1.636;     9;     1
 19710518;    1420;   1.580;     9;     1
 19710519;    1210;   1.347;     9;     1
 19710520;    1590;   1.769;     9;     1
 19710521;    1530;   1.703;     9;     1
 19710522;    1470;   1.636;     9;     1
 19710523;    1760;   1.959;     9;     1
 19710524;    1520;   1.691;     9;     1
 19710525;    2830;   3.149;     9;     1
 19710526;    1870;   2.081;     9;     1
 19710527;    1550;   1.725;     9;     1
 19710528;    1450;   1.614;     9;     1
 19710529;    1340;   1.491;     9;     1
 19710530;    1280;   1.424;     9;     1
 19710531;    1260;   1.402;     9;     1
 19710601;    1240;   1.380;     9;     1
 19710602;    1370;   1.525;     9;     1
 19710603;    1330;   1.480;     9;     1
 19710604;    1110;   1.235;     9;     1
 19710605;     960;   1.068;     9;     1
 19710606;     960;   1.068;     9;     1
 19710607;    1010;   1.124;     9;     1
 19710608;     863;   0.960;     9;     1
 19710609;    1640;   1.825;     9;     1
 19710610;    2150;   2.393;     9;     1
 19710611;    2110;   2.348;     9;     1
 19710612;    1520;   1.691;     9;     1
 19710613;    1220;   1.358;     9;     1
 19710614;    2410;   2.682;     9;     1
 19710615;    2890;   3.216;     9;     1
 19710616;    2160;   2.404;     9;     1
 19710617;    1730;   1.925;     9;     1
 19710618;    1460;   1.625;     9;     1
 19710619;    1360;   1.513;     9;     1
 19710620;    1230;   1.369;     9;     1
 19710621;    1220;   1.358;     9;     1
 19710622;    1220;   1.358;     9;     1
 19710623;    1190;   1.324;     9;     1
 19710624;    1420;   1.580;     9;     1
 19710625;    1750;   1.947;     9;     1
 19710626;    2230;   2.482;     9;     1
 19710627;    1510;   1.680;     9;     1
 19710628;    1260;   1.402;     9;     1
 19710629;    1210;   1.347;     9;     1
 19710630;    1110;   1.235;     9;     1
 19710701;    1110;   1.235;     9;     1
 19710702;    1010;   1.124;     9;     1
 19710703;     856;   0.953;     9;     1
 19710704;     855;   0.951;     9;     1
 19710705;    1270;   1.413;     9;     1
 19710706;     948;   1.055;     9;     1
 19710707;     854;   0.950;     9;     1
 19710708;     818;   0.910;     9;     1
 19710709;     707;   0.787;     9;     1
 19710710;     595;   0.662;     9;     1
 19710711;     498;   0.554;     9;     1
 19710712;     498;   0.554;     9;     1
 19710713;     491;   0.546;     9;     1
 19710714;     466;   0.519;     9;     1
 19710715;     446;   0.496;     9;     1
 19710716;     417;   0.464;     9;     1
 19710717;     449;   0.500;     9;     1
 19710718;     655;   0.729;     9;     1
 19710719;     551;   0.613;     9;     1
 19710720;     442;   0.492;     9;     1
 19710721;     434;   0.483;     9;     1
 19710722;     425;   0.473;     9;     1
 19710723;     823;   0.916;     9;     1
 19710724;    1170;   1.302;     9;     1
 19710725;     576;   0.641;     9;     1
 19710726;     448;   0.499;     9;     1
 19710727;     425;   0.473;     9;     1
 19710728;     670;   0.746;     9;     1
 19710729;     444;   0.494;     9;     1
 19710730;     423;   0.471;     9;     1
 19710731;     383;   0.426;     9;     1
 19710801;     346;   0.385;     9;     1
 19710802;     338;   0.376;     9;     1
 19710803;     309;   0.344;     9;     1
 19710804;     305;   0.339;     9;     1
 19710805;     289;   0.322;     9;     1
 19710806;     280;   0.312;     9;     1
 19710807;     848;   0.944;     9;     1
 19710808;     534;   0.594;     9;     1
 19710809;     432;   0.481;     9;     1
 19710810;     400;   0.445;     9;     1
 19710811;     335;   0.373;     9;     1
 19710812;     319;   0.355;     9;     1
 19710813;     306;   0.341;     9;     1
 19710814;     289;   0.322;     9;     1
 19710815;     272;   0.303;     9;     1
 19710816;     257;   0.286;     9;     1
 19710817;     247;   0.275;     9;     1
 19710818;     232;   0.258;     9;     1
 19710819;     509;   0.566;     9;     1
 19710820;    1220;   1.358;     9;     1
 19710821;     440;   0.490;     9;     1
 19710822;     425;   0.473;     9;     1
 19710823;     424;   0.472;     9;     1
 19710824;     388;   0.432;     9;     1
 19710825;     340;   0.378;     9;     1
 19710826;     327;   0.364;     9;     1
 19710827;     320;   0.356;     9;     1
 19710828;     313;   0.348;     9;     1
 19710829;     307;   0.342;     9;     1
 19710830;     305;   0.339;     9;     1
 19710831;     305;   0.339;     9;     1
 19710901;     305;   0.339;     9;     1
 19710902;     305;   0.339;     9;     1
 19710903;     300;   0.334;     9;     1
 19710904;     280;   0.312;     9;     1
 19710905;     262;   0.292;     9;     1
 19710906;     246;   0.274;     9;     1
 19710907;     224;   0.249;     9;     1
 19710908;     187;   0.208;     9;     1
 19710909;     238;   0.265;     9;     1
 19710910;     349;   0.388;     9;     1
 19710911;     295;   0.328;     9;     1
 19710912;     275;   0.306;     9;     1
 19710913;     257;   0.286;     9;     1
 19710914;     255;   0.284;     9;     1
 19710915;     246;   0.274;     9;     1
 19710916;     231;   0.257;     9;     1
 19710917;     216;   0.240;     9;     1
 19710918;     212;   0.236;     9;     1
 19710919;     231;   0.257;     9;     1
 19710920;     503;   0.560;     9;     1
 19710921;     375;   0.417;     9;     1
 19710922;     320;   0.356;     9;     1
 19710923;     319;   0.355;     9;     1
 19710924;     384;   0.427;     9;     1
 19710925;     322;   0.358;     9;     1
 19710926;     300;   0.334;     9;     1
 19710927;     262;   0.292;     9;     1
 19710928;     247;   0.275;     9;     1
 19710929;     254;   0.283;     9;     1
 19710930;     274;   0.305;     9;     1
 19711001;     267;   0.297;     9;     1
 19711002;     246;   0.274;     9;     1
 19711003;     231;   0.257;     9;     1
 19711004;     239;   0.266;     9;     1
 19711005;     255;   0.284;     9;     1
 19711006;     251;   0.279;     9;     1
 19711007;     237;   0.264;     9;     1
 19711008;     225;   0.250;     9;     1
 19711009;     218;   0.243;     9;     1
 19711010;     223;   0.248;     9;     1
 19711011;     227;   0.253;     9;     1
 19711012;     212;   0.236;     9;     1
 19711013;     258;   0.287;     9;     1
 19711014;     473;   0.526;     9;     1
 19711015;     394;   0.438;     9;     1
 19711016;     343;   0.382;     9;     1
 19711017;     236;   0.263;     9;     1
 19711018;     248;   0.276;     9;     1
 19711019;     236;   0.263;     9;     1
 19711020;     223;   0.248;     9;     1
 19711021;     213;   0.237;     9;     1
 19711022;     212;   0.236;     9;     1
 19711023;     212;   0.236;     9;     1
 19711024;     212;   0.236;     9;     1
 19711025;     211;   0.235;     9;     1
 19711026;     202;   0.225;     9;     1
 19711027;     190;   0.211;     9;     1
 19711028;     180;   0.200;     9;     1
 19711029;     176;   0.196;     9;     1
 19711030;     199;   0.221;     9;     1
 19711031;     197;   0.219;     9;     1
 19711101;     181;   0.201;     9;     1
 19711102;     206;   0.229;     9;     1
 19711103;     224;   0.249;     9;     1
 19711104;     208;   0.231;     9;     1
 19711105;     194;   0.216;     9;     1
 19711106;     203;   0.226;     9;     1
 19711107;     234;   0.260;     9;     1
 19711108;     234;   0.260;     9;     1
 19711109;     248;   0.276;     9;     1
 19711110;     219;   0.244;     9;     1
 19711111;     239;   0.266;     9;     1
 19711112;     255;   0.284;     9;     1
 19711113;     255;   0.284;     9;     1
 19711114;     255;   0.284;     9;     1
 19711115;     255;   0.284;     9;     1
 19711116;     284;   0.316;     9;     1
 19711117;     305;   0.339;     9;     1
 19711118;     338;   0.376;     9;     1
 19711119;     699;   0.778;     9;     1
 19711120;     472;   0.525;     9;     1
 19711121;     497;   0.553;     9;     1
 19711122;    1000;   1.113;     9;     1
 19711123;     537;   0.598;     9;     1
 19711124;     491;   0.546;     9;     1
 19711125;     463;   0.515;     9;     1
 19711126;     824;   0.917;     9;     1
 19711127;     564;   0.628;     9;     1
 19711128;     462;   0.514;     9;     1
 19711129;     430;   0.479;     9;     1
 19711130;     417;   0.464;     9;     1
 19711201;     406;   0.452;     9;     1
 19711202;     395;   0.440;     9;     1
 19711203;     394;   0.438;     9;     1
 19711204;     394;   0.438;     9;     1
 19711205;     397;   0.442;     9;     1
 19711206;     374;   0.416;     9;     1
 19711207;     394;   0.438;     9;     1
 19711208;     397;   0.442;     9;     1
 19711209;     416;   0.463;     9;     1
 19711210;     425;   0.473;     9;     0
 19711211;     425;   0.473;     9;     0
 19711212;     425;   0.473;     9;     0
 19711213;     425;   0.473;     9;     0
 19711214;     425;   0.473;     9;     0
 19711215;     425;   0.473;     9;     0
 19711216;     425;   0.473;     9;     0
 19711217;     367;   0.408;     9;     1
 19711218;     318;   0.354;     9;     1
 19711219;     294;   0.327;     9;     1
 19711220;     391;   0.435;     9;     1
 19711221;     611;   0.680;     9;     1
 19711222;     736;   0.819;     9;     1
 19711223;     508;   0.565;     9;     1
 19711224;     479;   0.533;     9;     1
 19711225;     438;   0.487;     9;     1
 19711226;     443;   0.493;     9;     1
 19711227;     460;   0.512;     9;     1
 19711228;     466;   0.519;     9;     1
 19711229;     606;   0.674;     9;     1
 19711230;     595;   0.662;     9;     1
 19711231;     504;   0.561;     9;     1
 19720101;     498;   0.554;     9;     1
 19720102;     565;   0.629;     9;     1
 19720103;     807;   0.898;     9;     1
 19720104;     653;   0.727;     9;     1
 19720105;     848;   0.944;     9;     1
 19720106;     782;   0.870;     9;     1
 19720107;     747;   0.831;     9;     1
 19720108;     758;   0.844;     9;     1
 19720109;    1200;   1.335;     9;     1
 19720110;    1740;   1.936;     9;     1
 19720111;    1550;   1.725;     9;     1
 19720112;    1890;   2.103;     9;     1
 19720113;    2110;   2.348;     9;     1
 19720114;    2210;   2.459;     9;     1
 19720115;    2040;   2.270;     9;     1
 19720116;    1930;   2.148;     9;     1
 19720117;    1880;   2.092;     9;     1
 19720118;    1670;   1.858;     9;     1
 19720119;    1560;   1.736;     9;     1
 19720120;    1500;   1.669;     9;     1
 19720121;    1450;   1.614;     9;     1
 19720122;    1350;   1.502;     9;     1
 19720123;    1290;   1.436;     9;     1
 19720124;    1440;   1.602;     9;     1
 19720125;    1250;   1.391;     9;     1
 19720126;    1220;   1.358;     9;     1
 19720127;    1280;   1.424;     9;     1
 19720128;    1260;   1.402;     9;     1
 19720129;    1220;   1.358;     9;     1
 19720130;    1220;   1.358;     9;     1
 19720131;    1150;   1.280;     9;     1
 19720201;    1130;   1.257;     9;     1
 19720202;    1220;   1.358;     9;     1
 19720203;    1360;   1.513;     9;     1
 19720204;    1910;   2.126;     9;     1
 19720205;    1840;   2.048;     9;     1
 19720206;    1970;   2.192;     9;     1
 19720207;    2290;   2.548;     9;     1
 19720208;    3440;   3.828;     9;     1
 19720209;    3870;   4.307;     9;     1
 19720210;    3070;   3.416;     9;     1
 19720211;    5170;   5.753;     9;     1
 19720212;    4860;   5.408;     9;     1
 19720213;    3980;   4.429;     9;     1
 19720214;    3610;   4.017;     9;     1
 19720215;    3350;   3.728;     9;     1
 19720216;    3070;   3.416;     9;     1
 19720217;    3270;   3.639;     9;     1
 19720218;    3650;   4.062;     9;     1
 19720219;    3050;   3.394;     9;     1
 19720220;    2770;   3.083;     9;     1
 19720221;    2620;   2.916;     9;     1
 19720222;    2480;   2.760;     9;     1
 19720223;    2350;   2.615;     9;     1
 19720224;    2250;   2.504;     9;     1
 19720225;    2190;   2.437;     9;     1
 19720226;    2130;   2.370;     9;     1
 19720227;    2060;   2.292;     9;     1
 19720228;    1910;   2.126;     9;     1
 19720229;    1730;   1.925;     9;     1
 19720301;    1600;   1.781;     9;     1
 19720302;    1520;   1.691;     9;     1
 19720303;    1510;   1.680;     9;     1
 19720304;    1510;   1.680;     9;     1
 19720305;    1510;   1.680;     9;     1
 19720306;    1530;   1.703;     9;     1
 19720307;    1690;   1.881;     9;     1
 19720308;    1690;   1.881;     9;     1
 19720309;    1830;   2.036;     9;     1
 19720310;    1920;   2.137;     9;     1
 19720311;    1960;   2.181;     9;     1
 19720312;    2010;   2.237;     9;     1
 19720313;    2240;   2.493;     9;     1
 19720314;    2280;   2.537;     9;     1
 19720315;    2190;   2.437;     9;     1
 19720316;    2390;   2.660;     9;     1
 19720317;    2400;   2.671;     9;     1
 19720318;    2280;   2.537;     9;     1
 19720319;    2130;   2.370;     9;     1
 19720320;    2080;   2.315;     9;     1
 19720321;    2180;   2.426;     9;     1
 19720322;    2160;   2.404;     9;     1
 19720323;    2000;   2.226;     9;     1
 19720324;    1880;   2.092;     9;     1
 19720325;    1880;   2.092;     9;     1
 19720326;    2090;   2.326;     9;     1
 19720327;    2120;   2.359;     9;     1
 19720328;    2050;   2.281;     9;     1
 19720329;    1960;   2.181;     9;     1
 19720330;    1880;   2.092;     9;     1
 19720331;    2150;   2.393;     9;     1
 19720401;    2020;   2.248;     9;     1
 19720402;    1920;   2.137;     9;     1
 19720403;    1980;   2.203;     9;     1
 19720404;    2110;   2.348;     9;     1
 19720405;    2240;   2.493;     9;     1
 19720406;    2040;   2.270;     9;     1
 19720407;    1800;   2.003;     9;     1
 19720408;    1790;   1.992;     9;     1
 19720409;    1730;   1.925;     9;     1
 19720410;    1550;   1.725;     9;     1
 19720411;    1690;   1.881;     9;     1
 19720412;    1920;   2.137;     9;     1
 19720413;    1930;   2.148;     9;     1
 19720414;    2080;   2.315;     9;     1
 19720415;    2050;   2.281;     9;     1
 19720416;    1810;   2.014;     9;     1
 19720417;    1690;   1.881;     9;     1
 19720418;    1690;   1.881;     9;     1
 19720419;    1690;   1.881;     9;     1
 19720420;    1690;   1.881;     9;     1
 19720421;    1740;   1.936;     9;     1
 19720422;    1770;   1.970;     9;     1
 19720423;    1580;   1.758;     9;     1
 19720424;    1450;   1.614;     9;     1
 19720425;    1440;   1.602;     9;     1
 19720426;    1440;   1.602;     9;     1
 19720427;    1440;   1.602;     9;     1
 19720428;    1430;   1.591;     9;     1
 19720429;    1290;   1.436;     9;     1
 19720430;    1190;   1.324;     9;     1
 19720501;    1140;   1.269;     9;     1
 19720502;    1100;   1.224;     9;     1
 19720503;    1230;   1.369;     9;     1
 19720504;    1710;   1.903;     9;     1
 19720505;    1270;   1.413;     9;     1
 19720506;    1110;   1.235;     9;     1
 19720507;    1040;   1.157;     9;     1
 19720508;    1050;   1.168;     9;     1
 19720509;    1120;   1.246;     9;     1
 19720510;    1040;   1.157;     9;     1
 19720511;    1030;   1.146;     9;     1
 19720512;    1050;   1.168;     9;     1
 19720513;    1140;   1.269;     9;     1
 19720514;    1440;   1.602;     9;     1
 19720515;    1830;   2.036;     9;     1
 19720516;    1800;   2.003;     9;     1
 19720517;    1360;   1.513;     9;     1
 19720518;    1080;   1.202;     9;     1
 19720519;     937;   1.043;     9;     1
 19720520;    1040;   1.157;     9;     1
 19720521;     955;   1.063;     9;     1
 19720522;     854;   0.950;     9;     1
 19720523;    1300;   1.447;     9;     1
 19720524;    1390;   1.547;     9;     1
 19720525;    1130;   1.257;     9;     1
 19720526;    1020;   1.135;     9;     1
 19720527;     960;   1.068;     9;     1
 19720528;     960;   1.068;     9;     1
 19720529;     908;   1.010;     9;     1
 19720530;     804;   0.895;     9;     1
 19720531;     747;   0.831;     9;     1
 19720601;     747;   0.831;     9;     1
 19720602;     745;   0.829;     9;     1
 19720603;     701;   0.780;     9;     1
 19720604;     639;   0.711;     9;     1
 19720605;     721;   0.802;     9;     1
 19720606;    2680;   2.982;     9;     1
 19720607;    1330;   1.480;     9;     1
 19720608;    1100;   1.224;     9;     1
 19720609;     946;   1.053;     9;     1
 19720610;     871;   0.969;     9;     1
