## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:55:26
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O0554010
## Nom station                      : L'Arbas à Castelbiague [Pont de Prades]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      531104 ;    6218538 ;      531055 ;    6218555 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      485062 ;    1783633 ;      485013 ;    1783649 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     0.92866 ;   43.04622 ;     0.92805 ;   43.04636 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       98.00 ;      92.04 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         332 ;        338 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.3 [%]
## Débits disponibles               :  1968-09-27 ; 2021-02-23 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680927;     490;   0.460;     9;     1
 19680928;    2850;   2.675;     9;     1
 19680929;    1510;   1.417;     9;     1
 19680930;    2300;   2.159;     9;     1
 19681001;    1250;   1.173;     9;     1
 19681002;     710;   0.666;     9;     1
 19681003;     510;   0.479;     9;     1
 19681004;     489;   0.459;     9;     1
 19681005;     459;   0.431;     9;     1
 19681006;     430;   0.404;     9;     1
 19681007;     441;   0.414;     9;     1
 19681008;     485;   0.455;     9;     1
 19681009;     514;   0.483;     9;     1
 19681010;     473;   0.444;     9;     1
 19681011;     430;   0.404;     9;     1
 19681012;     478;   0.449;     9;     1
 19681013;     446;   0.419;     9;     1
 19681014;     440;   0.413;     9;     1
 19681015;     448;   0.421;     9;     1
 19681016;     450;   0.422;     9;     1
 19681017;     491;   0.461;     9;     1
 19681018;     449;   0.421;     9;     1
 19681019;     455;   0.427;     9;     1
 19681020;     450;   0.422;     9;     1
 19681021;     446;   0.419;     9;     1
 19681022;     429;   0.403;     9;     1
 19681023;     390;   0.366;     9;     1
 19681024;     430;   0.404;     9;     1
 19681025;     485;   0.455;     9;     1
 19681026;     594;   0.558;     9;     1
 19681027;     510;   0.479;     9;     1
 19681028;     435;   0.408;     9;     1
 19681029;     390;   0.366;     9;     1
 19681030;     434;   0.407;     9;     1
 19681031;     427;   0.401;     9;     1
 19681101;     490;   0.460;     9;     1
 19681102;     611;   0.574;     9;     1
 19681103;    1390;   1.305;     9;     1
 19681104;    1410;   1.324;     9;     1
 19681105;     898;   0.843;     9;     1
 19681106;     742;   0.697;     9;     1
 19681107;     710;   0.666;     9;     1
 19681108;    9090;   8.533;     9;     1
 19681109;   10500;   9.857;     9;     1
 19681110;    2010;   1.887;     9;     1
 19681111;    1570;   1.474;     9;     1
 19681112;    1280;   1.202;     9;     1
 19681113;    1020;   0.957;     9;     1
 19681114;     838;   0.787;     9;     1
 19681115;     774;   0.727;     9;     1
 19681116;     -99; -99.000;   -99;   -99
 19681117;     -99; -99.000;   -99;   -99
 19681118;     -99; -99.000;   -99;   -99
 19681119;     -99; -99.000;   -99;   -99
 19681120;     -99; -99.000;   -99;   -99
 19681121;     -99; -99.000;   -99;   -99
 19681122;     -99; -99.000;   -99;   -99
 19681123;     -99; -99.000;   -99;   -99
 19681124;     -99; -99.000;   -99;   -99
 19681125;     -99; -99.000;   -99;   -99
 19681126;     -99; -99.000;   -99;   -99
 19681127;     -99; -99.000;   -99;   -99
 19681128;     -99; -99.000;   -99;   -99
 19681129;     -99; -99.000;   -99;   -99
 19681130;     -99; -99.000;   -99;   -99
 19681201;     -99; -99.000;   -99;   -99
 19681202;     -99; -99.000;   -99;   -99
 19681203;    1020;   0.957;     9;     1
 19681204;     921;   0.865;     9;     1
 19681205;     870;   0.817;     9;     1
 19681206;     870;   0.817;     9;     1
 19681207;     838;   0.787;     9;     1
 19681208;     821;   0.771;     9;     1
 19681209;    1320;   1.239;     9;     1
 19681210;    2120;   1.990;     9;     1
 19681211;    6360;   5.970;     9;     1
 19681212;    2930;   2.750;     9;     1
 19681213;    2090;   1.962;     9;     1
 19681214;    2550;   2.394;     9;     1
 19681215;    2130;   1.999;     9;     1
 19681216;    2810;   2.638;     9;     1
 19681217;    7120;   6.684;     9;     1
 19681218;    5230;   4.910;     9;     1
 19681219;    2950;   2.769;     9;     1
 19681220;    2300;   2.159;     9;     1
 19681221;    2330;   2.187;     9;     1
 19681222;    2210;   2.075;     9;     1
 19681223;    2260;   2.122;     9;     1
 19681224;    2300;   2.159;     9;     1
 19681225;    1960;   1.840;     9;     1
 19681226;    5480;   5.144;     9;     1
 19681227;    5780;   5.426;     9;     1
 19681228;    2740;   2.572;     9;     1
 19681229;    2130;   1.999;     9;     1
 19681230;    1710;   1.605;     9;     1
 19681231;    1460;   1.371;     9;     1
 19690101;    1330;   1.249;     9;     1
 19690102;    1230;   1.155;     9;     1
 19690103;    1180;   1.108;     9;     1
 19690104;    1180;   1.108;     9;     1
 19690105;    1120;   1.051;     9;     1
 19690106;    1070;   1.004;     9;     1
 19690107;    1020;   0.957;     9;     1
 19690108;     972;   0.912;     9;     0
 19690109;     972;   0.912;     9;     0
 19690110;     972;   0.912;     9;     0
 19690111;     972;   0.912;     9;     0
 19690112;     972;   0.912;     9;     0
 19690113;     972;   0.912;     9;     0
 19690114;    1280;   1.202;     9;     1
 19690115;    2890;   2.713;     9;     1
 19690116;    5330;   5.003;     9;     1
 19690117;    3180;   2.985;     9;     1
 19690118;    4390;   4.121;     9;     1
 19690119;    5430;   5.097;     9;     1
 19690120;    3030;   2.844;     9;     1
 19690121;    2300;   2.159;     9;     1
 19690122;    1790;   1.680;     9;     1
 19690123;    1400;   1.314;     9;     1
 19690124;    1280;   1.202;     9;     1
 19690125;    1230;   1.155;     9;     1
 19690126;    1120;   1.051;     9;     1
 19690127;    1020;   0.957;     9;     1
 19690128;     972;   0.912;     9;     1
 19690129;     921;   0.865;     9;     1
 19690130;     870;   0.817;     9;     0
 19690131;     870;   0.817;     9;     0
 19690201;     870;   0.817;     9;     0
 19690202;     870;   0.817;     9;     0
 19690203;     870;   0.817;     9;     0
 19690204;     838;   0.787;     9;     0
 19690205;     806;   0.757;     9;     0
 19690206;     774;   0.727;     9;     0
 19690207;     742;   0.697;     9;     0
 19690208;     742;   0.697;     9;     1
 19690209;     710;   0.666;     9;     1
 19690210;     678;   0.636;     9;     1
 19690211;     678;   0.636;     9;     1
 19690212;    1280;   1.202;     9;     1
 19690213;    3090;   2.901;     9;     1
 19690214;    2630;   2.469;     9;     1
 19690215;    1920;   1.802;     9;     1
 19690216;    1340;   1.258;     9;     1
 19690217;    1180;   1.108;     9;     1
 19690218;    1120;   1.051;     9;     1
 19690219;    1390;   1.305;     9;     1
 19690220;    1630;   1.530;     9;     1
 19690221;    1180;   1.108;     9;     1
 19690222;    1070;   1.004;     9;     1
 19690223;    1380;   1.295;     9;     1
 19690224;    2300;   2.159;     9;     1
 19690225;    1710;   1.605;     9;     1
 19690226;    1480;   1.389;     9;     1
 19690227;    3360;   3.154;     9;     1
 19690228;    2210;   2.075;     9;     1
 19690301;    1710;   1.605;     9;     1
 19690302;    1460;   1.371;     9;     1
 19690303;    1280;   1.202;     9;     1
 19690304;    1180;   1.108;     9;     1
 19690305;    1180;   1.108;     9;     1
 19690306;    1520;   1.427;     9;     1
 19690307;    1700;   1.596;     9;     1
 19690308;    3930;   3.689;     9;     1
 19690309;    2480;   2.328;     9;     1
 19690310;    1880;   1.765;     9;     1
 19690311;    1550;   1.455;     9;     1
 19690312;    1380;   1.295;     9;     1
 19690313;    1460;   1.371;     9;     1
 19690314;    4050;   3.802;     9;     1
 19690315;    2800;   2.628;     9;     1
 19690316;    2210;   2.075;     9;     1
 19690317;    6580;   6.177;     9;     1
 19690318;    8570;   8.045;     9;     1
 19690319;   12600;  11.828;     9;     1
 19690320;    4910;   4.609;     9;     1
 19690321;    3320;   3.117;     9;     1
 19690322;    2900;   2.722;     9;     1
 19690323;   14200;  13.330;     9;     1
 19690324;    6130;   5.754;     9;     1
 19690325;    3650;   3.426;     9;     1
 19690326;    2740;   2.572;     9;     1
 19690327;    2300;   2.159;     9;     1
 19690328;    2040;   1.915;     9;     1
 19690329;    1790;   1.680;     9;     1
 19690330;    1630;   1.530;     9;     1
 19690331;    1630;   1.530;     9;     1
 19690401;    1710;   1.605;     9;     1
 19690402;    1790;   1.680;     9;     1
 19690403;    1630;   1.530;     9;     1
 19690404;    1550;   1.455;     9;     1
 19690405;    1570;   1.474;     9;     1
 19690406;    1790;   1.680;     9;     1
 19690407;    1550;   1.455;     9;     1
 19690408;    1330;   1.249;     9;     1
 19690409;    1280;   1.202;     9;     1
 19690410;    1230;   1.155;     9;     1
 19690411;    1180;   1.108;     9;     1
 19690412;    1120;   1.051;     9;     1
 19690413;    1130;   1.061;     9;     1
 19690414;    1120;   1.051;     9;     1
 19690415;    1140;   1.070;     9;     1
 19690416;    1120;   1.051;     9;     1
 19690417;    1070;   1.004;     9;     1
 19690418;    2320;   2.178;     9;     1
 19690419;    1880;   1.765;     9;     1
 19690420;    1400;   1.314;     9;     1
 19690421;    1230;   1.155;     9;     1
 19690422;    1700;   1.596;     9;     1
 19690423;    2630;   2.469;     9;     1
 19690424;    1710;   1.605;     9;     1
 19690425;    1400;   1.314;     9;     1
 19690426;    1230;   1.155;     9;     1
 19690427;   12700;  11.922;     9;     1
 19690428;    8760;   8.223;     9;     1
 19690429;   15900;  14.926;     9;     1
 19690430;    6260;   5.876;     9;     1
 19690501;    3540;   3.323;     9;     1
 19690502;    2560;   2.403;     9;     1
 19690503;    6160;   5.783;     9;     1
 19690504;    8360;   7.848;     9;     1
 19690505;    5570;   5.229;     9;     1
 19690506;    6030;   5.660;     9;     1
 19690507;    3320;   3.117;     9;     1
 19690508;    2650;   2.488;     9;     1
 19690509;    2580;   2.422;     9;     1
 19690510;    2480;   2.328;     9;     1
 19690511;    2040;   1.915;     9;     1
 19690512;    1710;   1.605;     9;     1
 19690513;    1460;   1.371;     9;     1
 19690514;    1380;   1.295;     9;     0
 19690515;    1330;   1.249;     9;     0
 19690516;    1280;   1.202;     9;     0
 19690517;    1230;   1.155;     9;     0
 19690518;    1180;   1.108;     9;     0
 19690519;    1520;   1.427;     9;     1
 19690520;    1340;   1.258;     9;     1
 19690521;    1120;   1.051;     9;     1
 19690522;    1020;   0.957;     9;     1
 19690523;     972;   0.912;     9;     1
 19690524;     972;   0.912;     9;     1
 19690525;    1010;   0.948;     9;     1
 19690526;    1510;   1.417;     9;     1
 19690527;    1070;   1.004;     9;     1
 19690528;    1510;   1.417;     9;     1
 19690529;    1970;   1.849;     9;     1
 19690530;    1180;   1.108;     9;     1
 19690531;    1020;   0.957;     9;     1
 19690601;     921;   0.865;     9;     1
 19690602;     998;   0.937;     9;     1
 19690603;     921;   0.865;     9;     1
 19690604;     870;   0.817;     9;     1
 19690605;    1480;   1.389;     9;     1
 19690606;    1180;   1.108;     9;     1
 19690607;     972;   0.912;     9;     1
 19690608;     838;   0.787;     9;     1
 19690609;     806;   0.757;     9;     1
 19690610;     806;   0.757;     9;     1
 19690611;     806;   0.757;     9;     1
 19690612;     806;   0.757;     9;     1
 19690613;     911;   0.855;     9;     1
 19690614;    1170;   1.098;     9;     1
 19690615;    8120;   7.622;     9;     1
 19690616;    1960;   1.840;     9;     1
 19690617;    1390;   1.305;     9;     1
 19690618;    1730;   1.624;     9;     1
 19690619;    2140;   2.009;     9;     1
 19690620;    1370;   1.286;     9;     1
 19690621;    1180;   1.108;     9;     1
 19690622;    1070;   1.004;     9;     1
 19690623;    1190;   1.117;     9;     1
 19690624;    1570;   1.474;     9;     1
 19690625;    1230;   1.155;     9;     1
 19690626;     972;   0.912;     9;     1
 19690627;     870;   0.817;     9;     1
 19690628;     838;   0.787;     9;     1
 19690629;     838;   0.787;     9;     1
 19690630;     870;   0.817;     9;     1
 19690701;     870;   0.817;     9;     1
 19690702;     870;   0.817;     9;     1
 19690703;     806;   0.757;     9;     1
 19690704;     710;   0.666;     9;     1
 19690705;     678;   0.636;     9;     1
 19690706;     683;   0.641;     9;     1
 19690707;    2200;   2.065;     9;     1
 19690708;    1820;   1.708;     9;     1
 19690709;    1030;   0.967;     9;     1
 19690710;     838;   0.787;     9;     1
 19690711;     742;   0.697;     9;     1
 19690712;     678;   0.636;     9;     1
 19690713;     646;   0.606;     9;     1
 19690714;     614;   0.576;     9;     1
 19690715;     614;   0.576;     9;     1
 19690716;     582;   0.546;     9;     1
 19690717;     550;   0.516;     9;     1
 19690718;     550;   0.516;     9;     1
 19690719;     550;   0.516;     9;     1
 19690720;     550;   0.516;     9;     1
 19690721;     530;   0.498;     9;     1
 19690722;     510;   0.479;     9;     1
 19690723;     510;   0.479;     9;     1
 19690724;   10200;   9.575;     9;     1
 19690725;    6530;   6.130;     9;     1
 19690726;    3010;   2.826;     9;     1
 19690727;    1110;   1.042;     9;     1
 19690728;     806;   0.757;     9;     1
 19690729;   15300;  14.362;     9;     1
 19690730;    2870;   2.694;     9;     1
 19690731;    1790;   1.680;     9;     1
 19690801;    1230;   1.155;     9;     1
 19690802;    5540;   5.201;     9;     1
 19690803;    2300;   2.159;     9;     1
 19690804;    1410;   1.324;     9;     1
 19690805;    1110;   1.042;     9;     1
 19690806;    1290;   1.211;     9;     1
 19690807;    1010;   0.948;     9;     1
 19690808;     838;   0.787;     9;     1
 19690809;     742;   0.697;     9;     1
 19690810;     742;   0.697;     9;     1
 19690811;     742;   0.697;     9;     1
 19690812;     710;   0.666;     9;     1
 19690813;     678;   0.636;     9;     1
 19690814;     678;   0.636;     9;     1
 19690815;     678;   0.636;     9;     1
 19690816;     646;   0.606;     9;     1
 19690817;     614;   0.576;     9;     1
 19690818;     614;   0.576;     9;     1
 19690819;     582;   0.546;     9;     1
 19690820;     550;   0.516;     9;     0
 19690821;     550;   0.516;     9;     0
 19690822;     550;   0.516;     9;     0
 19690823;     550;   0.516;     9;     0
 19690824;     550;   0.516;     9;     0
 19690825;     550;   0.516;     9;     0
 19690826;     550;   0.516;     9;     0
 19690827;     530;   0.498;     9;     1
 19690828;     510;   0.479;     9;     1
 19690829;     510;   0.479;     9;     1
 19690830;     631;   0.592;     9;     1
 19690831;     555;   0.521;     9;     1
 19690901;     530;   0.498;     9;     1
 19690902;     510;   0.479;     9;     1
 19690903;     510;   0.479;     9;     1
 19690904;     510;   0.479;     9;     1
 19690905;     510;   0.479;     9;     1
 19690906;     530;   0.498;     9;     1
 19690907;     663;   0.622;     9;     1
 19690908;    1000;   0.939;     9;     1
 19690909;     678;   0.636;     9;     1
 19690910;     556;   0.522;     9;     1
 19690911;     490;   0.460;     9;     1
 19690912;     470;   0.441;     9;     1
 19690913;     473;   0.444;     9;     1
 19690914;     636;   0.597;     9;     1
 19690915;     694;   0.651;     9;     1
 19690916;    1360;   1.277;     9;     1
 19690917;     900;   0.845;     9;     1
 19690918;    1350;   1.267;     9;     1
 19690919;    2550;   2.394;     9;     1
 19690920;    2380;   2.234;     9;     1
 19690921;    1630;   1.530;     9;     1
 19690922;    1030;   0.967;     9;     1
 19690923;     742;   0.697;     9;     1
 19690924;     646;   0.606;     9;     1
 19690925;     582;   0.546;     9;     1
 19690926;     550;   0.516;     9;     1
 19690927;     550;   0.516;     9;     1
 19690928;     530;   0.498;     9;     1
 19690929;     510;   0.479;     9;     1
 19690930;     592;   0.556;     9;     1
 19691001;    7660;   7.191;     9;     1
 19691002;    2480;   2.328;     9;     1
 19691003;    1470;   1.380;     9;     1
 19691004;    1030;   0.967;     9;     1
 19691005;     774;   0.727;     9;     1
 19691006;     710;   0.666;     9;     1
 19691007;     678;   0.636;     9;     1
 19691008;     646;   0.606;     9;     1
 19691009;     614;   0.576;     9;     1
 19691010;     614;   0.576;     9;     1
 19691011;     582;   0.546;     9;     1
 19691012;     550;   0.516;     9;     1
 19691013;     550;   0.516;     9;     1
 19691014;     641;   0.602;     9;     1
 19691015;     646;   0.606;     9;     1
 19691016;     582;   0.546;     9;     1
 19691017;     550;   0.516;     9;     1
 19691018;     550;   0.516;     9;     1
 19691019;     550;   0.516;     9;     1
 19691020;     550;   0.516;     9;     1
 19691021;     530;   0.498;     9;     1
 19691022;     510;   0.479;     9;     0
 19691023;     510;   0.479;     9;     0
 19691024;     510;   0.479;     9;     0
 19691025;     510;   0.479;     9;     0
 19691026;     510;   0.479;     9;     0
 19691027;     510;   0.479;     9;     0
 19691028;     510;   0.479;     9;     0
 19691029;     510;   0.479;     9;     0
 19691030;     490;   0.460;     9;     1
 19691031;     490;   0.460;     9;     1
 19691101;     510;   0.479;     9;     1
 19691102;     510;   0.479;     9;     1
 19691103;     490;   0.460;     9;     1
 19691104;     490;   0.460;     9;     1
 19691105;     510;   0.479;     9;     1
 19691106;     510;   0.479;     9;     1
 19691107;     510;   0.479;     9;     1
 19691108;     530;   0.498;     9;     1
 19691109;     550;   0.516;     9;     0
 19691110;     550;   0.516;     9;     0
 19691111;     550;   0.516;     9;     0
 19691112;     550;   0.516;     9;     0
 19691113;     550;   0.516;     9;     0
 19691114;     550;   0.516;     9;     0
 19691115;     550;   0.516;     9;     0
 19691116;     550;   0.516;     9;     0
 19691117;     550;   0.516;     9;     0
 19691118;     550;   0.516;     9;     0
 19691119;     550;   0.516;     9;     0
 19691120;     550;   0.516;     9;     0
 19691121;     550;   0.516;     9;     0
 19691122;     550;   0.516;     9;     0
 19691123;     566;   0.531;     9;     1
 19691124;     713;   0.669;     9;     1
 19691125;     582;   0.546;     9;     1
 19691126;     614;   0.576;     9;     1
 19691127;     582;   0.546;     9;     1
 19691128;     540;   0.507;     9;     1
 19691129;     530;   0.498;     9;     1
 19691130;     550;   0.516;     9;     1
 19691201;     530;   0.498;     9;     1
 19691202;     510;   0.479;     9;     1
 19691203;    1840;   1.727;     9;     1
 19691204;   15200;  14.269;     9;     1
 19691205;    5260;   4.938;     9;     1
 19691206;   11000;  10.326;     9;     1
 19691207;   10600;   9.950;     9;     1
 19691208;    6950;   6.524;     9;     1
 19691209;    4030;   3.783;     9;     1
 19691210;    2480;   2.328;     9;     1
 19691211;    1790;   1.680;     9;     1
 19691212;    1400;   1.314;     9;     1
 19691213;     -99; -99.000;   -99;   -99
 19691214;     -99; -99.000;   -99;   -99
 19691215;     -99; -99.000;   -99;   -99
 19691216;     -99; -99.000;   -99;   -99
 19691217;     -99; -99.000;   -99;   -99
 19691218;     -99; -99.000;   -99;   -99
 19691219;     -99; -99.000;   -99;   -99
 19691220;     -99; -99.000;   -99;   -99
 19691221;     -99; -99.000;   -99;   -99
 19691222;     -99; -99.000;   -99;   -99
 19691223;     -99; -99.000;   -99;   -99
 19691224;     -99; -99.000;   -99;   -99
 19691225;     -99; -99.000;   -99;   -99
 19691226;     -99; -99.000;   -99;   -99
 19691227;     -99; -99.000;   -99;   -99
 19691228;     -99; -99.000;   -99;   -99
 19691229;     -99; -99.000;   -99;   -99
 19691230;    1880;   1.765;     9;     1
 19691231;    1550;   1.455;     9;     1
 19700101;    1330;   1.249;     9;     1
 19700102;    1230;   1.155;     9;     1
 19700103;    1180;   1.108;     9;     1
 19700104;    1200;   1.126;     9;     1
 19700105;    1550;   1.455;     9;     1
 19700106;    1550;   1.455;     9;     1
 19700107;    1230;   1.155;     9;     1
 19700108;    1180;   1.108;     9;     1
 19700109;    1230;   1.155;     9;     1
 19700110;    1280;   1.202;     9;     1
 19700111;    1230;   1.155;     9;     1
 19700112;    1120;   1.051;     9;     1
 19700113;    1070;   1.004;     9;     1
 19700114;    1020;   0.957;     9;     1
 19700115;     921;   0.865;     9;     1
 19700116;     981;   0.921;     9;     1
 19700117;    2480;   2.328;     9;     1
 19700118;    2130;   1.999;     9;     1
 19700119;    1790;   1.680;     9;     1
 19700120;    1550;   1.455;     9;     1
 19700121;    4530;   4.252;     9;     1
 19700122;    3330;   3.126;     9;     1
 19700123;    2130;   1.999;     9;     1
 19700124;    1790;   1.680;     9;     1
 19700125;    1470;   1.380;     9;     1
 19700126;    1230;   1.155;     9;     1
 19700127;    1180;   1.108;     9;     1
 19700128;    1120;   1.051;     9;     1
 19700129;    1070;   1.004;     9;     1
 19700130;   12800;  12.016;     9;     1
 19700131;    7900;   7.416;     9;     1
 19700201;    4640;   4.356;     9;     1
 19700202;   13200;  12.391;     9;     1
 19700203;    4730;   4.440;     9;     1
 19700204;    3030;   2.844;     9;     1
 19700205;    2390;   2.244;     9;     1
 19700206;    1960;   1.840;     9;     1
 19700207;    1630;   1.530;     9;     1
 19700208;    1400;   1.314;     9;     1
 19700209;    1230;   1.155;     9;     1
 19700210;    1250;   1.173;     9;     1
 19700211;    1200;   1.126;     9;     1
 19700212;     -99; -99.000;   -99;   -99
 19700213;     -99; -99.000;   -99;   -99
 19700214;     -99; -99.000;   -99;   -99
 19700215;     -99; -99.000;   -99;   -99
 19700216;     -99; -99.000;   -99;   -99
 19700217;     -99; -99.000;   -99;   -99
 19700218;     -99; -99.000;   -99;   -99
 19700219;     -99; -99.000;   -99;   -99
 19700220;     -99; -99.000;   -99;   -99
 19700221;     -99; -99.000;   -99;   -99
 19700222;     -99; -99.000;   -99;   -99
 19700223;     -99; -99.000;   -99;   -99
 19700224;     -99; -99.000;   -99;   -99
 19700225;     -99; -99.000;   -99;   -99
 19700226;     -99; -99.000;   -99;   -99
 19700227;     -99; -99.000;   -99;   -99
 19700228;     -99; -99.000;   -99;   -99
 19700301;     -99; -99.000;   -99;   -99
 19700302;    1180;   1.108;     9;     1
 19700303;    1470;   1.380;     9;     1
 19700304;    1460;   1.371;     9;     1
 19700305;    3400;   3.192;     9;     1
 19700306;    2300;   2.159;     9;     1
 19700307;    1860;   1.746;     9;     1
 19700308;    1880;   1.765;     9;     1
 19700309;    1710;   1.605;     9;     1
 19700310;    1400;   1.314;     9;     1
 19700311;    1330;   1.249;     9;     1
 19700312;    1280;   1.202;     9;     1
 19700313;    1280;   1.202;     9;     1
 19700314;    1330;   1.249;     9;     1
 19700315;    1630;   1.530;     9;     1
 19700316;    1940;   1.821;     9;     1
 19700317;    2350;   2.206;     9;     1
 19700318;    2380;   2.234;     9;     1
 19700319;   15600;  14.644;     9;     1
 19700320;    6190;   5.811;     9;     1
 19700321;    3720;   3.492;     9;     1
 19700322;    5740;   5.388;     9;     1
 19700323;    7960;   7.472;     9;     1
 19700324;    3280;   3.079;     9;     1
 19700325;    2390;   2.244;     9;     1
 19700326;    2580;   2.422;     9;     1
 19700327;    2670;   2.506;     9;     1
 19700328;    2320;   2.178;     9;     1
 19700329;    1880;   1.765;     9;     1
 19700330;    1710;   1.605;     9;     1
 19700331;    1710;   1.605;     9;     1
 19700401;    1630;   1.530;     9;     1
 19700402;    1460;   1.371;     9;     1
 19700403;    1280;   1.202;     9;     1
 19700404;    1180;   1.108;     9;     1
 19700405;    1120;   1.051;     9;     1
 19700406;    1070;   1.004;     9;     1
 19700407;    1110;   1.042;     9;     1
 19700408;    1330;   1.249;     9;     1
 19700409;    1230;   1.155;     9;     1
 19700410;    1120;   1.051;     9;     1
 19700411;    1070;   1.004;     9;     1
 19700412;    1290;   1.211;     9;     1
 19700413;    1820;   1.708;     9;     1
 19700414;    1960;   1.840;     9;     1
 19700415;    1680;   1.577;     9;     1
 19700416;    1560;   1.464;     9;     1
 19700417;    1560;   1.464;     9;     1
 19700418;    1460;   1.371;     9;     1
 19700419;    1500;   1.408;     9;     1
 19700420;    8240;   7.735;     9;     1
 19700421;    3580;   3.361;     9;     1
 19700422;    2480;   2.328;     9;     1
 19700423;    2100;   1.971;     9;     1
 19700424;    1790;   1.680;     9;     1
 19700425;    1460;   1.371;     9;     1
 19700426;    4350;   4.083;     9;     1
 19700427;    2720;   2.553;     9;     1
 19700428;    3200;   3.004;     9;     1
 19700429;    2390;   2.244;     9;     1
 19700430;    2840;   2.666;     9;     1
 19700501;    2390;   2.244;     9;     1
 19700502;    1960;   1.840;     9;     1
 19700503;    1630;   1.530;     9;     1
 19700504;    1420;   1.333;     9;     1
 19700505;    1430;   1.342;     9;     1
 19700506;    5500;   5.163;     9;     1
 19700507;   16100;  15.113;     9;     1
 19700508;   10400;   9.763;     9;     1
 19700509;    3630;   3.408;     9;     1
 19700510;    2630;   2.469;     9;     1
 19700511;    2130;   1.999;     9;     1
 19700512;    1770;   1.662;     9;     1
 19700513;    1560;   1.464;     9;     1
 19700514;    1350;   1.267;     9;     1
 19700515;    1490;   1.399;     9;     1
 19700516;    2010;   1.887;     9;     1
 19700517;   11800;  11.077;     9;     1
 19700518;    5350;   5.022;     9;     1
 19700519;   11100;  10.420;     9;     1
 19700520;    3010;   2.826;     9;     1
 19700521;    2170;   2.037;     9;     1
 19700522;    1710;   1.605;     9;     1
 19700523;    1410;   1.324;     9;     1
 19700524;    1240;   1.164;     9;     1
 19700525;    1140;   1.070;     9;     1
 19700526;    1050;   0.986;     9;     1
 19700527;     972;   0.912;     9;     1
 19700528;     951;   0.893;     9;     1
 19700529;     870;   0.817;     9;     1
 19700530;     870;   0.817;     9;     1
 19700531;     822;   0.772;     9;     1
 19700601;     806;   0.757;     9;     1
 19700602;     782;   0.734;     9;     1
 19700603;     742;   0.697;     9;     1
 19700604;     715;   0.671;     9;     1
 19700605;     678;   0.636;     9;     1
 19700606;     678;   0.636;     9;     1
 19700607;    1280;   1.202;     9;     1
 19700608;    1050;   0.986;     9;     1
 19700609;    6810;   6.393;     9;     1
 19700610;    2940;   2.760;     9;     1
