## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:00:14
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : P1772910
## Nom station                      : La Cère à Sansac-de-Marmiesse
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      648698 ;    6420523 ;      648723 ;    6420464 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      601087 ;    1986808 ;      601113 ;    1986749 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.35031 ;   44.88199 ;     2.35064 ;   44.88146 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      350.00 ;     348.87 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         554 ;        559 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1969-01-01 ; 2014-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19690101;   12500;   3.096;     9;     1
 19690102;   10700;   2.650;     9;     1
 19690103;    9200;   2.278;     9;     1
 19690104;    8300;   2.056;     9;     1
 19690105;    7200;   1.783;     9;     1
 19690106;    7750;   1.919;     9;     1
 19690107;    9200;   2.278;     9;     1
 19690108;   11300;   2.799;     9;     1
 19690109;   12100;   2.997;     9;     1
 19690110;    8000;   1.981;     9;     1
 19690111;    8150;   2.018;     9;     1
 19690112;    9200;   2.278;     9;     1
 19690113;   14800;   3.665;     9;     1
 19690114;   20200;   5.003;     9;     1
 19690115;   28000;   6.934;     9;     1
 19690116;   25000;   6.191;     9;     1
 19690117;   19700;   4.879;     9;     1
 19690118;   26200;   6.489;     9;     1
 19690119;   26700;   6.612;     9;     1
 19690120;   21000;   5.201;     9;     1
 19690121;   18000;   4.458;     9;     1
 19690122;   16400;   4.062;     9;     1
 19690123;   16800;   4.161;     9;     1
 19690124;   15600;   3.863;     9;     1
 19690125;   14400;   3.566;     9;     1
 19690126;   12900;   3.195;     9;     1
 19690127;   11700;   2.898;     9;     1
 19690128;   11300;   2.799;     9;     1
 19690129;   21000;   5.201;     9;     1
 19690130;   21500;   5.325;     9;     1
 19690131;   16800;   4.161;     9;     1
 19690201;   14400;   3.566;     9;     1
 19690202;   12500;   3.096;     9;     1
 19690203;   12900;   3.195;     9;     1
 19690204;   11000;   2.724;     9;     1
 19690205;   10100;   2.501;     9;     1
 19690206;    9500;   2.353;     9;     1
 19690207;    8600;   2.130;     9;     1
 19690208;    8300;   2.056;     9;     1
 19690209;    7200;   1.783;     9;     1
 19690210;    6700;   1.659;     9;     1
 19690211;    5650;   1.399;     9;     1
 19690212;    7500;   1.857;     9;     1
 19690213;    7750;   1.919;     9;     1
 19690214;    6950;   1.721;     9;     1
 19690215;    6450;   1.597;     9;     1
 19690216;    6200;   1.535;     9;     1
 19690217;    5650;   1.399;     9;     1
 19690218;    5650;   1.399;     9;     1
 19690219;   10400;   2.576;     9;     1
 19690220;   19700;   4.879;     9;     1
 19690221;   14400;   3.566;     9;     1
 19690222;   15600;   3.863;     9;     1
 19690223;   21700;   5.374;     9;     1
 19690224;   36600;   9.064;     9;     1
 19690225;   29300;   7.256;     9;     1
 19690226;   23300;   5.770;     9;     1
 19690227;   18800;   4.656;     9;     1
 19690228;   16000;   3.963;     9;     1
 19690301;   16400;   4.062;     9;     1
 19690302;   37100;   9.188;     9;     1
 19690303;   28800;   7.133;     9;     1
 19690304;   30600;   7.578;     9;     1
 19690305;   28800;   7.133;     9;     1
 19690306;   25800;   6.390;     9;     1
 19690307;   21000;   5.201;     9;     1
 19690308;   17600;   4.359;     9;     1
 19690309;   15600;   3.863;     9;     1
 19690310;   14400;   3.566;     9;     1
 19690311;   14000;   3.467;     9;     1
 19690312;   18400;   4.557;     9;     1
 19690313;   28400;   7.033;     9;     1
 19690314;   86000;  21.298;     9;     1
 19690315;   75500;  18.698;     9;     1
 19690316;   60000;  14.859;     9;     1
 19690317;   72500;  17.955;     9;     1
 19690318;   57500;  14.240;     9;     1
 19690319;   61500;  15.231;     9;     1
 19690320;   53000;  13.126;     9;     1
 19690321;   40400;  10.005;     9;     1
 19690322;   33800;   8.371;     9;     1
 19690323;   36200;   8.965;     9;     1
 19690324;   29800;   7.380;     9;     1
 19690325;   25400;   6.290;     9;     1
 19690326;   22000;   5.448;     9;     1
 19690327;   18800;   4.656;     9;     1
 19690328;   16400;   4.062;     9;     1
 19690329;   14000;   3.467;     9;     1
 19690330;   12900;   3.195;     9;     1
 19690331;   13200;   3.269;     9;     1
 19690401;   16400;   4.062;     9;     1
 19690402;   15600;   3.863;     9;     1
 19690403;   13600;   3.368;     9;     1
 19690404;   12100;   2.997;     9;     1
 19690405;   11300;   2.799;     9;     1
 19690406;   11000;   2.724;     9;     1
 19690407;   10100;   2.501;     9;     1
 19690408;    9800;   2.427;     9;     1
 19690409;   10400;   2.576;     9;     1
 19690410;   10700;   2.650;     9;     1
 19690411;   12100;   2.997;     9;     1
 19690412;   13200;   3.269;     9;     1
 19690413;   16400;   4.062;     9;     1
 19690414;   12900;   3.195;     9;     1
 19690415;   11300;   2.799;     9;     1
 19690416;   12100;   2.997;     9;     1
 19690417;   14000;   3.467;     9;     1
 19690418;   14000;   3.467;     9;     1
 19690419;   12100;   2.997;     9;     1
 19690420;   11300;   2.799;     9;     1
 19690421;   12900;   3.195;     9;     1
 19690422;   63500;  15.726;     9;     1
 19690423;   59000;  14.612;     9;     1
 19690424;   47000;  11.640;     9;     1
 19690425;   33200;   8.222;     9;     1
 19690426;   28000;   6.934;     9;     1
 19690427;   30600;   7.578;     9;     1
 19690428;   44600;  11.045;     9;     1
 19690429;   39200;   9.708;     9;     1
 19690430;   32000;   7.925;     9;     1
 19690501;   34400;   8.519;     9;     1
 19690502;   26200;   6.489;     9;     1
 19690503;   27500;   6.811;     9;     1
 19690504;   36800;   9.114;     9;     1
 19690505;   30600;   7.578;     9;     1
 19690506;   30200;   7.479;     9;     1
 19690507;   25400;   6.290;     9;     1
 19690508;   28000;   6.934;     9;     1
 19690509;   65000;  16.098;     9;     1
 19690510;   56500;  13.993;     9;     1
 19690511;   35600;   8.817;     9;     1
 19690512;   25000;   6.191;     9;     1
 19690513;   21000;   5.201;     9;     1
 19690514;   17200;   4.260;     9;     1
 19690515;   14400;   3.566;     9;     1
 19690516;   12500;   3.096;     9;     1
 19690517;   10700;   2.650;     9;     1
 19690518;    9500;   2.353;     9;     1
 19690519;    9200;   2.278;     9;     1
 19690520;    8000;   1.981;     9;     1
 19690521;    6950;   1.721;     9;     1
 19690522;    6200;   1.535;     9;     1
 19690523;    5200;   1.288;     9;     1
 19690524;    5650;   1.399;     9;     1
 19690525;   15100;   3.740;     9;     1
 19690526;   18800;   4.656;     9;     1
 19690527;   10500;   2.600;     9;     1
 19690528;   20000;   4.953;     9;     1
 19690529;   27500;   6.811;     9;     1
 19690530;   13000;   3.220;     9;     1
 19690531;   14800;   3.665;     9;     1
 19690601;   19000;   4.705;     9;     1
 19690602;   17000;   4.210;     9;     1
 19690603;   15200;   3.764;     9;     1
 19690604;   14400;   3.566;     9;     1
 19690605;   12500;   3.096;     9;     1
 19690606;   11000;   2.724;     9;     1
 19690607;    9500;   2.353;     9;     1
 19690608;    8600;   2.130;     9;     1
 19690609;    7750;   1.919;     9;     1
 19690610;    6700;   1.659;     9;     1
 19690611;    6700;   1.659;     9;     1
 19690612;    6200;   1.535;     9;     1
 19690613;    5900;   1.461;     9;     1
 19690614;    6450;   1.597;     9;     1
 19690615;    6200;   1.535;     9;     1
 19690616;    5400;   1.337;     9;     1
 19690617;    5200;   1.288;     9;     1
 19690618;    6000;   1.486;     9;     1
 19690619;    6950;   1.721;     9;     1
 19690620;    6950;   1.721;     9;     1
 19690621;    8800;   2.179;     9;     1
 19690622;    9550;   2.365;     9;     1
 19690623;   24500;   6.068;     9;     1
 19690624;   37000;   9.163;     9;     1
 19690625;   28000;   6.934;     9;     1
 19690626;   22600;   5.597;     9;     1
 19690627;   17400;   4.309;     9;     1
 19690628;   13600;   3.368;     9;     1
 19690629;    9800;   2.427;     9;     1
 19690630;    8300;   2.056;     9;     1
 19690701;   11100;   2.749;     9;     1
 19690702;   17400;   4.309;     9;     1
 19690703;   16700;   4.136;     9;     1
 19690704;   11300;   2.799;     9;     1
 19690705;    8300;   2.056;     9;     1
 19690706;    7750;   1.919;     9;     1
 19690707;    9500;   2.353;     9;     1
 19690708;    8900;   2.204;     9;     1
 19690709;    7750;   1.919;     9;     1
 19690710;    6950;   1.721;     9;     1
 19690711;    6050;   1.498;     9;     1
 19690712;    5800;   1.436;     9;     1
 19690713;    5200;   1.288;     9;     1
 19690714;    4600;   1.139;     9;     1
 19690715;    4100;   1.015;     9;     1
 19690716;    3600;   0.892;     9;     1
 19690717;    3260;   0.807;     9;     1
 19690718;    3110;   0.770;     9;     1
 19690719;    2960;   0.733;     9;     1
 19690720;    2540;   0.629;     9;     1
 19690721;    2250;   0.557;     9;     1
 19690722;    2250;   0.557;     9;     1
 19690723;    2390;   0.592;     9;     1
 19690724;    2100;   0.520;     9;     1
 19690725;    2100;   0.520;     9;     1
 19690726;    2250;   0.557;     9;     1
 19690727;    2390;   0.592;     9;     1
 19690728;    2540;   0.629;     9;     1
 19690729;    4200;   1.040;     9;     1
 19690730;    4200;   1.040;     9;     1
 19690731;    3400;   0.842;     9;     1
 19690801;    2700;   0.669;     9;     1
 19690802;   10900;   2.699;     9;     1
 19690803;    5900;   1.461;     9;     1
 19690804;    4200;   1.040;     9;     1
 19690805;    3400;   0.842;     9;     1
 19690806;    3100;   0.768;     9;     1
 19690807;    2800;   0.693;     9;     1
 19690808;    2400;   0.594;     9;     1
 19690809;    1960;   0.485;     9;     1
 19690810;    1510;   0.374;     9;     1
 19690811;    1740;   0.431;     9;     1
 19690812;    1850;   0.458;     9;     1
 19690813;    2250;   0.557;     9;     1
 19690814;    2250;   0.557;     9;     1
 19690815;    2250;   0.557;     9;     1
 19690816;    3600;   0.892;     9;     1
 19690817;    8900;   2.204;     9;     1
 19690818;    5400;   1.337;     9;     1
 19690819;    3600;   0.892;     9;     1
 19690820;    2960;   0.733;     9;     1
 19690821;    2680;   0.664;     9;     1
 19690822;    2390;   0.592;     9;     1
 19690823;    2390;   0.592;     9;     1
 19690824;    2180;   0.540;     9;     1
 19690825;    2250;   0.557;     9;     1
 19690826;    2390;   0.592;     9;     1
 19690827;    2540;   0.629;     9;     1
 19690828;    2680;   0.664;     9;     1
 19690829;    2540;   0.629;     9;     1
 19690830;    2540;   0.629;     9;     1
 19690831;    2250;   0.557;     9;     1
 19690901;    2250;   0.557;     9;     1
 19690902;    4400;   1.090;     9;     1
 19690903;    7750;   1.919;     9;     1
 19690904;   13200;   3.269;     9;     1
 19690905;   12900;   3.195;     9;     1
 19690906;   12500;   3.096;     9;     1
 19690907;   11000;   2.724;     9;     1
 19690908;   18000;   4.458;     9;     1
 19690909;   16000;   3.963;     9;     1
 19690910;   12100;   2.997;     9;     1
 19690911;    9500;   2.353;     9;     1
 19690912;    7750;   1.919;     9;     1
 19690913;    6700;   1.659;     9;     1
 19690914;   13200;   3.269;     9;     1
 19690915;   12100;   2.997;     9;     1
 19690916;   27500;   6.811;     9;     1
 19690917;   33800;   8.371;     9;     1
 19690918;   36200;   8.965;     9;     1
 19690919;   34400;   8.519;     9;     1
 19690920;   33800;   8.371;     9;     1
 19690921;   29300;   7.256;     9;     1
 19690922;   18800;   4.656;     9;     1
 19690923;   15200;   3.764;     9;     1
 19690924;   12100;   2.997;     9;     1
 19690925;    9800;   2.427;     9;     1
 19690926;    8000;   1.981;     9;     1
 19690927;    7200;   1.783;     9;     1
 19690928;    6450;   1.597;     9;     1
 19690929;    5400;   1.337;     9;     1
 19690930;    5200;   1.288;     9;     1
 19691001;    6450;   1.597;     9;     1
 19691002;    5200;   1.288;     9;     1
 19691003;    4600;   1.139;     9;     1
 19691004;    4200;   1.040;     9;     1
 19691005;    3800;   0.941;     9;     1
 19691006;    3600;   0.892;     9;     1
 19691007;    3400;   0.842;     9;     1
 19691008;    2820;   0.698;     9;     1
 19691009;    2960;   0.733;     9;     1
 19691010;    3260;   0.807;     9;     1
 19691011;    3110;   0.770;     9;     1
 19691012;    2960;   0.733;     9;     1
 19691013;    2680;   0.664;     9;     1
 19691014;    2820;   0.698;     9;     1
 19691015;    3260;   0.807;     9;     1
 19691016;    2820;   0.698;     9;     1
 19691017;    2540;   0.629;     9;     1
 19691018;    2960;   0.733;     9;     1
 19691019;    3800;   0.941;     9;     1
 19691020;    3400;   0.842;     9;     1
 19691021;    3600;   0.892;     9;     1
 19691022;    3400;   0.842;     9;     1
 19691023;    3260;   0.807;     9;     1
 19691024;    3110;   0.770;     9;     1
 19691025;    2960;   0.733;     9;     1
 19691026;    2820;   0.698;     9;     1
 19691027;    2680;   0.664;     9;     1
 19691028;    2680;   0.664;     9;     1
 19691029;    2540;   0.629;     9;     1
 19691030;    2540;   0.629;     9;     1
 19691031;    2540;   0.629;     9;     1
 19691101;    2320;   0.575;     9;     1
 19691102;    2250;   0.557;     9;     1
 19691103;    2390;   0.592;     9;     1
 19691104;    2320;   0.575;     9;     1
 19691105;    2680;   0.664;     9;     1
 19691106;    3260;   0.807;     9;     1
 19691107;    4970;   1.231;     9;     1
 19691108;   22900;   5.671;     9;     1
 19691109;   42900;  10.624;     9;     1
 19691110;   88000;  21.794;     9;     1
 19691111;   42600;  10.550;     9;     1
 19691112;   27100;   6.711;     9;     1
 19691113;   21000;   5.201;     9;     1
 19691114;   16400;   4.062;     9;     1
 19691115;   15200;   3.764;     9;     1
 19691116;   15200;   3.764;     9;     1
 19691117;   16000;   3.963;     9;     1
 19691118;   15600;   3.863;     9;     1
 19691119;   13100;   3.244;     9;     1
 19691120;   11900;   2.947;     9;     1
 19691121;   12100;   2.997;     9;     1
 19691122;   13600;   3.368;     9;     1
 19691123;   16000;   3.963;     9;     1
 19691124;   33600;   8.321;     9;     1
 19691125;   38600;   9.560;     9;     1
 19691126;   30200;   7.479;     9;     1
 19691127;   23300;   5.770;     9;     1
 19691128;   18800;   4.656;     9;     1
 19691129;   17200;   4.260;     9;     1
 19691130;   13600;   3.368;     9;     1
 19691201;   11300;   2.799;     9;     1
 19691202;   10400;   2.576;     9;     1
 19691203;   11700;   2.898;     9;     1
 19691204;   45300;  11.219;     9;     1
 19691205;   34400;   8.519;     9;     1
 19691206;   25400;   6.290;     9;     1
 19691207;   21000;   5.201;     9;     1
 19691208;   17600;   4.359;     9;     1
 19691209;   14800;   3.665;     9;     1
 19691210;   13200;   3.269;     9;     1
 19691211;   11300;   2.799;     9;     1
 19691212;   10100;   2.501;     9;     1
 19691213;    9500;   2.353;     9;     1
 19691214;    9800;   2.427;     5;     1
 19691215;   16000;   3.963;     9;     1
 19691216;   18000;   4.458;     9;     1
 19691217;   14400;   3.566;     9;     1
 19691218;   21000;   5.201;     9;     1
 19691219;   29300;   7.256;     9;     1
 19691220;   22000;   5.448;     9;     1
 19691221;   18000;   4.458;     9;     1
 19691222;   16800;   4.161;     9;     1
 19691223;   22400;   5.548;     9;     1
 19691224;   18400;   4.557;     9;     1
 19691225;   16400;   4.062;     9;     1
 19691226;   15200;   3.764;     9;     1
 19691227;   14000;   3.467;     9;     1
 19691228;   12900;   3.195;     9;     1
 19691229;   12100;   2.997;     9;     1
 19691230;   11700;   2.898;     9;     1
 19691231;   11000;   2.724;     9;     1
 19700101;   10400;   2.576;     9;     1
 19700102;    9500;   2.353;     9;     1
 19700103;    8300;   2.056;     9;     1
 19700104;   12500;   3.096;     9;     1
 19700105;   36800;   9.114;     9;     1
 19700106;   42200;  10.451;     9;     1
 19700107;   26200;   6.489;     9;     1
 19700108;   21500;   5.325;     9;     1
 19700109;   22400;   5.548;     9;     1
 19700110;   28400;   7.033;     9;     1
 19700111;   48100;  11.912;     9;     1
 19700112;   58000;  14.364;     9;     1
 19700113;   35600;   8.817;     9;     1
 19700114;   30200;   7.479;     9;     1
 19700115;   26700;   6.612;     9;     1
 19700116;   23700;   5.869;     9;     1
 19700117;   21000;   5.201;     9;     1
 19700118;   18800;   4.656;     9;     1
 19700119;   16400;   4.062;     9;     1
 19700120;   14000;   3.467;     9;     1
 19700121;   12900;   3.195;     9;     1
 19700122;   11700;   2.898;     9;     1
 19700123;   11000;   2.724;     9;     1
 19700124;   10100;   2.501;     9;     1
 19700125;    9500;   2.353;     9;     1
 19700126;    9200;   2.278;     9;     1
 19700127;   11700;   2.898;     9;     1
 19700128;   11300;   2.799;     9;     1
 19700129;   10700;   2.650;     9;     1
 19700130;   22000;   5.448;     9;     1
 19700131;   45800;  11.343;     9;     1
 19700201;   32000;   7.925;     9;     1
 19700202;   34900;   8.643;     9;     1
 19700203;   79500;  19.689;     9;     1
 19700204;   97500;  24.147;     9;     1
 19700205;   70000;  17.336;     9;     1
 19700206;   53000;  13.126;     9;     1
 19700207;   36200;   8.965;     9;     1
 19700208;   32600;   8.074;     9;     1
 19700209;   38000;   9.411;     9;     1
 19700210;   50000;  12.383;     9;     1
 19700211;   74500;  18.450;     9;     1
 19700212;   75500;  18.698;     9;     1
 19700213;   66000;  16.345;     9;     1
 19700214;   47600;  11.788;     9;     1
 19700215;   34400;   8.519;     9;     1
 19700216;   25800;   6.390;     9;     1
 19700217;   25000;   6.191;     9;     1
 19700218;   36800;   9.114;     9;     1
 19700219;   27100;   6.711;     9;     1
 19700220;   28800;   7.133;     9;     1
 19700221;   47600;  11.788;     9;     1
 19700222;   53000;  13.126;     9;     1
 19700223;   57500;  14.240;     9;     1
 19700224;   97000;  24.023;     9;     1
 19700225;   69500;  17.212;     9;     1
 19700226;   42800;  10.600;     9;     1
 19700227;   29300;   7.256;     9;     1
 19700228;   23700;   5.869;     9;     1
 19700301;   18800;   4.656;     9;     1
 19700302;   16800;   4.161;     9;     1
 19700303;   14800;   3.665;     9;     1
 19700304;   13200;   3.269;     9;     1
 19700305;   12100;   2.997;     9;     1
 19700306;   11000;   2.724;     9;     1
 19700307;   10400;   2.576;     9;     1
 19700308;   10100;   2.501;     9;     1
 19700309;    9650;   2.390;     9;     1
 19700310;    8900;   2.204;     9;     1
 19700311;    8600;   2.130;     9;     1
 19700312;    8000;   1.981;     9;     1
 19700313;    8300;   2.056;     9;     1
 19700314;    9200;   2.278;     9;     1
 19700315;    9200;   2.278;     9;     1
 19700316;    9000;   2.229;     5;     1
 19700317;    9500;   2.353;     5;     1
 19700318;   14000;   3.467;     5;     1
 19700319;   24000;   5.944;     5;     1
 19700320;   19000;   4.705;     5;     1
 19700321;   16000;   3.963;     5;     1
 19700322;   17000;   4.210;     5;     1
 19700323;   23900;   5.919;     9;     1
 19700324;   25800;   6.390;     9;     1
 19700325;   23300;   5.770;     9;     1
 19700326;   25400;   6.290;     9;     1
 19700327;   25800;   6.390;     9;     1
 19700328;   21000;   5.201;     9;     1
 19700329;   17600;   4.359;     9;     1
 19700330;   16000;   3.963;     9;     1
 19700331;   18400;   4.557;     9;     1
 19700401;   25000;   6.191;     9;     1
 19700402;   23300;   5.770;     9;     1
 19700403;   20200;   5.003;     9;     1
 19700404;   17600;   4.359;     9;     1
 19700405;   17200;   4.260;     9;     1
 19700406;   16800;   4.161;     9;     1
 19700407;   14800;   3.665;     9;     1
 19700408;   14800;   3.665;     9;     1
 19700409;   14000;   3.467;     9;     1
 19700410;   14000;   3.467;     9;     1
 19700411;   13600;   3.368;     9;     1
 19700412;   13200;   3.269;     9;     1
 19700413;   57500;  14.240;     9;     1
 19700414;  121000;  29.966;     9;     1
 19700415;   53000;  13.126;     9;     1
 19700416;   36800;   9.114;     9;     1
 19700417;   30600;   7.578;     9;     1
 19700418;   30600;   7.578;     9;     1
 19700419;   35600;   8.817;     9;     1
 19700420;   41000;  10.154;     9;     1
 19700421;   28400;   7.033;     9;     1
 19700422;   21500;   5.325;     9;     1
 19700423;   19300;   4.780;     9;     1
 19700424;   18800;   4.656;     9;     1
 19700425;   19300;   4.780;     9;     1
 19700426;   26700;   6.612;     9;     1
 19700427;   28800;   7.133;     9;     1
 19700428;   25800;   6.390;     9;     1
 19700429;   22400;   5.548;     9;     1
 19700430;   21500;   5.325;     9;     1
 19700501;   22400;   5.548;     9;     1
 19700502;   24100;   5.969;     9;     1
 19700503;   22900;   5.671;     9;     1
 19700504;   22000;   5.448;     9;     1
 19700505;   22400;   5.548;     9;     1
 19700506;   22000;   5.448;     9;     1
 19700507;   22000;   5.448;     9;     1
 19700508;   20600;   5.102;     9;     1
 19700509;   18000;   4.458;     9;     1
 19700510;   21500;   5.325;     9;     1
 19700511;   22000;   5.448;     9;     1
 19700512;   19300;   4.780;     9;     1
 19700513;   18000;   4.458;     9;     1
 19700514;   17200;   4.260;     9;     1
 19700515;   22000;   5.448;     9;     1
 19700516;   23700;   5.869;     9;     1
 19700517;   20600;   5.102;     9;     1
 19700518;   20200;   5.003;     9;     1
 19700519;   17200;   4.260;     9;     1
 19700520;   16800;   4.161;     9;     1
 19700521;   14800;   3.665;     9;     1
 19700522;   13600;   3.368;     9;     1
 19700523;   11700;   2.898;     9;     1
 19700524;   11000;   2.724;     9;     1
 19700525;   10700;   2.650;     9;     1
 19700526;   10400;   2.576;     9;     1
 19700527;    9800;   2.427;     9;     1
 19700528;    9200;   2.278;     9;     1
 19700529;    7750;   1.919;     9;     1
 19700530;    7200;   1.783;     9;     1
 19700531;    6200;   1.535;     9;     1
 19700601;    5900;   1.461;     9;     1
 19700602;    5400;   1.337;     9;     1
 19700603;    5400;   1.337;     9;     1
 19700604;    5000;   1.238;     9;     1
 19700605;    4200;   1.040;     9;     1
 19700606;    4200;   1.040;     9;     1
 19700607;    4600;   1.139;     9;     1
 19700608;    4600;   1.139;     9;     1
 19700609;    3600;   0.892;     9;     1
 19700610;    3800;   0.941;     9;     1
 19700611;    4000;   0.991;     9;     1
 19700612;    4000;   0.991;     9;     1
 19700613;    6200;   1.535;     9;     1
 19700614;    5900;   1.461;     9;     1
 19700615;    6200;   1.535;     9;     1
 19700616;    5200;   1.288;     9;     1
 19700617;    8050;   1.994;     9;     1
 19700618;    7750;   1.919;     9;     1
 19700619;    7750;   1.919;     9;     1
 19700620;   10600;   2.625;     9;     1
 19700621;    7750;   1.919;     9;     1
 19700622;    6200;   1.535;     9;     1
 19700623;    5000;   1.238;     9;     1
 19700624;    4400;   1.090;     9;     1
 19700625;    4000;   0.991;     9;     1
 19700626;    3400;   0.842;     9;     1
 19700627;    3600;   0.892;     9;     1
 19700628;    7850;   1.944;     9;     1
 19700629;    4400;   1.090;     9;     1
 19700630;    4200;   1.040;     9;     1
 19700701;    4330;   1.072;     9;     1
 19700702;    5910;   1.464;     9;     1
 19700703;    4870;   1.206;     9;     1
 19700704;    4190;   1.038;     9;     1
 19700705;    3640;   0.901;     9;     1
 19700706;    3250;   0.805;     9;     1
 19700707;    2730;   0.676;     9;     1
 19700708;    4380;   1.085;     9;     1
 19700709;    3660;   0.906;     9;     1
 19700710;    3330;   0.825;     9;     1
 19700711;    2850;   0.706;     9;     1
 19700712;    2410;   0.597;     9;     1
 19700713;    2080;   0.515;     9;     1
 19700714;    1780;   0.441;     9;     1
 19700715;    1810;   0.448;     9;     1
 19700716;    2020;   0.500;     9;     1
 19700717;    1720;   0.426;     9;     1
 19700718;    1590;   0.394;     9;     1
 19700719;    1430;   0.354;     9;     1
 19700720;    1160;   0.287;     9;     1
 19700721;    1580;   0.391;     9;     1
 19700722;    1690;   0.419;     9;     1
 19700723;    1360;   0.337;     9;     1
 19700724;    1050;   0.260;     9;     1
 19700725;     879;   0.218;     9;     1
 19700726;     761;   0.188;     9;     1
 19700727;     899;   0.223;     9;     1
 19700728;    1090;   0.270;     9;     1
 19700729;    1020;   0.253;     9;     1
 19700730;     984;   0.244;     9;     1
 19700731;     865;   0.214;     9;     1
 19700801;     852;   0.211;     9;     1
 19700802;    1000;   0.248;     9;     1
 19700803;    1520;   0.376;     9;     1
 19700804;    1460;   0.362;     9;     1
 19700805;     823;   0.204;     9;     1
 19700806;     598;   0.148;     9;     1
 19700807;     748;   0.185;     9;     1
 19700808;     701;   0.174;     9;     1
 19700809;    1100;   0.272;     9;     1
 19700810;    1590;   0.394;     9;     1
 19700811;    1410;   0.349;     9;     1
 19700812;    1170;   0.290;     9;     1
 19700813;    1110;   0.275;     9;     1
 19700814;    1020;   0.253;     9;     1
 19700815;     907;   0.225;     9;     1
 19700816;     872;   0.216;     9;     1
 19700817;     925;   0.229;     9;     1
 19700818;     732;   0.181;     9;     1
 19700819;    1060;   0.263;     9;     1
 19700820;     898;   0.222;     9;     1
 19700821;     988;   0.245;     9;     1
 19700822;    1280;   0.317;     9;     1
 19700823;    1690;   0.419;     9;     1
 19700824;    2040;   0.505;     9;     1
 19700825;    1600;   0.396;     9;     1
 19700826;    1350;   0.334;     9;     1
 19700827;    1170;   0.290;     9;     1
 19700828;     973;   0.241;     9;     1
 19700829;    1170;   0.290;     9;     1
 19700830;    2290;   0.567;     9;     1
 19700831;    2730;   0.676;     9;     1
 19700901;    2400;   0.594;     9;     1
 19700902;    1920;   0.476;     9;     1
 19700903;    1720;   0.426;     9;     1
 19700904;    1750;   0.433;     9;     1
 19700905;    1640;   0.406;     9;     1
 19700906;    1360;   0.337;     9;     1
 19700907;    1320;   0.327;     9;     1
 19700908;    1310;   0.324;     9;     1
 19700909;    1290;   0.319;     9;     1
